,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.183,0.087,0.193,0.089,0.199,0.087,0.204,0.088,0.092,0.094,0.097,0.088,600
B,0.192,0.086,0.192,0.09,0.189,0.087,0.192,0.086,0.097,0.096,0.097,0.096,600
C,0.2,0.087,0.234,0.088,0.214,0.086,0.187,0.087,0.098,0.098,0.099,0.099,600
D,0.207,0.087,0.21,0.087,0.188,0.086,0.186,0.086,0.095,0.097,0.098,0.1,600
E,0.186,0.088,0.183,0.086,0.215,0.086,0.184,0.086,0.093,0.099,0.103,0.101,600
F,0.231,0.088,0.191,0.086,0.191,0.087,0.19,0.085,0.096,0.098,0.101,0.1,600
G,0.184,0.087,0.188,0.087,0.191,0.087,0.19,0.086,0.094,0.1,0.097,0.094,600
H,0.183,0.086,0.187,0.087,0.187,0.088,0.185,0.086,0.088,0.093,0.089,0.088,600
