,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.604,0.086,0.303,0.088,0.406,0.088,0.708,0.087,0.086,0.088,0.089,0.089,600
B,0.665,0.088,0.368,0.087,0.384,0.089,0.464,0.087,0.091,0.095,0.096,0.094,600
C,0.63,0.086,0.805,0.09,0.653,0.088,0.408,0.086,0.095,0.098,0.099,0.092,600
D,0.624,0.088,0.641,0.088,0.544,0.086,0.32,0.088,0.099,0.097,0.097,0.09,600
E,0.353,0.087,0.428,0.086,0.703,0.086,0.532,0.088,0.094,0.096,0.096,0.087,600
F,0.796,0.086,0.365,0.085,0.403,0.086,0.421,0.086,0.094,0.093,0.093,0.087,600
G,0.509,0.089,0.387,0.088,0.378,0.086,0.437,0.086,0.09,0.094,0.095,0.085,600
H,0.511,0.086,0.408,0.087,0.376,0.086,0.415,0.086,0.086,0.086,0.086,0.086,600
