exp_plant,exp_nitrogen,exp_id,PC1,PC2
lupulina,without nitrogen,H2M3R1,-2.386365835429041,0.4255261276260173
lupulina,without nitrogen,H3M1R1,-0.489171438956289,-0.5771036727579116
lupulina,without nitrogen,H4M5R1,-0.6780814187282567,-0.34252489336738184
lupulina,without nitrogen,L2M2R1,-0.38058398797691345,-0.8411041560005321
lupulina,without nitrogen,L3M5R1,0.42705776143328994,-1.4030662058596786
lupulina,without nitrogen,L4M2R2,-2.377570735700122,0.19885665117786258
lupulina,without nitrogen,crp1-2,1.2547567610894577,0.2992155053113345
lupulina,without nitrogen,fp1-2,0.6033438039308839,0.015415610959824903
lupulina,without nitrogen,gp1-1,0.8843414775284674,0.4585955181487603
lupulina,without nitrogen,src-2,2.1301543484643877,0.03933745754680143
lupulina,without nitrogen,40th-2,0.8087365231025283,0.34514804255150583
lupulina,without nitrogen,bg-2,-0.38627555047246287,0.2475690829446625
lupulina,without nitrogen,pms-2,0.9645794771933565,0.46314847547101856
lupulina,without nitrogen,ppf-2,-0.3749211854792856,0.6709864562477188
sativa,with nitrogen,H2M3R1,-1.5953434826236903,-0.9658423112396505
sativa,with nitrogen,H3M1R1,0.9455180714446058,-0.7683758769795849
sativa,with nitrogen,H3M3R2,0.03366830204267592,0.5906085494593081
sativa,with nitrogen,H3M4R1,-1.8402563888155028,0.5134474023524825
sativa,with nitrogen,L1M2R2,2.0628459072506122,0.0652090184596934
sativa,with nitrogen,L2M4R1,0.5741715479834563,0.2767019996321103
sativa,with nitrogen,L3M5R1,0.196837162727984,-0.12875220168661214
sativa,with nitrogen,L4M3R3,-0.37744112001013963,0.41700342000224944
sativa,without nitrogen,H2M3R1,-1.331976267987239,0.6133874698990338
sativa,without nitrogen,H3M1R1,0.6359045780318842,-0.3726537668447401
sativa,without nitrogen,H3M3R2,0.8880102824156497,-1.7998097494954597
sativa,without nitrogen,H3M4R1,1.4723064534727026,-1.4654561247593114
sativa,without nitrogen,L1M2R2,1.1773973686289916,0.7708694916856287
sativa,without nitrogen,L2M4R1,1.8379395631064765,1.0286664506400427
sativa,without nitrogen,L3M5R1,1.392150308854598,1.0419213260731308
sativa,without nitrogen,L4M3R3,1.4023682190745514,0.3820894494789912
sativa,without nitrogen,crp1-2,-0.9509153379887079,0.09081928130055184
sativa,without nitrogen,fp1-2,-0.9942869847252004,-0.0768348299065411
sativa,without nitrogen,gp1-2,-0.779117945378359,-0.3712238948891622
sativa,without nitrogen,src-1,-0.9338301380356143,0.15666144808441954
sativa,without nitrogen,40th-1,-0.958547178534668,0.026304312785355406
sativa,without nitrogen,bg-1,-0.6555561689402866,-0.2476621184510897
sativa,without nitrogen,pms-1,-1.0680022926054586,0.12000322717612341
sativa,without nitrogen,ppf-1,-1.1338444593893262,0.10291802722302983
