exp_id,PC1,PC2,PC3
40th-1,-0.9963988496634848,-2.057994002495137,-0.5293548801596899
H2M3R1,-2.473329456693052,0.10699715495888058,0.6067587897299297
H2M3R2,-1.0363905399031135,-1.5607674333658421,-0.054738632977787076
H3M1R1,1.578096800365662,-1.0691141174091787,-0.1550439005601936
H3M3R2,1.0198345529772381,-1.0562080791491204,0.25811844827049985
H3M4R1,2.000942543869206,-0.3210455649728855,0.2211641211888043
H4M5R1,0.9964536388496451,-0.1936992279828505,0.5535753636394234
L1M2R2,1.0595689943624909,0.0433181897820349,0.18069276247662416
L2M2R1,-1.0445577811271336,-0.7753182132245579,0.2312667144779804
L2M4R1,0.8844294095213178,0.07166409884795577,-0.08325477473791679
L3M1R1,-0.642279861496612,0.22861451370151803,0.02238976509409527
L3M5R1,1.464973332273719,-0.36595971188687354,0.14843530968162416
L4M2R2,-1.6380811442069998,0.508591752734023,2.0980141623480084
L4M3R3,1.310972120677187,1.7050879829254453,0.4113593182555967
L4M4R1,1.8515545082292255,0.6470018998230659,0.10916566858501663
L4M7R1,0.7167792049152809,1.1363181313047923,0.2858494062651383
bg-2,-0.7983291983794443,-0.41721340867064116,-0.9590939743005643
bg-3,-0.27453741926190844,0.15856223235149788,-0.9693371853302406
crp1-2,-0.7715133076226821,1.2916539044118174,-0.5984908626187189
crp1-3,-1.077320908205678,1.9115268260165383,-0.3882695222834678
crp2-2,-0.7810859828040431,0.01873809719826111,-0.19858221665272646
fp1-2,-1.722994552869344,-1.1011123998375845,0.8433280515335339
fp1-3,-1.2883548707060553,0.0974098134934906,-0.26084961061808953
fp2-2,-0.05640691591001253,0.5554640572788091,-0.307745045079549
gp1-1,1.7620067896591731,0.41686802460961203,0.2575471389453151
gp1-2,2.803319220573494,-0.9134278415976628,-0.40270616648459373
gp1-3,1.7578256073792116,0.047279259977869574,0.3265723010989206
pms-1,-0.47980859407086573,1.0261814879229791,-0.32105748974304305
pms-2,-0.731505637147318,0.14347913957700212,-0.9407937902995545
pms-3,-1.1998427379324523,0.3819277456991374,-0.630426034123719
ppf-1,-1.419135141389803,0.20277940432773853,-0.06246996601046469
src-2,-0.7748838242628596,-0.8676037163501545,0.3079767303898031
