exp_id,r_30c,lag_30c,maxOD_30c
40th-1,1.0803935831263694,-18.251564238143708,0.3001621405484027
H2M3R1,1.1642843445173514,-11.381574968861209,0.29211432117603575
H2M3R2,1.085950379027698,-16.861242126182646,0.2694436761710035
H3M1R1,0.5635896117410962,-19.01398033659176,0.13249274920572052
H3M3R2,0.7209102422185573,-18.02455816917756,0.13701364869439298
H3M4R1,0.4372907633297569,-17.741361977002065,0.08108428630046421
H4M5R1,0.6360413146702177,-16.0657387130746,0.11329567680729374
L1M2R2,0.5265157882028062,-15.952034593677713,0.1306198724125021
L2M2R1,1.0093104778949364,-15.07992732335652,0.2461191191110253
L2M4R1,0.507140217675161,-15.89118954067525,0.1557095715485085
L3M1R1,0.7491964769617008,-13.71914269304429,0.22920074057976283
L3M5R1,0.520100015402635,-17.25996131400882,0.11436113062738182
L4M2R2,1.2094999685308787,-10.432904764027874,0.1539782697682838
L4M3R3,0.2587272619704576,-12.7800148553807,0.08969492141270638
L4M4R1,0.289066211102528,-15.73469837680456,0.08791700764018187
L4M7R1,0.4258007026519511,-13.308018792375403,0.1335457754641554
bg-2,0.7158330746197625,-15.558383681616434,0.3022980286545146
bg-3,0.5367832229466396,-15.03704119256404,0.27036684559312907
crp1-2,0.498680692538195,-11.932773538367217,0.26504991824407464
crp1-3,0.4845948920327404,-10.189398108675398,0.2634999340057669
crp2-2,0.7689072310867406,-14.139949212521916,0.25169692372342467
fp1-2,1.273010477557932,-14.470595010269868,0.2477321010298685
fp1-3,0.8290622258915503,-13.439379631032724,0.2818042087708381
fp2-2,0.5469263836748139,-14.005147273860636,0.21540221960244116
gp1-1,0.3648192210600308,-15.97373271188838,0.08555808663712397
gp1-2,0.29762917399153116,-20.322546056592294,0.08109349180050332
gp1-3,0.43574808321495095,-16.648561501226823,0.08461146520334102
pms-1,0.5389886936882301,-12.589017027845369,0.23488013884147896
pms-2,0.6186125913819445,-14.512143186143044,0.29305725744790967
pms-3,0.70836263246322,-13.258739568516056,0.29718965171470335
ppf-1,0.8663569188067015,-12.928074445234598,0.2758662213126694
src-2,0.9925553382041856,-15.519313504370936,0.22788069969658212
