,,,,BC1,BC2,BC3,BC4,,RT1,RT2,RT3,RT4,,BC1,BC2,BC3,BC4,,RT1,RT2,RT3,RT4,,avg BC,,,avg RT,,,BC/RT,,
188.1,13.751,Golm,NA1),59875,40868,46551,40815,,45273,33746,40153,32117,,6.311905983,3.853374263,4.830796636,2.426923219,,1.76346777,0.993226708,1.229996972,0.853142123,,4.355750025,1.635539633,,1.209958393,0.400443358,,3.599917196,0.009663055,"188.1(13.751,Golm_NA1)"
152.1,14.0657,? Golm,Pyridine,13716,13214,15915,15855,,16293,18951,20780,22978,,1.445914029,1.245925602,1.65156771,0.942762897,,0.634642731,0.557773939,0.636548628,0.610377672,,1.321542559,0.301980584,,0.609835743,0.036695549,,2.167046742,0.00339885,"152.1(14.0657,? Golm_Pyridine, 3-hydroxy- (1TMS))"
188.1,14.4719,NF08,L-Leucine,3338,3738,6241,5101,,10119,14892,15644,10706,,0.351885464,0.352449667,0.647655299,0.303313373,,0.394153919,0.438307714,0.479218804,0.284389562,,0.413825951,0.15757841,,0.3990175,0.083942815,,1.037112285,0.873698468,"188.1(14.4719,NF08_L-Leucine, O-TMS)"
369.1,14.5296,? NF07,Pentasiloxane Dodoecamethyl),15605,17399,28609,19183,,13371,17496,13430,18831,,1.645048733,1.64052214,2.968878455,1.14065094,,0.520825383,0.514949756,0.411397886,0.500218555,,1.848775067,0.783357109,,0.486847895,0.051041364,,3.79743876,0.013307087,"369.1(14.5296,? NF07_Pentasiloxane Dodoecamethyl)"
188.2,15.1115,NF08,L-Isoleucine,211396,156186,180819,146699,,16362,24343,27926,19039,,22.28495494,14.7265125,18.76436203,8.722950123,,0.63733041,0.716473589,0.855450288,0.505743777,,16.1246949,5.821150692,,0.678749516,0.146393075,,23.75647351,0.001820814,"188.2(15.1115,NF08_L-Isoleucine, O-TMS)"
172.1,15.1135,NF08,L-Proline,56638,46845,69978,98907,,25678,33375,34514,30801,,5.970667743,4.416935435,7.261916758,5.881163661,,1.000205981,0.982307277,1.057258872,0.818184467,,5.882670899,1.1631058,,0.964489149,0.10263927,,6.09926084,0.00015258,"172.1(15.1135,NF08_L-Proline, O-TMS)"
176.1,15.4126,? Golm,Alanine,767,435,16085,39073,,2203,2290,14369,53635,,0.080855647,0.041015411,1.669209338,2.323341196,,0.085810958,0.06740026,0.440162042,1.424736986,,1.028605398,1.148952823,,0.504527561,0.637006587,,2.038749668,0.455365178,"176.1(15.4126,? Golm_Alanine, beta- (2TMS))"
233,15.7029,NF07,Malonic Acid,0,4071,3010,350724,,6954,9034,11051,13834,,0,0.383847671,0.312360591,20.85459314,,0.270871267,0.265892553,0.338522565,0.367480404,,5.38770035,10.31260883,,0.310691697,0.05030621,,17.34098594,0.362838987,"233(15.7029,NF07_Malonic Acid, O,O-TMS)"
218.1,16.0488,NF08,L-Valine,398753,463577,773292,1233194,,499622,689714,890029,1301966,,42.03576529,43.70988747,80.24782265,73.32762837,,19.46120854,20.29995749,27.26403942,34.58486276,,59.83027594,19.79533843,,25.40251705,7.050200924,,2.355289274,0.016891015,"218.1(16.0488,NF08_L-Valine, N,O-TMS)"
369.1,16.0976,Golm,NA),9992,13064,7962,7362,,5101,5948,5039,5772,,1.053337196,1.231782357,0.826250839,0.437755941,,0.198693462,0.17506408,0.154358447,0.153324916,,0.887281583,0.34256547,,0.170360226,0.021378784,,5.208267221,0.005829842,"369.1(16.0976,Golm_NA)"
171.1,16.8071,? NF07,Urea,1272702,896831,988558,1069667,,673019,472164,557833,637545,,134.1657682,84.5606708,102.5868974,63.60405926,,26.21534502,13.89693283,17.08796107,16.93547015,,96.2293489,29.88956285,,18.53392727,5.327656754,,5.192064667,0.002182158,"171.1(16.8071,? NF07_Urea, N,N-TMS)"
190.1,16.8111,? NF07,Urea,656992,368885,511460,627915,,139500,105094,155355,214535,,69.25881813,34.78153972,53.07639465,37.33680002,,5.433785123,3.093171565,4.758951499,5.698815125,,48.61338813,15.96489563,,4.746180828,1.170884919,,10.24263295,0.00154235,"190.1(16.8111,? NF07_Urea, N,N-TMS)"
156.1,16.8159,? NF09,Urea,12917,8710,10811,12423,,3999,3044,3872,5059,,1.361685004,0.821251097,1.121903771,0.738690853,,0.155768507,0.08959231,0.118610024,0.134385092,,1.010882681,0.286028251,,0.124588983,0.027860615,,8.113740521,0.000833984,"156.1(16.8159,? NF09_Urea, N,N-TMS)"
194.1,17.1936,NF10,Benzoic Acid,8813,9648,8538,8481,,5722,6554,6972,7043,,0.92904931,0.909693523,0.886024826,0.504293417,,0.22288257,0.192900132,0.213571561,0.187087212,,0.807265269,0.202746073,,0.204110368,0.016905295,,3.955042926,0.001026354,"194.1(17.1936,NF10_Benzoic Acid, O-TMS)"
219.1,17.2432,NF07,L-Serine,67062,47537,78697,102237,,38655,41639,63904,46279,,7.069545537,4.482182939,8.166724729,6.079170627,,1.505684329,1.22553686,1.957555512,1.229335377,,6.449405958,1.564267397,,1.47952802,0.344626514,,4.359096869,0.000807763,"219.1(17.2432,NF07_L-Serine, O,O-TMS)"
174.1,17.5124,Golm,Ethanolamine ,569215,622853,901495,1170459,,2104856,2224305,2414402,2625042,,60.00553761,58.72775081,93.55199702,69.59730794,,81.98806609,65.46669627,73.95978254,69.73048245,,70.47064835,16.13407951,,72.78625684,7.046611005,,0.968186185,0.80131114,"174.1(17.5124,Golm_Ethanolamine (3TMS))"
205.2,17.5551,NF07,Phosphoric Acid,11674703,4035384,2106672,1309135,,2961984,1432889,1109447,1286293,,1230.724471,380.4894991,218.6183758,77.84319804,,115.3748,42.17340201,33.98541703,34.16853196,,476.9188861,517.5268255,,56.42553774,39.48447886,,8.452181497,0.156294529,"205.2(17.5551,NF07_Phosphoric Acid, O,O,O-TMS)"
178,17.5599,NF07,Phosphoric Acid,287,435,16600,55173,,81195,75051,78173,81799,,0.030254981,0.041015411,1.722653094,3.280672173,,3.162696653,2.208933137,2.394654279,2.172873323,,1.268648915,1.559386732,,2.484789348,0.462266482,,0.510565982,0.18542833,"178(17.5599,NF07_Phosphoric Acid, O,O,O-TMS)"
299.2,17.566,NF07,Phosphoric Acid,8613960,10742433,18916095,26950274,,31836592,37431331,42178579,43267456,,908.0669004,1012.88575,1963.004191,1602.505102,,1240.094623,1101.694946,1292.046035,1149.338023,,1371.615486,498.870367,,1195.793407,86.10030815,,1.147033825,0.513283588,"299.2(17.566,NF07_Phosphoric Acid, O,O,O-TMS)"
158.2,17.6067,NF07,L-Leucine,459547,542375,589709,1001517,,1336374,1700333,2207065,2768160,,48.44455046,51.13961697,61.1966285,59.55175453,,52.05425921,50.04492822,67.60847922,73.53220722,,55.08313762,6.24407726,,60.80996847,11.55600339,,0.905824144,0.416737037,"158.2(17.6067,NF07_L-Leucine, N,O-TMS)"
158.2,18.2089,NF07,L-Isoleucine,840108,966178,1289028,2291532,,1537603,2097412,3081798,3952978,,88.56255051,91.09928157,133.7679561,136.2580477,,59.89250399,61.73192721,94.40396003,105.0052011,,112.421959,26.12622351,,80.25839808,22.88012927,,1.400750098,0.113431462,"158.2(18.2089,NF07_L-Isoleucine, N,O-TMS)"
219.1,18.2625,NF08,L-Threonine,135139,108481,192131,291328,,111598,130189,210514,222572,,14.2460904,10.22848912,19.93825672,17.32281484,,4.346950195,3.83177834,6.448623577,5.912306523,,15.43391277,4.177895113,,5.134914659,1.244885737,,3.005680482,0.003241424,"219.1(18.2625,NF08_L-Threonine, O,O-TMS)"
216.1,18.4395,NF07,L-Proline,164008,172603,337516,550245,,65637,89336,111405,186171,,17.2894042,16.27444353,35.02548081,32.71842133,,2.556683542,2.629375368,3.41264196,4.945366074,,25.32693747,9.920439579,,3.386016736,1.109441145,,7.479861868,0.004588282,"216.1(18.4395,NF07_L-Proline, N,O-TMS)"
180.1,18.487,NF09,Nicotinic Acid TMS),94306,83458,72014,76162,,60775,81404,64971,61505,,9.941555001,7.86911298,7.473201197,4.528710675,,2.367299576,2.395917351,1.990240661,1.633792268,,7.453144963,2.229942605,,2.096812464,0.359801919,,3.554511952,0.003182657,"180.1(18.487,NF09_Nicotinic Acid TMS)"
174.1,18.6267,NF07,Glycine,2635062,2237183,4351425,6149082,,1126447,1084533,1543321,1929991,,277.7831082,210.9401829,451.5660083,365.6339552,,43.87721111,31.9204392,47.27617255,51.26744774,,326.4808136,104.7224558,,43.58531765,8.342504095,,7.490614529,0.001686524,"174.1(18.6267,NF07_Glycine, N,N,O-TMS)"
