Hs,Ht,Gst,Gprime_st,D,loc_id,gene
0,0,NA,NA,0,loc00130,group_6370
0,0,NA,NA,0,loc00131,group_6369
0,0,NA,NA,0,loc00132,asnB_2~~~asnB~~~asnB_1
0,0,NA,NA,0,loc00133,group_6367
0,0,NA,NA,0,loc00134,pcaI
0,0,NA,NA,0,loc00135,ydhP
0,0,NA,NA,0,loc00136,yphB
0,0,NA,NA,0,loc00137,benM
0,0,NA,NA,0,loc00138,group_6366
0,0,NA,NA,0,loc00139,ybjL
0,0,NA,NA,0,loc00140,rbsC_8
0,0,NA,NA,0,loc00141,arnC_2
0,0,NA,NA,0,loc00142,group_6363
0,0,NA,NA,0,loc00143,frzE~~~rcsC_10
0,0,NA,NA,0,loc00144,doxA_1
0,0,NA,NA,0,loc00145,thlA
0,0,NA,NA,0,loc00146,mshA_5~~~mshA_10
0,0,NA,NA,0,loc00147,group_6362
0,0,NA,NA,0,loc00148,group_6361
0,0,NA,NA,0,loc00149,group_6359
0,0,NA,NA,0,loc00150,group_6358
0,0,NA,NA,0,loc00151,ampC
0,0,NA,NA,0,loc00152,yhdN_2~~~yhdN_1~~~yajO_3
0,0,NA,NA,0,loc00153,group_6357
0,0,NA,NA,0,loc00154,group_6356
0,0,NA,NA,0,loc00155,fadJ_1~~~fadB~~~fadJ_2
0,0,NA,NA,0,loc00156,group_6355
0,0,NA,NA,0,loc00157,srpC
0,0,NA,NA,0,loc00158,group_6354
0,0,NA,NA,0,loc00159,group_6353
0,0,NA,NA,0,loc00160,group_6352
0,0,NA,NA,0,loc00161,comM
0,0,NA,NA,0,loc00162,group_6351
0,0,NA,NA,0,loc00163,group_6350
0,0,NA,NA,0,loc00164,lerK
0,0,NA,NA,0,loc00165,group_6348
0,0,NA,NA,0,loc00166,dapA_4
0,0,NA,NA,0,loc00167,cheR1
0,0,NA,NA,0,loc00168,group_6347
0,0,NA,NA,0,loc00169,group_6338
0,0,NA,NA,0,loc00170,group_6333
0,0,NA,NA,0,loc00171,group_6323
0,0,NA,NA,0,loc00172,group_6322
0,0,NA,NA,0,loc00173,group_6308
0,0,NA,NA,0,loc00174,group_6295
0,0,NA,NA,0,loc00175,group_6291
0,0,NA,NA,0,loc00176,group_6287
0,0,NA,NA,0,loc00177,ros_4~~~ros_3
0,0,NA,NA,0,loc00178,group_6283
0,0,NA,NA,0,loc00179,traC_1~~~traC
0,0,NA,NA,0,loc00180,group_6282
0,0,NA,NA,0,loc00181,group_6281
0,0,NA,NA,0,loc00182,ros_3~~~ros_2
0,0,NA,NA,0,loc00183,group_6274
0,0,NA,NA,0,loc00184,group_6272
0,0,NA,NA,0,loc00185,group_6271
0,0,NA,NA,0,loc00186,group_6266
0,0,NA,NA,0,loc00187,group_6264
0,0,NA,NA,0,loc00188,hcaB_6~~~hcaB_2~~~hcaB_1~~~hcaB_4
0,0,NA,NA,0,loc00189,group_6262
0,0,NA,NA,0,loc00190,dadA_3~~~dadA_1
0,0,NA,NA,0,loc00191,group_6257
0,0,NA,NA,0,loc00192,group_6255
0,0,NA,NA,0,loc00193,group_6254
0,0,NA,NA,0,loc00194,group_6252
0,0,NA,NA,0,loc00195,group_6251
0,0,NA,NA,0,loc00196,group_6249
0,0,NA,NA,0,loc00197,group_6247
0,0,NA,NA,0,loc00198,group_6236
0,0,NA,NA,0,loc00199,group_6235
0,0,NA,NA,0,loc00200,group_6233
