gradient,exp_plant,exp_nitrogen,trait,trait_abbr,contrast,effect_size,se,df,lower_cl,upper_cl
elevation,lupulina,N-,nodule_number,NN  ,high elevation - low elevation,-0.41039890473717744,0.2790026993638065,1.6141796093044647,-1.9324524322028052,1.1116546227284503
elevation,lupulina,N-,shoot_biomass_mg,SB  ,high elevation - low elevation,0.08079518665294927,0.21842395583466528,1.0075678679633628,-2.645765301244911,2.8073556745508097
elevation,lupulina,N-,root_biomass_mg,RB  ,high elevation - low elevation,0.05577529029508277,0.27092670406941144,1.5746454648381518,-1.4703590957493564,1.581909676339522
urbanization,lupulina,N-,nodule_number,NN  ,suburban - urban,0.669466817067466,0.2807031621495024,4.7065548402320525,-0.06584745806418901,1.404781092199121
urbanization,lupulina,N-,shoot_biomass_mg,SB  ,suburban - urban,0.4243108598760499,0.27598076341759076,4.706554840232025,-0.2986328841442083,1.147254603896308
urbanization,lupulina,N-,root_biomass_mg,RB  ,suburban - urban,0.8210117410497946,0.3718377754943561,4.869232131118615,-0.14260048369253275,1.784623965792122
elevation,sativa,N-,nodule_number,NN  ,high elevation - low elevation,0.5603981104705746,0.19333863316642633,4.31465949180944,0.03869600332025458,1.0821002176208947
elevation,sativa,N-,primary_root_nodule_number,PRNN,high elevation - low elevation,-0.055681024687871505,0.17968891212873547,4.23293770273411,-0.5439343523363425,0.4325723029605994
elevation,sativa,N-,lateral_root_nodule_number,LRNN,high elevation - low elevation,0.7633546611777529,0.2168014319036786,4.438520488560839,0.18416142001059777,1.3425479023449078
elevation,sativa,N-,shoot_height,SH  ,high elevation - low elevation,-0.9697477448631109,0.17523439483736555,4.137468166297212,-1.4499670961147575,-0.4895283936114642
elevation,sativa,N-,longest_petiole_length,LPL ,high elevation - low elevation,-0.8687113719076835,0.19050939583316856,4.274982324941414,-1.384498595067842,-0.3529241487475252
elevation,sativa,N-,leaf_number,LN  ,high elevation - low elevation,-1.1316773718874074,0.1814160020568385,4.172200512070247,-1.6272751538890229,-0.6360795898857917
elevation,sativa,N-,leaf_color,LC  ,high elevation - low elevation,-1.4634292716120214,0.18450379227283245,4.144729546535667,-1.9687158870883337,-0.9581426561357091
elevation,sativa,N+,nodule_number,NN  ,high elevation - low elevation,-0.23646984515176128,0.1957547234945415,3.101761961412927,-0.8480443182307082,0.3751046279271857
elevation,sativa,N+,primary_root_nodule_number,PRNN,high elevation - low elevation,-0.20734426929372468,0.19131080647584692,3.0420937323493136,-0.8114423430115056,0.3967538044240562
elevation,sativa,N+,lateral_root_nodule_number,LRNN,high elevation - low elevation,-0.23201468626479582,0.23019046866256068,3.494892309730581,-0.9092557711173249,0.4452263985877333
elevation,sativa,N+,shoot_height,SH  ,high elevation - low elevation,-0.2820985805205902,0.37577051740600403,4.312053976298158,-1.2962924352867096,0.7320952742455291
elevation,sativa,N+,longest_petiole_length,LPL ,high elevation - low elevation,-0.01116885975837656,0.23648309668695486,3.5582559867400274,-0.7011818523408834,0.6788441328241303
elevation,sativa,N+,leaf_number,LN  ,high elevation - low elevation,0.037363679134864825,0.2292504797090655,3.4908454863840435,-0.6374766950786598,0.7122040533483894
elevation,sativa,N+,leaf_color,LC  ,high elevation - low elevation,-0.12832724774396276,0.28661761884746867,3.9248682325273982,-0.930149146766196,0.6734946512782705
urbanization,sativa,N-,nodule_number,NN  ,suburban - urban,0.11449247949827268,0.3074152167475522,5.921273015060659,-0.6401564394656418,0.8691413984621872
urbanization,sativa,N-,shoot_height,SH  ,suburban - urban,-0.04875564220234074,0.19698530987586896,5.571714903045868,-0.5398865912138517,0.4423753068091702
urbanization,sativa,N-,leaf_number,LN  ,suburban - urban,0.03206397621658752,0.38662044376455124,5.962774792662989,-0.915395640073264,0.9795235925064391
urbanization,sativa,N-,leaf_color,LC  ,suburban - urban,0.03211108304208299,0.19696839590438672,5.571714903045792,-0.4589776954397041,0.5231998615238701
urbanization,sativa,N-,primary_root_length,PRL ,suburban - urban,0.21151889072299834,0.21161016608963232,5.678622535190265,-0.31345955307969675,0.7364973345256934
urbanization,sativa,N-,lateral_root_number,LRN ,suburban - urban,0.3483001000984378,0.19847418882333343,5.5717149030457644,-0.14654297613155837,0.843143176328434
urbanization,sativa,N-,longest_lateral_root_length,LLRL,suburban - urban,0.02521690233521423,0.3127185832897648,5.925829732711212,-0.7423055262911072,0.7927393309615357
