 ,1,2,3,4,5,6,7,8,9
1,L1M1R1,L1M1R2,L1M1R4,L1M2R1,L1M2R2,L1M2R3,L1M2R4,L1M3R1,L1M3R2
2,,,,,,,,,
3,L1M4R1,L1M4R2,L2M1R1,L2M2R1,L2M2R2,L2M3R2,L2M4R1,L2M4R2,L2M4R4
4,,,,,,,,,
5,L2M5R2,L3M1R1,L3M2R1,L3M2R2,L3M3R1,L3M4R1,L3M4R2,L3M4R3,L3M5R1
6,,,,,,,,,
7,L3M5R2,L3M6R1,L3M6R2,L4M1R1,L4M1R3,L4M2R2,L4M3R3,L4M4R1,L4M4R3
8,,,,,,,,,
