genome_id,gene,value
g4,cbpA_1~~~cbpA_2~~~dnaJ_3~~~dnaJ_1,1
g4,group_6151,1
g4,group_6150,1
g4,group_6149,1
g4,btuD_17~~~sugC_1,1
g4,group_6147,1
g4,ugpC_3~~~ugpC_13~~~btuD_3,1
g4,group_6146,1
g4,group_6145,1
g4,abo_2~~~abo_1,1
g4,group_6144,1
g4,group_6139,1
g4,group_6138,1
g4,COQ5_5~~~COQ5_2,1
g4,group_6134,1
g4,rssA,1
g4,cheB_5~~~cheB1,1
g4,group_6133,1
g4,treS,1
g4,group_6132,1
g4,group_6131,1
g4,group_6130,1
g4,ssuB_2~~~ssuB_1,1
g4,group_6129,1
g4,group_6128,1
g4,group_6127,1
g4,group_6126,1
g4,group_6125,1
g4,btuC_1~~~yfhA_1~~~yfhA_2,1
g4,sucB_2~~~sucB_1,1
g4,group_6124,1
g4,group_6123,1
g4,rihB_1~~~rihA_4~~~rihA_1~~~rihB_2,1
g4,group_6119,1
g4,group_6118,1
g4,group_6117,1
g4,fecE_1~~~fecE_2,1
g4,group_6116,1
g4,afr_1~~~iolG_16,1
g4,group_6115,1
g4,group_6114,1
g4,paaD,1
g4,rhaR_7~~~rhaS_1,1
g4,lutR_7~~~lutR_10~~~lutR_5,1
g4,rfbE,1
g4,yhdY_3~~~yhdY_2,1
g4,uppS,1
g4,cysQ_1~~~cysQ_2~~~cysQ_3~~~cysQ_4~~~suhB_4~~~suhB_2,1
g4,caiD_2~~~caiD_1,1
g4,group_6111,1
g4,group_6110,1
g4,group_6109,1
g4,group_6108,1
g4,pcaJ_2~~~pcaJ_1~~~pcaJ,1
g4,group_6107,1
g4,yhfA,1
g4,group_6106,1
g4,mshA_9~~~mshA_4,1
g4,group_6105,1
g4,group_6104,1
g4,group_6102,1
g4,bicA,1
g4,sasA_5~~~sasA_2,1
g4,noc_4~~~noc_5~~~noc_1,1
g4,group_6101,1
g4,group_6100,1
g4,otnI,1
g4,group_6099,1
g4,group_6097,1
g4,rcsC_10~~~rcsC_5,1
g4,group_6096,1
g4,kpsT,1
g4,group_6091,1
g4,group_6090,1
g4,group_6089,1
g4,rfbC_1~~~rfbC_2,1
g4,gno_3~~~gno_2,1
g4,group_6087,1
g4,gcvA_5~~~gcvA_2,1
g4,group_6086,1
g4,group_6085,1
g4,rbsA_1~~~btuD_6,1
g4,group_6083,1
g4,atzA~~~triA,1
g4,rbsR_2~~~exuR_1~~~rbsR_3,1
g4,group_6080,1
g4,dppC_1~~~dppC_3,1
g4,vat~~~dapH,1
g4,group_6078,1
g4,group_6077,1
g4,group_6076,1
g4,dctD_1~~~dctD_2,1
g4,group_6073,1
g4,group_6072,1
g4,dhaL2,1
g4,group_6070,1
g4,group_6068,1
g4,group_6066,1
g4,fabG_11~~~fabG_1,1
g4,group_6052,1
g4,group_6051,1
g4,rhaS_1~~~rclR_2,1
g4,group_6050,1
g4,group_6049,1
g4,group_6045,1
g4,group_6037,1
g4,group_6035,1
g4,group_6033,1
g4,group_6030,1
g4,group_6028,1
g4,yflN,1
g4,group_6027,1
g4,group_6020,1
g4,group_6019,1
g4,group_6017,1
g4,group_6016,1
g4,ydbD,1
g4,group_6014,1
g4,putA,1
g4,dnaE2_3~~~dnaE2_2~~~dnaE2_1~~~imuB,1
g4,sasA_4~~~envZ~~~sasA_9~~~sasA_13,1
g4,group_6013,1
g4,group_6012,1
g4,tdh_2~~~ppsC~~~tdh_3~~~pks5,1
g4,group_6011,1
g4,purF_4~~~purF_3~~~purF_2~~~yciK,1
g4,ndvB_2~~~ndvB_1~~~ndvB_3,1
g4,group_6010,1
g4,cobQ_1~~~cobQ_2~~~cobQ~~~cpo_4,1
g4,group_6008,1
g4,group_6006,1
g4,clpB~~~clpB_2,1
g4,sir_1~~~sir_2~~~sir,1
g4,cobN_1~~~cobN_2~~~cobN,1
g4,glcB_3~~~glcB_2~~~glcB_1~~~glcB,1
g4,kdpD~~~sasA_1,1
g4,pal_2~~~pal_3~~~pal_1,1
g4,group_6004,1
g4,yheS_2,1
g4,group_6003,1
g4,group_6001,1
g4,rutC_2~~~tdcF,1
g4,cysA_3~~~btuD_15~~~btuD_8,1
g4,group_5999,1
g4,group_5998,1
g4,sufT,1
g4,ftsH_1~~~ftsH~~~ftsH_2,1
g4,puuB_2~~~puuB_7~~~puuA_1~~~mnmC_3~~~puuA_2,1
g4,adeC_1~~~ade_1~~~ade_2,1
g4,gshAB,1
g4,group_5996,1
g4,tdh_1~~~mshA_12~~~mshA_16,1
g4,group_5995,1
g4,metH_2,1
g4,group_5988,1
g4,group_5987,1
g4,group_5984,1
g4,group_5983,1
g4,group_5981,1
g4,bcsA_2~~~bcsA~~~bcsA_1,1
g4,yddA,1
g4,group_5980,1
g4,group_5979,1
g4,group_5978,1
g4,lutR_10,1
g4,ccmF,1
g4,group_5976,1
g4,ctaD_2~~~ctaD_1~~~qoxB,1
g4,group_5969,1
g4,group_5968,1
g4,bepG,1
g4,group_5967,1
g4,mglA_2~~~mglA_1~~~mglA_9,1
g4,group_5965,1
g4,cbiG,1
g4,group_5964,1
g4,glnA_1,1
g4,group_5963,1
g4,group_5962,1
g4,speB,1
g4,group_5961,1
g4,group_5960,1
g4,group_5959,1
g4,group_5958,1
g4,nqo3_2~~~sfrA,1
g4,group_5957,1
g4,pat_2,1
g4,thrC,1
g4,group_5955,1
g4,moaB,1
g4,group_5953,1
g4,ruvB_1~~~ruvB_2~~~ruvB,1
g4,fixN_2~~~fixN_4,1
g4,group_5951,1
g4,prsD_2~~~prsD_3~~~prsD_1,1
g4,paoA_2~~~paoA_1,1
g4,ynfE~~~dmsA,1
g4,emrB_2~~~mdtD_1,1
g4,group_5950,1
g4,group_5949,1
g4,group_5948,1
g4,group_5947,1
g4,group_5946,1
g4,group_5945,1
g4,atpB_1~~~fliI,1
g4,group_5944,1
g4,queE,1
g4,ubiL_2~~~ubiL_1,1
g4,fixN_2~~~fixN_1,1
g4,cya_2,1
g4,aatA_1~~~aatA_2~~~aatA,1
g4,cmoB_2~~~cmoB_1,1
g4,group_5942,1
g4,apr,1
g4,ettA_1~~~yheS_1,1
g4,group_5941,1
g4,glnH_5,1
g4,uup,1
g4,hutH_1,1
g4,aspC_3,1
g4,cynT,1
g4,group_5940,1
g4,paoC_1~~~paoC_2,1
g4,dnaC,1
g4,cysA_1~~~btuD_13,1
g4,group_5938,1
g4,malP_2~~~malP_1~~~malP,1
g4,ogt_1~~~ogt_2,1
g4,garR_1,1
g4,nicS_1~~~nicS_2,1
g4,group_5937,1
g4,group_5936,1
g4,gsiA_15~~~gsiA_5,1
g4,group_5934,1
g4,mglA_9~~~mglA_8~~~mglA_6~~~mglA_4,1
g4,gsiA_2~~~gsiA_14~~~gsiA_5,1
g4,group_5933,1
g4,group_5931,1
g4,carB_2~~~carB_1~~~carB,1
g4,hbpA_1~~~oppA_2,1
g4,secA,1
g4,gsiA_1~~~gsiA_2~~~gsiA_11,1
g4,group_5930,1
g4,fliC,1
g4,group_5928,1
g4,echA8_2~~~echA8_4,1
g4,alaS_1~~~alaS_2~~~alaS,1
g4,trxB_2~~~trxB_3~~~trxB_1,1
g4,group_5927,1
g4,group_5926,1
g4,cra,1
g4,namA~~~stcD~~~stcD_1,1
g4,group_5924,1
g4,aaeA_1,1
g4,dtnK~~~nanR_5~~~lutR_8~~~lutR_3,1
g4,wcaJ,1
g4,tdh_3~~~adhT,1
g4,ylmB,1
g4,znuA,1
g4,des_2~~~des_1~~~des,1
g4,livF_3~~~livF_1,1
g4,gbuC,1
g4,spuC_3~~~spuC_2~~~spuC_1,1
g4,betB_4~~~araE~~~tsaD1~~~betB_2,1
g4,group_5921,1
g4,group_5920,1
g4,trpS,1
g4,group_5918,1
g4,nadB,1
g4,MRI1~~~mtnA,1
g4,group_5917,1
g4,group_5916,1
g4,asnB_3~~~asnB_1~~~purF_3~~~purF_1,1
g4,argC_2~~~argC_1~~~argC,1
g4,tdh_3~~~adhD,1
g4,flhA_2,1
g4,flhA_1,1
g4,hypBA1_2,1
g4,phnM_1~~~phnM_2~~~phnM,1
g4,group_5914,1
g4,group_5913,1
g4,prs_2,1
g4,algE5_2,1
g4,mliC,1
g4,group_5912,1
g4,rpoD_2~~~rpoD_1~~~rpoD,1
g4,group_5911,1
g4,group_5910,1
g4,exoI,1
g4,group_5907,1
g4,rhtB_3,1
g4,dasA,1
g4,purF_1~~~purF_3,1
g4,glgC,1
g4,cyaA,1
g4,group_5905,1
g4,group_5904,1
g4,siaM_3~~~siaM_1,1
g4,group_5902,1
g4,group_5901,1
g4,lafU,1
g4,dmlR_3~~~dmlR_9~~~hdfR_1,1
g4,amiC_1~~~QRSL1~~~xylG_2,1
g4,yokD,1
g4,group_5900,1
g4,dadA1_3~~~dadA_1~~~dadA1_1,1
g4,ddl_1~~~ddlB,1
g4,nagR_1,1
g4,bkdA1,1
g4,group_5899,1
g4,speF~~~speC,1
g4,valS~~~valS_2~~~valS_1,1
g4,bepC_1~~~bepC~~~bepC_2,1
g4,group_5898,1
g4,group_5897,1
g4,radA,1
g4,purL_2~~~purL~~~purL_1,1
g4,group_5896,1
g4,deoR_2~~~deoR_3~~~deoR_4,1
g4,badA,1
g4,katA,1
g4,gabD_2,1
g4,nifH~~~nifH_2,1
g4,rbsA_6~~~rbsA_5~~~rbsA_4,1
g4,ubiD_1~~~ubiD_2~~~bsdB,1
g4,group_5895,1
g4,norG~~~hisC_5,1
