gene,non_unique_gene_name,annotation,from
prs_2,;prs_2,hypothetical protein;Ribose-phosphate pyrophosphokinase,prs
algE5_2,;algE5_2,hypothetical protein;Mannuronan C5-epimerase AlgE5,algE5
mliC,mliC;,Membrane-bound lysozyme inhibitor of C-type lysozyme;hypothetical protein,mliC
exoI,exoI;,Beta-hexosaminidase;hypothetical protein,exoI
rhtB_3,;rhtB_3,hypothetical protein;Homoserine/homoserine lactone efflux protein,rhtB
dasA,dasA;,Diacetylchitobiose binding protein DasA;hypothetical protein,dasA
glgC,glgC,Glucose-1-phosphate adenylyltransferase,glgC
cyaA,;cyaA,hypothetical protein;Adenylate cyclase 1,cyaA
lafU,;lafU,hypothetical protein;Chemotaxis protein LafU,lafU
yokD,;yokD,hypothetical protein;SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD,yokD
nagR_1,;nagR_1,hypothetical protein;HTH-type transcriptional repressor NagR,nagR
bkdA1,bkdA1;,2-oxoisovalerate dehydrogenase subunit alpha;hypothetical protein,bkdA1
radA,radA,DNA repair protein RadA,radA
badA,badA;,Autotransporter adhesin BadA;hypothetical protein,badA
katA,katA,Catalase,katA
gabD_2,gabD_2;,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD;hypothetical protein,gabD
tlyC,;tlyC,hypothetical protein;Hemolysin C,tlyC
pccB_2,;pccB_2,hypothetical protein;Propionyl-CoA carboxylase beta chain;Methylmalonyl-CoA carboxyltransferase 12S subunit,pccB
infB,;infB,hypothetical protein;Translation initiation factor IF-2,infB
rluB_2,;rluB_2,hypothetical protein;Ribosomal large subunit pseudouridine synthase B,rluB
queC,queC,7-cyano-7-deazaguanine synthase,queC
rsmH,rsmH,Ribosomal RNA small subunit methyltransferase H,rsmH
tmd,tmd;,Trimethylamine dehydrogenase;hypothetical protein,tmd
acoR,;acoR,hypothetical protein;Acetoin catabolism regulatory protein,acoR
lly,;lly,hypothetical protein;4-hydroxyphenylpyruvate dioxygenase,lly
agpA_1,;agpA_1,hypothetical protein;Periplasmic alpha-galactoside-binding protein,agpA
hcaB_4,;hcaB_4,hypothetical protein;3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,hcaB
phnG,phnG,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG,phnG
dmlR_10,;dmlR_10,hypothetical protein;HTH-type transcriptional regulator DmlR,dmlR
yveL,yveL;,Putative tyrosine-protein kinase YveL;hypothetical protein,yveL
srmB,;srmB,hypothetical protein;ATP-dependent RNA helicase SrmB,srmB
murG_1,murG_1,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,murG
ileS,;ileS,hypothetical protein;Isoleucine--tRNA ligase,ileS
rimJ,;rimJ,hypothetical protein;[Ribosomal protein S5]-alanine N-acetyltransferase,rimJ
cph2,;cph2,hypothetical protein;Phytochrome-like protein cph2,cph2
yfhM,yfhM;,Alpha-2-macroglobulin;hypothetical protein,yfhM
rlmB_1,;rlmB_1,hypothetical protein;Putative TrmH family tRNA/rRNA methyltransferase;23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,rlmB
cueO_1,;cueO_1,hypothetical protein;Blue copper oxidase CueO,cueO
ynjB,;ynjB,hypothetical protein;Protein YnjB,ynjB
ilvG,ilvG,Acetolactate synthase isozyme 2 large subunit,ilvG
nudC,nudC;,NADH pyrophosphatase;hypothetical protein,nudC
tap,;tap,hypothetical protein;Methyl-accepting chemotaxis protein IV,tap
proS,;proS,hypothetical protein;Proline--tRNA ligase,proS
nifK_1,nifK_1,Nitrogenase molybdenum-iron protein beta chain,nifK
yvgN,yvgN;,Glyoxal reductase;putative oxidoreductase/MSMEI_2347,yvgN
pncB,pncB,Nicotinate phosphoribosyltransferase,pncB
dusA,dusA;,tRNA-dihydrouridine(20/20a) synthase;hypothetical protein,dusA
ynhG,ynhG;,putative LD-transpeptidase YnhG;hypothetical protein,ynhG
fdhD,fdhD;,Sulfur carrier protein FdhD;hypothetical protein,fdhD
ves,;ves,hypothetical protein;Protein Ves,ves
hemS,;hemS,hypothetical protein;Hemin transport protein HemS,hemS
atoC_1,;atoC_1,hypothetical protein;Limonene hydroxylase;Regulatory protein AtoC,atoC
thiO,thiO,Glycine oxidase,thiO
pgsA,;pgsA,hypothetical protein;CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,pgsA
hemF,hemF,Oxygen-dependent coproporphyrinogen-III oxidase,hemF
napF,napF,Ferredoxin-type protein NapF,napF
cmoB_2,cmoB_2,tRNA U34 carboxymethyltransferase,cmoB
nuoJ_1,;nuoJ_1,hypothetical protein;NADH-quinone oxidoreductase subunit J,nuoJ
glmU_1,;glmU_1,hypothetical protein;Bifunctional protein GlmU,glmU
fpgS,;fpgS,hypothetical protein;Folylpolyglutamate synthase,fpgS
addA,;addA,hypothetical protein;ATP-dependent helicase/nuclease subunit A,addA
andAa_2,andAa_2,Anthranilate 12-dioxygenase system ferredoxin--NAD(+) reductase component,andAa
petC,petC,Cytochrome b6-f complex iron-sulfur subunit,petC
tesB,tesB;,Acyl-CoA thioesterase 2;hypothetical protein,tesB
soxB_2,soxB_2,Sarcosine oxidase subunit beta,soxB
uvrB,;uvrB,hypothetical protein;UvrABC system protein B,uvrB
dmg,dmg;,Dimethylglycine oxidase;hypothetical protein,dmg
hmuV,hmuV,Hemin import ATP-binding protein HmuV,hmuV
miaA,miaA,tRNA dimethylallyltransferase,miaA
murR,;murR,hypothetical protein;HTH-type transcriptional regulator MurR,murR
yjbI,;yjbI,hypothetical protein;Group 2 truncated hemoglobin YjbI,yjbI
isdG,;isdG,hypothetical protein;Heme oxygenase (staphylobilin-producing),isdG
yfkN_2,;yfkN_2,hypothetical protein;Trifunctional nucleotide phosphoesterase protein YfkN,yfkN
fliF,;fliF,hypothetical protein;Flagellar M-ring protein,fliF
rplJ,rplJ;,50S ribosomal protein L10;hypothetical protein,rplJ
prpB,prpB;,2-methylisocitrate lyase;putative protein,prpB
rlmE,rlmE,Ribosomal RNA large subunit methyltransferase E,rlmE
mgtE,mgtE;,Magnesium transporter MgtE,mgtE
murJ,murJ,putative lipid II flippase MurJ,murJ
gcvT_1,gcvT_1,Aminomethyltransferase,gcvT
sppA,sppA;,Putative signal peptide peptidase SppA;hypothetical protein,sppA
aroH,aroH,Phospho-2-dehydro-3-deoxyheptonate aldolase,aroH
pntAA,pntAA,NAD(P) transhydrogenase subunit alpha part 1,pntAA
gloC,gloC,Hydroxyacylglutathione hydrolase GloC,gloC
purC,purC,Phosphoribosylaminoimidazole-succinocarboxamide synthase,purC
mrpC,;mrpC,hypothetical protein;Na(+)/H(+) antiporter subunit C,mrpC
ligE,ligE;,Beta-etherase;hypothetical protein,ligE
nit1,nit1,Deaminated glutathione amidase,nit1
yibF,;yibF,hypothetical protein;putative GST-like protein YibF,yibF
rlmJ,rlmJ,Ribosomal RNA large subunit methyltransferase J,rlmJ
msrP_2,;msrP_2,hypothetical protein;Protein-methionine-sulfoxide reductase catalytic subunit MsrP,msrP
trmFO,trmFO,Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO,trmFO
gntK,gntK,Thermoresistant gluconokinase,gntK
kdsD_2,kdsD_2;,Arabinose 5-phosphate isomerase KdsD;hypothetical protein,kdsD
lysDH,lysDH,Lysine 6-dehydrogenase,lysDH
bpt,bpt,Aspartate/glutamate leucyltransferase,bpt
yiaO,;yiaO,hypothetical protein;23-diketo-L-gulonate-binding periplasmic protein YiaO,yiaO
livH_3,;livH_3,hypothetical protein;High-affinity branched-chain amino acid transport system permease protein LivH,livH
sspA_1,;sspA_1,hypothetical protein;Stringent starvation protein A,sspA
ygeX,;ygeX,hypothetical protein;Diaminopropionate ammonia-lyase,ygeX
oxyR_1,;oxyR_1,hypothetical protein;Hydrogen peroxide-inducible genes activator,oxyR
mak,mak,Fructokinase,mak
novN,novN,Decarbamoylnovobiocin carbamoyltransferase,novN
ptsJ_1,ptsJ_1;,Vitamin B6 salvage pathway transcriptional repressor PtsJ;hypothetical protein,ptsJ
moeA,moeA,Molybdopterin molybdenumtransferase,moeA
ispDF,ispDF,Bifunctional enzyme IspD/IspF,ispDF
cinA,cinA,Putative competence-damage inducible protein,cinA
otsB,otsB,Trehalose-6-phosphate phosphatase,otsB
acxB,acxB;,Acetone carboxylase alpha subunit;hypothetical protein,acxB
ygfF,;ygfF,hypothetical protein;putative oxidoreductase YgfF,ygfF
zntR,zntR,HTH-type transcriptional regulator ZntR,zntR
uao,;uao,hypothetical protein;Uric acid degradation bifunctional protein,uao
ybaK,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,ybaK
tspO,;tspO,hypothetical protein;Tryptophan-rich sensory protein,tspO
nadC,nadC;,Nicotinate-nucleotide pyrophosphorylase [carboxylating];hypothetical protein;putative nicotinate-nucleotide pyrophosphorylase [carboxylating],nadC
esiB,esiB,Secretory immunoglobulin A-binding protein EsiB,esiB
moxF,moxF,Methanol dehydrogenase [cytochrome c] subunit 1,moxF
nemR,;nemR,hypothetical protein;HTH-type transcriptional repressor NemR,nemR
ybhL,ybhL;,Inner membrane protein YbhL;hypothetical protein,ybhL
fdxA,fdxA,Ferredoxin-2,fdxA
rplR,;rplR,hypothetical protein;50S ribosomal protein L18,rplR
xynB,;xynB,hypothetical protein;Beta-xylosidase,xynB
dnaQ,dnaQ,DNA polymerase III subunit epsilon,dnaQ
leuA,leuA,2-isopropylmalate synthase,leuA
pgk,pgk,Phosphoglycerate kinase,pgk
nth,nth,Endonuclease III,nth
ywlC,ywlC;,Threonylcarbamoyl-AMP synthase;hypothetical protein,ywlC
cntB,cntB;,Carnitine monooxygenase reductase subunit;hypothetical protein,cntB
dnaA_1,;dnaA_1,hypothetical protein;Chromosomal replication initiator protein DnaA,dnaA
mdtN,mdtN,Multidrug resistance protein MdtN,mdtN
alsT_3,alsT_3,Amino-acid carrier protein AlsT,alsT
pcaH,pcaH;,Protocatechuate 34-dioxygenase beta chain;hypothetical protein,pcaH
nusA,nusA,Transcription termination/antitermination protein NusA,nusA
hisI,hisI,Phosphoribosyl-AMP cyclohydrolase,hisI
ydcO,ydcO,Inner membrane protein YdcO,ydcO
ftsY,ftsY;,Signal recognition particle receptor FtsY;hypothetical protein,ftsY
eamB,;eamB,hypothetical protein;Cysteine/O-acetylserine efflux protein,eamB
ycjX,;ycjX,hypothetical protein;putative protein YcjX,ycjX
dnaJ_3,dnaJ_3;,Chaperone protein DnaJ;hypothetical protein,dnaJ
rdmC,rdmC;,Aclacinomycin methylesterase RdmC;hypothetical protein,rdmC
mutY,mutY,Adenine DNA glycosylase,mutY
prsE_1,prsE_1;,Type I secretion system membrane fusion protein PrsE;hypothetical protein,prsE
ftsK,ftsK;,DNA translocase FtsK;hypothetical protein,ftsK
ndvA,ndvA,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA,ndvA
yedA_1,yedA_1;,putative inner membrane transporter YedA;hypothetical protein,yedA
nudK,nudK;,GDP-mannose pyrophosphatase NudK;hypothetical protein,nudK
rocB,;rocB,hypothetical protein;Protein RocB,rocB
mtlK,mtlK;,Mannitol 2-dehydrogenase;hypothetical protein,mtlK
takP_1,takP_1;,Alpha-keto acid-binding periplasmic protein TakP;hypothetical protein;Monocarboxylate 2-oxoacid-binding periplasmic protein,takP
der,der,GTPase Der,der
ureG,ureG,Urease accessory protein UreG,ureG
bioN,bioN,Energy-coupling factor transporter transmembrane protein BioN,bioN
ynjC,;ynjC,hypothetical protein;Inner membrane ABC transporter permease protein YnjC,ynjC
rpiA,rpiA,Ribose-5-phosphate isomerase A,rpiA
epsL_1,epsL_1,putative sugar transferase EpsL,epsL
recG,recG,ATP-dependent DNA helicase RecG,recG
atm1,atm1,ATM1-type heavy metal exporter,atm1
hisG,hisG,ATP phosphoribosyltransferase,hisG
fliC_1,;fliC_1,hypothetical protein;Flagellin,fliC
bcsA,;bcsA,hypothetical protein;Cellulose synthase catalytic subunit [UDP-forming],bcsA
aar,;aar,hypothetical protein;L-alanine/L-glutamate racemase,aar
pchF,;pchF,putative FAD-linked oxidoreductase;4-cresol dehydrogenase [hydroxylating] flavoprotein subunit,pchF
phaC,;phaC,hypothetical protein;Poly(3-hydroxyalkanoate) polymerase subunit PhaC,phaC
degS,;degS,hypothetical protein;Signal transduction histidine-protein kinase/phosphatase DegS,degS
yecS_2,yecS_2,L-cystine transport system permease protein YecS,yecS
fabG_7,;fabG_7,hypothetical protein;3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
queD,queD,6-carboxy-5678-tetrahydropterin synthase,queD
msbA_1,;msbA_1,Putative multidrug export ATP-binding/permease protein;Lipid A export ATP-binding/permease protein MsbA,msbA
fmt_2,fmt_2,Methionyl-tRNA formyltransferase,fmt
hisF,hisF,Imidazole glycerol phosphate synthase subunit HisF,hisF
clpA,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA,clpA
sseA,sseA,3-mercaptopyruvate sulfurtransferase,sseA
dmdC_1,dmdC_1,3-methylmercaptopropionyl-CoA dehydrogenase,dmdC
lcfB_3,lcfB_3;,Long-chain-fatty-acid--CoA ligase;Long-chain-fatty-acid--CoA ligase FadD13,lcfB
fhuA_2,fhuA_2;,Ferrichrome outer membrane transporter/phage receptor;hypothetical protein,fhuA
soxA_1,;soxA_1,hypothetical protein;Monomeric sarcosine oxidase,soxA
