gene,non_unique_gene_name,annotation,from
PSK,PSK,D-ribulose kinase,PSK
fabF_2,fabF_2,3-oxoacyl-[acyl-carrier-protein] synthase 2,fabF
dctM_1,dctM_1,C4-dicarboxylate TRAP transporter large permease protein DctM,dctM
yesO_2,yesO_2,Putative ABC transporter substrate-binding protein YesO,yesO
yteT_2,yteT_2,Putative oxidoreductase YteT,yteT
rsmB_1,rsmB_1,Ribosomal RNA small subunit methyltransferase B,rsmB
icl,icl,Isocitrate lyase,icl
ycaD_4,ycaD_4,putative MFS-type transporter YcaD,ycaD
dnaK_1,dnaK_1,Chaperone protein DnaK,dnaK
aarA,aarA,Citrate synthase,aarA
cobB,cobB,Hydrogenobyrinate ac-diamide synthase,cobB
murA,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,murA
lutA,lutA,Lactate utilization protein A,lutA
dinB_2,dinB_2,DNA polymerase IV,dinB
amiC_1,amiC_1,Aliphatic amidase expression-regulating protein,amiC
adeP_1,adeP_1,Adenine permease AdeP,adeP
glyA2_2,glyA2_2,Serine hydroxymethyltransferase 2,glyA2
purA,purA,Adenylosuccinate synthetase,purA
hpsN_2,hpsN_2,Sulfopropanediol 3-dehydrogenase,hpsN
codA_1,codA_1,Cytosine deaminase,codA
ycaD_6,ycaD_6,putative MFS-type transporter YcaD,ycaD
melE,melE,Melibiose/raffinose/stachyose-binding protein MelE,melE
siaM_4,siaM_4,Sialic acid TRAP transporter large permease protein SiaM,siaM
tolB,tolB,Tol-Pal system protein TolB,tolB
hisD_2,hisD_2,Histidinol dehydrogenase,hisD
nqo1,nqo1,NADH-quinone oxidoreductase chain 1,nqo1
purB,purB,Adenylosuccinate lyase,purB
guaD_2,guaD_2,Guanine deaminase,guaD
xylA,xylA,Xylose isomerase,xylA
yhjE_2,yhjE_2,Inner membrane metabolite transport protein YhjE,yhjE
preA,preA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,preA
rkpK,rkpK,UDP-glucose 6-dehydrogenase,rkpK
lolE_2,lolE_2,Lipoprotein-releasing system transmembrane protein LolE,lolE
bcr_1,bcr_1,Bicyclomycin resistance protein,bcr
naiP,naiP,Putative niacin/nicotinamide transporter NaiP,naiP
prsE_2,prsE_2,Type I secretion system membrane fusion protein PrsE,prsE
waaA,waaA,3-deoxy-D-manno-octulosonic acid transferase,waaA
mnmE,mnmE,tRNA modification GTPase MnmE,mnmE
hom,hom,Homoserine dehydrogenase,hom
fni_2,fni_2,Isopentenyl-diphosphate delta-isomerase,fni
dsdA,dsdA,D-serine dehydratase,dsdA
ftsA,ftsA,Cell division protein FtsA,ftsA
hisD_1,hisD_1,Histidinol dehydrogenase,hisD
abo_6,abo_6,4-methylaminobutanoate oxidase (formaldehyde-forming),abo
xylH_2,xylH_2,Xylose transport system permease protein XylH,xylH
bauA_1,bauA_1,Beta-alanine--pyruvate aminotransferase,bauA
abaF,abaF,Fosfomycin resistance protein AbaF,abaF
secY,secY,Protein translocase subunit SecY,secY
aldHT_2,aldHT_2,Aldehyde dehydrogenase thermostable,aldHT
yhjE_1,yhjE_1,Inner membrane metabolite transport protein YhjE,yhjE
accC,accC,Biotin carboxylase,accC
guaD_1,guaD_1,Guanine deaminase,guaD
pmbA,pmbA,Metalloprotease PmbA,pmbA
norB,norB,Nitric oxide reductase subunit B,norB
pucK,pucK,Uric acid permease PucK,pucK
ntaA_1,ntaA_1,Nitrilotriacetate monooxygenase component A,ntaA
qseC,qseC,Sensor protein QseC,qseC
glmM,glmM,Phosphoglucosamine mutase,glmM
amtB,amtB,Ammonia channel,amtB
potE,potE,Putrescine transporter PotE,potE
tilS,tilS,tRNA(Ile)-lysidine synthase,tilS
hmgA,hmgA,Homogentisate 12-dioxygenase,hmgA
hcnB_1,hcnB_1,Hydrogen cyanide synthase subunit HcnB,hcnB
glnG,glnG,DNA-binding transcriptional regulator NtrC,glnG
ipuC,ipuC,Glutamate--isopropylamine ligase,ipuC
dctA,dctA,C4-dicarboxylate transport protein,dctA
pleD,pleD,Response regulator PleD,pleD
dgdA,dgdA,22-dialkylglycine decarboxylase,dgdA
aroA,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,aroA
dinF,dinF,DNA damage-inducible protein F,dinF
glmU_2,glmU_2,Bifunctional protein GlmU,glmU
egtA,egtA,Glutamate--cysteine ligase EgtA,egtA
pdhC,pdhC,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,pdhC
trkA,trkA,Trk system potassium uptake protein TrkA,trkA
rclA,rclA,putative pyridine nucleotide-disulfide oxidoreductase RclA,rclA
fucK_2,fucK_2,L-fuculokinase,fucK
pchA,pchA,4-hydroxybenzaldehyde dehydrogenase (NADP(+)),pchA
licH,licH,putative 6-phospho-beta-glucosidase,licH
dapE_2,dapE_2,Succinyl-diaminopimelate desuccinylase,dapE
lpdV,lpdV,Dihydrolipoyl dehydrogenase,lpdV
pepA_2,pepA_2,cytosol aminopeptidase,pepA
mprB,mprB,Signal transduction histidine-protein kinase/phosphatase MprB,mprB
degQ_1,degQ_1,Periplasmic pH-dependent serine endoprotease DegQ,degQ
dxs_2,dxs_2,1-deoxy-D-xylulose-5-phosphate synthase,dxs
hflX,hflX,GTPase HflX,hflX
wbpA,wbpA,UDP-N-acetyl-D-glucosamine 6-dehydrogenase,wbpA
ahcY,ahcY,Adenosylhomocysteinase,ahcY
cysS,cysS,Cysteine--tRNA ligase,cysS
sdaA,sdaA,L-serine dehydratase,sdaA
adeP_2,adeP_2,Adenine permease AdeP,adeP
sctC_1,sctC_1,Type 3 secretion system secretin,sctC
puuB_1,puuB_1,Gamma-glutamylputrescine oxidoreductase,puuB
argH_2,argH_2,Argininosuccinate lyase,argH
pntB,pntB,NAD(P) transhydrogenase subunit beta,pntB
mdtK,mdtK,Multidrug resistance protein MdtK,mdtK
bglA,bglA,Beta-glucosidase A,bglA
lpd3,lpd3,Dihydrolipoyl dehydrogenase 3,lpd3
siaM_2,siaM_2,Sialic acid TRAP transporter large permease protein SiaM,siaM
uxaC,uxaC,Uronate isomerase,uxaC
rsmB_2,rsmB_2,Ribosomal RNA small subunit methyltransferase B,rsmB
bioF,bioF,8-amino-7-oxononanoate synthase,bioF
ramB,ramB,HTH-type transcriptional regulator RamB,ramB
hsrA_2,hsrA_2,putative transport protein HsrA,hsrA
tldD,tldD,Metalloprotease TldD,tldD
murC,murC,UDP-N-acetylmuramate--L-alanine ligase,murC
ald_1,ald_1,3-succinoylsemialdehyde-pyridine dehydrogenase,ald
miaB,miaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,miaB
pccR,pccR,Propionyl-CoA carboxylase regulator,pccR
dld,dld,Quinone-dependent D-lactate dehydrogenase,dld
gatA_1,gatA_1,Glutamyl-tRNA(Gln) amidotransferase subunit A,gatA
prr,prr,Gamma-aminobutyraldehyde dehydrogenase,prr
amiD_2,amiD_2,Putative amidase AmiD,amiD
ald_4,ald_4,3-succinoylsemialdehyde-pyridine dehydrogenase,ald
xylB_6,xylB_6,Xylulose kinase,xylB
murF,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,murF
aldHT_1,aldHT_1,Aldehyde dehydrogenase thermostable,aldHT
aldA,aldA,Lactaldehyde dehydrogenase,aldA
ttuE,ttuE,Pyruvate kinase,ttuE
kaiC_1,kaiC_1,Circadian clock protein kinase KaiC,kaiC
ndhB_2,ndhB_2,NAD(P)H-quinone oxidoreductase subunit 2,ndhB
abgB_3,abgB_3,p-aminobenzoyl-glutamate hydrolase subunit B,abgB
lpd,lpd,Dihydrolipoyl dehydrogenase,lpd
eltP,eltP,Erythritol/L-threitol-binding protein,eltP
fucK_1,fucK_1,L-fuculokinase,fucK
hss,hss,Homospermidine synthase,hss
pucI,pucI,putative allantoin permease,pucI
dht,dht,D-hydantoinase/dihydropyrimidinase,dht
xylB_4,xylB_4,Xylulose kinase,xylB
davD_4,davD_4,Glutarate-semialdehyde dehydrogenase,davD
ntrC,ntrC,DNA-binding transcriptional regulator NtrC,ntrC
cysG_2,cysG_2,Siroheme synthase,cysG
trkI_2,trkI_2,Trk system potassium uptake protein TrkI,trkI
rbsA_9,rbsA_9,Ribose import ATP-binding protein RbsA,rbsA
gltD_1,gltD_1,Glutamate synthase [NADPH] small chain,gltD
phnY,phnY,Phosphonoacetaldehyde dehydrogenase,phnY
murE,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--26-diaminopimelate ligase,murE
por,por,Polyol:NADP oxidoreductase,por
glgA1_1,glgA1_1,Glycogen synthase 1,glgA1
betB_3,betB_3,NAD/NADP-dependent betaine aldehyde dehydrogenase,betB
clsA,clsA,Major cardiolipin synthase ClsA,clsA
tgnC_1,tgnC_1,(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase,tgnC
nuoL_1,nuoL_1,NADH-quinone oxidoreductase subunit L,nuoL
argH_1,argH_1,Argininosuccinate lyase,argH
hpyO,hpyO,FAD-dependent urate hydroxylase,hpyO
aplK,aplK,Apulose kinase,aplK
betC_2,betC_2,Choline-sulfatase,betC
sufB,sufB,FeS cluster assembly protein SufB,sufB
nnr,nnr,Bifunctional NAD(P)H-hydrate repair enzyme Nnr,nnr
davD_1,davD_1,Glutarate-semialdehyde dehydrogenase,davD
zwf,zwf,Glucose-6-phosphate 1-dehydrogenase,zwf
tig,tig,Trigger factor,tig
tauR,tauR,HTH-type transcriptional regulator TauR,tauR
gabD_1,gabD_1,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,gabD
sasA_10,sasA_10,Adaptive-response sensory-kinase SasA,sasA
rgtA_2,rgtA_2,Lipopolysaccharide core galacturonosyltransferase RgtA,rgtA
gatA_3,gatA_3,Glutamyl-tRNA(Gln) amidotransferase subunit A,gatA
rbsA_14,rbsA_14,Ribose import ATP-binding protein RbsA,rbsA
uacT_2,uacT_2,Uric acid transporter UacT,uacT
dppA_2,dppA_2,Periplasmic dipeptide transport protein,dppA
sgrR_1,sgrR_1,HTH-type transcriptional regulator SgrR,sgrR
pepA_1,pepA_1,Cytosol aminopeptidase,pepA
glpK,glpK,Glycerol kinase,glpK
rbsA_2,rbsA_2,Ribose import ATP-binding protein RbsA,rbsA
lysS,lysS,Lysine--tRNA ligase,lysS
bauC,bauC,Putative 3-oxopropanoate dehydrogenase,bauC
cysN_2,cysN_2,Sulfate adenylyltransferase subunit 1,cysN
rhlE_1,rhlE_1,ATP-dependent RNA helicase RhlE,rhlE
rhlE_2,rhlE_2,ATP-dependent RNA helicase RhlE,rhlE
sasA_4,sasA_4,Adaptive-response sensory-kinase SasA,sasA
xylB_5,xylB_5,Xylulose kinase,xylB
guaB,guaB,Inosine-5'-monophosphate dehydrogenase,guaB
amn,amn,AMP nucleosidase,amn
gatB,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,gatB
nifD_2,nifD_2,Nitrogenase molybdenum-iron protein alpha chain,nifD
uxaA,uxaA,Altronate dehydratase,uxaA
adh_2,adh_2,Aldehyde dehydrogenase,adh
xylB_3,xylB_3,Xylulose kinase,xylB
livQ,livQ,6'''-hydroxyparomomycin C oxidase,livQ
degP,degP,Periplasmic serine endoprotease DegP,degP
hbpA_1,hbpA_1,Heme-binding protein A,hbpA
eryB_3,eryB_3,D-erythritol 1-phosphate dehydrogenase,eryB
bepA_3,bepA_3,Beta-barrel assembly-enhancing protease,bepA
nuoM_2,nuoM_2,NADH-quinone oxidoreductase subunit M,nuoM
rbsA_1,rbsA_1,Ribose import ATP-binding protein RbsA,rbsA
araG_3,araG_3,Arabinose import ATP-binding protein AraG,araG
betB_2,betB_2,NAD/NADP-dependent betaine aldehyde dehydrogenase,betB
hilA,hilA,Transcriptional regulator HilA,hilA
fixL_1,fixL_1,Sensor protein FixL,fixL
araG_2,araG_2,Arabinose import ATP-binding protein AraG,araG
fruK,fruK,Fructose import ATP-binding protein FruK,fruK
expZ,expZ,Nucleotide-binding protein ExpZ,expZ
gppA_1,gppA_1,Guanosine-5'-triphosphate3'-diphosphate pyrophosphatase,gppA
dnaA_2,dnaA_2,Chromosomal replication initiator protein DnaA,dnaA
araG_1,araG_1,Arabinose import ATP-binding protein AraG,araG
rbsA_8,rbsA_8,Ribose import ATP-binding protein RbsA,rbsA
rbsA_5,rbsA_5,Ribose import ATP-binding protein RbsA,rbsA
xylB_7,xylB_7,Xylulose kinase,xylB
atpA,atpA,ATP synthase subunit alpha,atpA
lyx,lyx,L-xylulose/3-keto-L-gulonate kinase,lyx
davD_5,davD_5,Glutarate-semialdehyde dehydrogenase,davD
eryB_4,eryB_4,D-erythritol 1-phosphate dehydrogenase,eryB
mglA_8,mglA_8,Galactose/methyl galactoside import ATP-binding protein MglA,mglA
rcsC_8,rcsC_8,Sensor histidine kinase RcsC,rcsC
mtgB_1,mtgB_1,Glycine betaine methyltransferase,mtgB
xylG_1,xylG_1,Xylose import ATP-binding protein XylG,xylG
betC_1,betC_1,Choline-sulfatase,betC
rpoN2,rpoN2,RNA polymerase sigma-54 factor 2,rpoN2
nifK_2,nifK_2,Nitrogenase molybdenum-iron protein beta chain,nifK
mglA_4,mglA_4,Galactose/methyl galactoside import ATP-binding protein MglA,mglA
mglA_2,mglA_2,Galactose/methyl galactoside import ATP-binding protein MglA,mglA
ffh,ffh,Signal recognition particle protein,ffh
mtgB_4,mtgB_4,Glycine betaine methyltransferase,mtgB
mtgB_3,mtgB_3,Glycine betaine methyltransferase,mtgB
abgT,abgT,p-aminobenzoyl-glutamate transport protein,abgT
lfrA,lfrA,Multidrug efflux pump LfrA,lfrA
rbsA_7,rbsA_7,Ribose import ATP-binding protein RbsA,rbsA
xylB_8,xylB_8,Xylulose kinase,xylB
rbsA_10,rbsA_10,Ribose import ATP-binding protein RbsA,rbsA
metG,metG,Methionine--tRNA ligase,metG
cya_3,cya_3,Bifunctional hemolysin/adenylate cyclase,cya
rbsA_11,rbsA_11,Ribose import ATP-binding protein RbsA,rbsA
degQ_2,degQ_2,Periplasmic pH-dependent serine endoprotease DegQ,degQ
hbpA_2,hbpA_2,Heme-binding protein A,hbpA
phoD,phoD,Alkaline phosphatase D,phoD
guaA,guaA,GMP synthase [glutamine-hydrolyzing],guaA
mrpD_1,mrpD_1,Na(+)/H(+) antiporter subunit D,mrpD
hbpA_3,hbpA_3,Heme-binding protein A,hbpA
virD4,virD4,Protein VirD4,virD4
mtgB_2,mtgB_2,Glycine betaine methyltransferase,mtgB
ubiB,ubiB,putative protein kinase UbiB,ubiB
eryA,eryA,Erythritol kinase,eryA
xseA,xseA,Exodeoxyribonuclease 7 large subunit,xseA
ygiS,ygiS,putative deoxycholate-binding periplasmic protein YgiS,ygiS
prfC,prfC,Peptide chain release factor RF3,prfC
abgB_2,abgB_2,p-aminobenzoyl-glutamate hydrolase subunit B,abgB
ddpA_2,ddpA_2,putative DD-dipeptide-binding periplasmic protein DdpA,ddpA
mglA_1,mglA_1,Galactose/methyl galactoside import ATP-binding protein MglA,mglA
emrB_2,emrB_2,Colistin resistance protein EmrB,emrB
dppA_7,dppA_7,Periplasmic dipeptide transport protein,dppA
xylG_2,xylG_2,Xylose import ATP-binding protein XylG,xylG
serA_2,serA_2,D-3-phosphoglycerate dehydrogenase,serA
lnt,lnt,Apolipoprotein N-acyltransferase,lnt
rcsC_10,rcsC_10,Sensor histidine kinase RcsC,rcsC
oppA_1,oppA_1,Periplasmic oligopeptide-binding protein,oppA
purH,purH,Bifunctional purine biosynthesis protein PurH,purH
pckA,pckA,Phosphoenolpyruvate carboxykinase (ATP),pckA
farB,farB,Fatty acid resistance protein FarB,farB
cimA,cimA,(R)-citramalate synthase,cimA
nfdA_2,nfdA_2,N-substituted formamide deformylase,nfdA
nifA,nifA,Nif-specific regulatory protein,nifA
sgrR_4,sgrR_4,HTH-type transcriptional regulator SgrR,sgrR
yejF_3,yejF_3,putative ABC transporter ATP-binding protein YejF,yejF
groL2,groL2,60 kDa chaperonin 2,groL2
groL5_2,groL5_2,60 kDa chaperonin 5,groL5
caiC,caiC,Crotonobetaine/carnitine--CoA ligase,caiC
groL5_1,groL5_1,60 kDa chaperonin 5,groL5
ddpA_3,ddpA_3,putative DD-dipeptide-binding periplasmic protein DdpA,ddpA
acsA_4,acsA_4,Acetyl-coenzyme A synthetase,acsA
gsiA_3,gsiA_3,Glutathione import ATP-binding protein GsiA,gsiA
betA,betA,Oxygen-dependent choline dehydrogenase,betA
ettA,ettA,Energy-dependent translational throttle protein EttA,ettA
aidB,aidB,Putative acyl-CoA dehydrogenase AidB,aidB
alkJ_6,alkJ_6,Alcohol dehydrogenase [acceptor],alkJ
entS_2,entS_2,Enterobactin exporter EntS,entS
ipdC_1,ipdC_1,Indole-3-pyruvate decarboxylase,ipdC
rnj,rnj,Ribonuclease J,rnj
yejF_2,yejF_2,putative ABC transporter ATP-binding protein YejF,yejF
gsiA_7,gsiA_7,Glutathione import ATP-binding protein GsiA,gsiA
gsiA_4,gsiA_4,Glutathione import ATP-binding protein GsiA,gsiA
nqrF_2,nqrF_2,Na(+)-translocating NADH-quinone reductase subunit F,nqrF
hutU,hutU,Urocanate hydratase,hutU
nadE_2,nadE_2,Glutamine-dependent NAD(+) synthetase,nadE
ctaD,ctaD,Cytochrome c oxidase subunit 1,ctaD
rpsA,rpsA,30S ribosomal protein S1,rpsA
kdpA,kdpA,Potassium-transporting ATPase potassium-binding subunit,kdpA
araC_2,araC_2,L-arabonate dehydratase,araC
eryB_1,eryB_1,D-erythritol 1-phosphate dehydrogenase,eryB
rcsC_11,rcsC_11,Sensor histidine kinase RcsC,rcsC
eptA,eptA,Phosphoethanolamine transferase EptA,eptA
ftsI_2,ftsI_2,putative peptidoglycan DD-transpeptidase FtsI,ftsI
prsD_2,prsD_2,Type I secretion system ATP-binding protein PrsD,prsD
argS,argS,Arginine--tRNA ligase,argS
ndhB_1,ndhB_1,NAD(P)H-quinone oxidoreductase subunit 2 chloroplastic,ndhB
bdlA,bdlA,Biofilm dispersion protein BdlA,bdlA
ftsZ_2,ftsZ_2,Cell division protein FtsZ,ftsZ
xsc,xsc,Sulfoacetaldehyde acetyltransferase,xsc
ggt_2,ggt_2,Glutathione hydrolase proenzyme,ggt
araC_3,araC_3,L-arabonate dehydratase,araC
ilvI,ilvI,Acetolactate synthase isozyme 3 large subunit,ilvI
dipZ,dipZ,Protein DipZ,dipZ
coxN,coxN,Alternative cytochrome c oxidase subunit 1,coxN
gcl,gcl,Glyoxylate carboligase,gcl
aspS,aspS,Aspartate--tRNA(Asp/Asn) ligase,aspS
yidC,yidC,Membrane protein insertase YidC,yidC
siaT_3,siaT_3,Sialic acid TRAP transporter permease protein SiaT,siaT
msbA_3,msbA_3,Lipid A export ATP-binding/permease protein MsbA,msbA
btuD_4,btuD_4,Vitamin B12 import ATP-binding protein BtuD,btuD
recJ,recJ,Single-stranded-DNA-specific exonuclease RecJ,recJ
appA_1,appA_1,Oligopeptide-binding protein AppA,appA
edd,edd,Phosphogluconate dehydratase,edd
adeC,adeC,Adenine deaminase,adeC
typA,typA,GTP-binding protein TypA/BipA,typA
kefC,kefC,Glutathione-regulated potassium-efflux system protein KefC,kefC
ilvD,ilvD,Dihydroxy-acid dehydratase,ilvD
sdhA,sdhA,Succinate dehydrogenase flavoprotein subunit,sdhA
recQ,recQ,ATP-dependent DNA helicase RecQ,recQ
msbA_2,msbA_2,Lipid A export ATP-binding/permease protein MsbA,msbA
btuD_13,btuD_13,Vitamin B12 import ATP-binding protein BtuD,btuD
appA_2,appA_2,Oligopeptide-binding protein AppA,appA
dctB_2,dctB_2,C4-dicarboxylate transport sensor protein DctB,dctB
iolD,iolD,3D-(35/4)-trihydroxycyclohexane-12-dione hydrolase,iolD
siaT_4,siaT_4,Sialic acid TRAP transporter permease protein SiaT,siaT
mnmG,mnmG,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,mnmG
deaD,deaD,ATP-dependent RNA helicase DeaD,deaD
pepF1,pepF1,Oligoendopeptidase F plasmid,pepF1
nanT,nanT,Sialic acid transporter NanT,nanT
fadD,fadD,Long-chain-fatty-acid--CoA ligase,fadD
prsA,prsA,Foldase protein PrsA,prsA
acsA_2,acsA_2,Acetyl-coenzyme A synthetase,acsA
hypBA1_1,hypBA1_1,Non-reducing end beta-L-arabinofuranosidase,hypBA1
dnaK_2,dnaK_2,Chaperone protein DnaK,dnaK
acsA_1,acsA_1,Acetyl-coenzyme A synthetase,acsA
fusA_1,fusA_1,Elongation factor G,fusA
glgX_2,glgX_2,Glycogen debranching enzyme,glgX
iolC,iolC,5-dehydro-2-deoxygluconokinase,iolC
tktA_2,tktA_2,Transketolase 1,tktA
thrS,thrS,Threonine--tRNA ligase,thrS
nfdA_1,nfdA_1,N-substituted formamide deformylase,nfdA
accA1_1,accA1_1,Acetyl-/propionyl-coenzyme A carboxylase alpha chain,accA1
iolG_4,iolG_4,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,iolG
cyoB,cyoB,Cytochrome bo(3) ubiquinol oxidase subunit 1,cyoB
dnaG,dnaG,DNA primase,dnaG
apc3_3,apc3_3,Acetophenone carboxylase gamma subunit,apc3
uvrC,uvrC,UvrABC system protein C,uvrC
hcaB_6,hcaB_6,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,hcaB
nqrF_1,nqrF_1,Na(+)-translocating NADH-quinone reductase subunit F,nqrF
gyrB_1,gyrB_1,DNA gyrase subunit B,gyrB
FCS1,FCS1,Trans-feruloyl-CoA synthase FCS1,FCS1
nqo3,nqo3,NADH-quinone oxidoreductase chain 3,nqo3
agpA_2,agpA_2,Periplasmic alpha-galactoside-binding protein,agpA
flhA_3,flhA_3,Flagellar biosynthesis protein FlhA,flhA
tktA_1,tktA_1,Transketolase 1,tktA
pctA,pctA,Methyl-accepting chemotaxis protein PctA,pctA
fusA_2,fusA_2,Elongation factor G,fusA
katE,katE,Catalase C,katE
acxA,acxA,Acetone carboxylase beta subunit,acxA
ligA,ligA,DNA ligase,ligA
glyS,glyS,Glycine--tRNA ligase beta subunit,glyS
menF_2,menF_2,Isochorismate synthase MenF,menF
pglF,pglF,UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase,pglF
priA,priA,Primosomal protein N',priA
fadJ_2,fadJ_2,Fatty acid oxidation complex subunit alpha,fadJ
mtgA_1,mtgA_1,Biosynthetic peptidoglycan transglycosylase,mtgA
ppk,ppk,Polyphosphate kinase,ppk
iorB,iorB,Isoquinoline 1-oxidoreductase subunit beta,iorB
rsh,rsh,GTP pyrophosphokinase rsh,rsh
rcsC_3,rcsC_3,Sensor histidine kinase RcsC,rcsC
mtgA_2,mtgA_2,Biosynthetic peptidoglycan transglycosylase,mtgA
ptsP,ptsP,Phosphoenolpyruvate-dependent phosphotransferase system,ptsP
copA_1,copA_1,Copper-exporting P-type ATPase,copA
parC,parC,DNA topoisomerase 4 subunit A,parC
cheA,cheA,Chemotaxis protein CheA,cheA
tme,tme,NADP-dependent malic enzyme,tme
mshA_13,mshA_13,D-inositol-3-phosphate glycosyltransferase,mshA
yhgF,yhgF,Protein YhgF,yhgF
dme,dme,NAD-dependent malic enzyme,dme
bamA_1,bamA_1,Outer membrane protein assembly factor BamA,bamA
cutL,cutL,Carbon monoxide dehydrogenase large chain,cutL
virB4_1,virB4_1,Protein virB4,virB4
betB_1,betB_1,NAD/NADP-dependent betaine aldehyde dehydrogenase,betB
lon,lon,Lon protease,lon
abo_2,abo_2,4-methylaminobutanoate oxidase (formaldehyde-forming),abo
gyrB_2,gyrB_2,DNA gyrase subunit B,gyrB
ligD_1,ligD_1,Multifunctional non-homologous end joining protein LigD,ligD
mrcA_2,mrcA_2,Penicillin-binding protein 1A,mrcA
virB4_2,virB4_2,Type IV secretion system protein virB4,virB4
xpkA,xpkA,Xylulose-5-phosphate phosphoketolase,xpkA
nasD,nasD,Nitrite reductase [NAD(P)H],nasD
hrpB,hrpB,ATP-dependent RNA helicase HrpB,hrpB
csxA,csxA,Exo-beta-D-glucosaminidase,csxA
actP,actP,Copper-transporting P-type ATPase,actP
secDF,secDF,Protein translocase subunit SecDF,secDF
hldD_2,hldD_2,ADP-L-glycero-D-manno-heptose-6-epimerase,hldD
mprF,mprF,Phosphatidylglycerol lysyltransferase,mprF
citB,citB,Aconitate/2-methylaconitate hydratase,citB
menE_2,menE_2,2-succinylbenzoate--CoA ligase,menE
pepN,pepN,Aminopeptidase N,pepN
acnA,acnA,Aconitate hydratase A,acnA
ppdK,ppdK,Pyruvate phosphate dikinase,ppdK
leuS,leuS,Leucine--tRNA ligase,leuS
mutS,mutS,DNA mismatch repair protein MutS,mutS
glnD,glnD,Bifunctional uridylyltransferase/uridylyl-removing enzyme,glnD
glnE,glnE,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme,glnE
ndhB_4,ndhB_4,NAD(P)H-quinone oxidoreductase subunit 2 chloroplastic,ndhB
soxA_2,soxA_2,Sarcosine oxidase subunit alpha,soxA
sucA,sucA,2-oxoglutarate dehydrogenase E1 component,sucA
argD_3,argD_3,Acetylornithine/succinyldiaminopimelate aminotransferase,argD
mdtC_2,mdtC_2,Multidrug resistance protein MdtC,mdtC
acrB,acrB,Multidrug efflux pump subunit AcrB,acrB
oqxB7,oqxB7,multidrug efflux RND transporter permease subunit OqxB7,oqxB7
rcsC_1,rcsC_1,Sensor histidine kinase RcsC,rcsC
pycA,pycA,Pyruvate carboxylase,pycA
dnaE1,dnaE1,DNA polymerase III subunit alpha,dnaE1
rcsC_12,rcsC_12,Sensor histidine kinase RcsC,rcsC
rpoB,rpoB,DNA-directed RNA polymerase subunit beta,rpoB
gltB,gltB,Ferredoxin-dependent glutamate synthase 1,gltB
gdh_1,gdh_1,NAD-specific glutamate dehydrogenase,gdh
emrB_1,emrB_1;,Multidrug export protein EmrB;hypothetical protein;Colistin resistance protein EmrB,emrB
abgB_1,;abgB_1,hypothetical protein;p-aminobenzoyl-glutamate hydrolase subunit B,abgB
aruI_1,aruI_1;,putative 2-ketoarginine decarboxylase AruI;hypothetical protein,aruI
clsB,;clsB,hypothetical protein;Cardiolipin synthase B,clsB
lacG_2,lacG_2,Lactose transport system permease protein LacG,lacG
rfuC_2,rfuC_2,putative riboflavin import permease protein RfuC,rfuC
xerC_3,xerC_3,Tyrosine recombinase XerC,xerC
rutC_2,rutC_2,Putative aminoacrylate peracid reductase RutC,rutC
tdiR_2,tdiR_2,Transcriptional regulatory protein TdiR,tdiR
tdiR_1,tdiR_1,Transcriptional regulatory protein TdiR,tdiR
gstB_1,gstB_1,Glutathione S-transferase GST-6.0,gstB
todT_2,todT_2,Response regulator protein TodT,todT
rutB_1,rutB_1,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,rutB
lolD_1,lolD_1,Lipoprotein-releasing system ATP-binding protein LolD,lolD
yfiR,yfiR,putative HTH-type transcriptional regulator YfiR,yfiR
tmoT_2,tmoT_2,Response regulator protein TmoT,tmoT
bacC_4,bacC_4,Dihydroanticapsin 7-dehydrogenase,bacC
fucA,fucA,L-fuculose phosphate aldolase,fucA
glnQ_7,glnQ_7,Glutamine transport ATP-binding protein GlnQ,glnQ
bacC_2,bacC_2,Dihydroanticapsin 7-dehydrogenase,bacC
glnH_3,glnH_3,Glutamine-binding periplasmic protein,glnH
ngcG_1,ngcG_1,Diacetylchitobiose uptake system permease protein NgcG,ngcG
ydcV_4,ydcV_4,Inner membrane ABC transporter permease protein YdcV,ydcV
rpiR,rpiR,HTH-type transcriptional regulator RpiR,rpiR
tcyB_2,tcyB_2,L-cystine transport system permease protein TcyB,tcyB
ngcF,ngcF,Diacetylchitobiose uptake system permease protein NgcF,ngcF
