gene,g4,g5,g6,g8,g9,g11,g13,g16,g17,g19
group_1303-group_4163-group_6027,1,1,1,1,0,1,1,1,1,1
ugpB-group_416-group_6099,1,0,1,1,1,1,1,1,1,1
nanR_5-narT-group_6100,1,1,1,1,0,1,1,0,0,1
nanR_5-narT-doeB,0,0,0,0,0,0,0,1,1,0
gsiC_3-hbpA_2-srpC,1,1,0,1,1,1,1,1,1,1
group_2974-group_2892-group_4049,1,1,0,1,1,1,1,1,1,1
group_2892-group_4049-nuoJ_1,1,1,0,1,1,1,1,1,1,1
dgoD_1-ucpA_1-dgoK1_1,0,0,0,0,1,0,0,1,1,1
dgoD_1-ucpA_1-rhaS_1~~~rhaS_4,1,1,1,1,0,1,1,0,0,0
ucpA_1-dgoK1_1-dapA_1~~~dapA_5,0,0,0,0,1,0,0,1,1,1
dapA_1~~~dapA_5-dgoK1_1-rhaS_1~~~rhaS_4,1,1,1,1,0,1,1,0,0,0
group_4029-group_4451-group_4634,1,1,0,1,1,1,1,1,1,1
group_4451-group_4029-group_5791,1,1,0,1,1,1,1,1,1,1
group_5752-group_3579-group_6390,0,0,1,0,0,1,1,1,1,1
yddA-group_3579-group_6390,1,1,0,1,1,0,0,0,0,0
tauA-tauR-group_4638,1,1,0,0,0,0,0,0,0,0
tauA-tauR-group_5125,0,0,1,1,1,1,1,1,1,1
group_5777-group_4050-group_6263,1,1,1,1,1,1,1,1,1,0
group_3833-acpP_1-group_5754,0,0,1,0,0,1,1,1,1,1
group_3833-acpP_1-group_6594,1,1,0,1,1,0,0,0,0,0
group_4187-group_3884-group_2236,1,1,0,0,1,1,1,1,1,0
group_3884-group_2236-group_4594,0,0,0,0,0,0,0,1,1,0
group_3884-group_2236-group_5601,1,1,0,1,1,1,1,0,0,0
group_4648-group_3898-group_5801,0,0,0,0,0,0,0,1,1,0
group_5601-group_3898-group_5801,0,0,0,0,1,1,1,0,0,0
ald_1-pgrR_2-group_4843,0,0,1,0,0,1,1,0,0,0
ald_1-pgrR_2-group_6398,1,1,0,1,1,0,0,1,1,1
group_4456-group_3648-group_5762,0,0,0,0,0,1,1,0,0,0
group_5588-group_3648-group_5762,1,1,0,1,1,0,0,1,1,0
group_5762-group_3648-xerC_1~~~xerC_7,0,0,1,0,0,0,0,0,0,1
group_2353-group_3683-group_4648,1,1,0,1,0,0,0,0,0,0
group_2353-group_3683-pat_2,0,0,1,0,1,0,1,1,1,1
group_3683-group_2353-group_1976,0,1,1,1,1,1,1,1,1,1
group_1976-group_1108-rhaR_2~~~rhaR_5,0,1,1,1,1,1,1,1,1,1
apsD_2-ccpA_3-group_3581,1,1,0,1,0,0,0,0,0,0
apsD_2-ccpA_3-group_6126,0,0,1,0,1,1,1,1,1,1
group_3868-pal_1-group_5195,0,0,1,0,0,0,0,0,0,1
group_3868-pal_1-rutD,0,0,0,0,0,1,1,0,0,0
group_3868-pal_1-group_6089,1,1,0,1,1,0,0,1,1,0
pal_1-group_3868-group_4030,1,1,0,1,0,0,0,1,1,0
pal_1-group_3868-group_6057,0,0,1,0,0,1,1,0,0,0
cheB_2-group_235-group_5115,1,1,0,1,1,0,0,1,1,0
group_4349-group_235-group_5115,0,0,1,0,0,1,1,0,0,0
group_235-cheB_2-cheB_5~~~cheB_3,1,1,0,1,1,0,0,1,1,0
cheB_5~~~cheB_3-cheB_2-group_5922,0,0,1,0,0,1,1,0,0,1
lasR-group_709-group_5277,1,0,1,1,1,0,1,1,1,1
group_709-lasR-group_1644,1,0,0,1,1,0,0,1,1,0
group_709-lasR-hyuA_1,0,0,1,0,0,0,1,0,0,1
lasR-group_1644-hyuA_1,1,0,0,1,1,0,0,1,1,0
group_1644-hyuA_1-group_5490,1,1,0,1,1,0,0,1,1,0
