gene,g4,g5,g6,g8,g9,g11,g13,g16,g17,g19
hisC_4~~~hisC_2-cobB-cobA_2~~~cobA~~~cobA_1,1,1,1,1,1,1,1,1,1,0
group_1782-group_4287-group_4113,1,1,1,0,1,1,1,1,1,1
group_4113-group_2308-group_5554,1,1,1,0,1,1,1,1,1,1
group_1646-cysL-group_2911,1,1,1,1,0,1,1,1,1,1
group_2911-group_3950-ydjP,1,1,1,1,0,1,1,1,1,1
group_2936-group_656-group_5589,1,1,0,1,1,1,1,1,1,1
group_4139-group_1448-group_5450,1,1,1,1,1,0,0,1,1,0
group_4139-group_1448-group_5483,0,0,0,0,0,1,1,0,0,1
group_1673-group_1576-group_5483,0,0,0,0,0,1,1,0,0,1
group_5483-group_1576-group_5484,1,1,1,1,1,0,0,1,1,0
group_921-group_3686-group_3781,0,0,0,0,0,1,0,0,0,1
group_921-group_3686-group_5948,1,1,1,1,1,0,1,1,1,0
group_4616-group_2337-group_5623,1,1,0,1,0,1,1,1,1,1
group_3951-group_3586-group_4616,1,1,0,1,0,1,1,1,1,1
group_3586-group_3951-group_4114,1,1,1,1,1,1,1,1,0,0
group_3586-group_3951-group_5539,0,0,0,0,0,0,0,0,1,1
group_5539-group_1838-dnaA_1,1,0,1,1,1,1,1,1,1,1
phzF_1-group_2696-group_5315,1,1,0,1,1,0,0,1,1,0
group_3222-group_2696-group_5315,0,0,0,0,0,1,1,0,0,1
group_2696-phzF_1-group_1426,1,1,0,1,1,0,0,1,1,0
group_1426-phzF_1-group_519,0,0,1,0,0,1,1,0,0,1
group_120-ftsZ_1-group_4009,1,1,1,1,1,1,1,0,0,1
group_120-ftsZ_1-cof,0,0,0,0,0,0,0,1,1,0
group_4009-cof-btuD_12,1,1,1,1,1,1,1,0,0,1
btuD_12-cof-ftsZ_1,0,0,0,0,0,0,0,1,1,0
group_5302-group_1983-group_6187,1,0,1,1,1,1,1,1,1,1
group_3952-group_3653-group_5763,1,0,0,0,0,0,1,1,1,1
group_4174-group_3653-group_5763,0,1,1,1,1,1,0,0,0,0
group_3653-group_3952-group_1559,1,0,0,0,0,0,1,1,1,1
group_1559-group_3952-group_4174,0,1,1,1,1,1,0,0,0,0
nthB-group_1262-ecfG_1~~~sigR_2~~~sigR_1,0,0,0,0,0,1,1,0,0,1
group_5413-group_1262-ecfG_1~~~sigR_2~~~sigR_1,1,1,1,1,1,0,0,1,1,0
nhhA-nthB-group_1262,0,0,0,0,0,1,1,0,0,1
nhhA-nthB-group_5413,1,1,1,1,1,0,0,1,1,0
degP-group_2745-group_4067,1,1,1,1,1,0,0,1,1,0
degP-group_2745-hflC,0,0,0,0,0,1,1,0,0,1
group_4067-hflC-hflK,1,1,1,1,1,0,0,1,1,0
hflK-hflC-group_2745,0,0,0,0,0,1,1,0,0,1
yhjE_2-aqpZ2-group_2333,0,0,0,0,0,0,0,0,1,1
yhjE_2-aqpZ2-ddl_1~~~ddlB,1,1,1,1,1,1,1,1,0,0
group_5165-dsdA-dadA1_3~~~dadA_1~~~dadA1_1,1,1,1,1,1,1,1,0,1,1
group_1350-mltC-group_1388,1,1,0,0,0,0,0,0,0,0
group_1388-mltC-soxA_1,0,0,1,1,1,1,1,1,1,1
rhtB_1-group_842-group_2288,1,1,0,0,0,0,0,0,0,0
rhtB_1-group_842-group_5204,0,0,1,1,1,1,1,1,1,1
group_1001-blh_1-group_4617,0,1,1,1,0,1,1,1,1,1
group_6460-group_4438-group_6596,1,1,0,0,0,0,0,0,0,0
group_6202-group_2495-group_6203,1,1,0,1,0,0,0,0,0,1
group_593-mdh_1-pchA,1,1,0,0,0,0,0,0,0,0
pchA-mdh_1-group_5243,0,0,1,1,1,1,1,1,1,1
dppA_7-gsiC_9-gsiD_2~~~oppC,1,0,1,1,1,1,1,1,1,1
group_1408-group_622-group_4397,0,1,0,1,0,0,1,1,1,1
group_1408-group_622-mtgB_3,1,0,1,0,1,1,0,0,0,0
group_4397-mtgB_3-gcvT_1~~~abo_5~~~abo_4~~~abo_1,0,1,0,1,0,0,1,1,1,1
gcvT_1~~~abo_5~~~abo_4~~~abo_1-mtgB_3-group_622,1,0,1,0,1,1,0,0,0,0
group_60-group_1130-group_1334,1,1,0,1,0,0,0,1,0,0
group_1130-group_1334-group_2875,1,1,0,1,0,0,0,0,0,0
group_4069-group_711-group_5279,1,1,1,1,1,0,0,0,0,0
group_4592-group_711-group_5279,0,0,0,0,0,0,0,1,1,0
group_5701-group_3056-group_6487,1,1,0,1,1,0,0,1,1,0
group_6112-group_638-group_6320,1,1,0,0,0,0,0,1,1,1
group_2876-group_4332-group_6600,1,1,0,1,0,0,0,0,0,0
group_4838-group_572-group_6439,1,0,0,1,0,0,0,0,0,0
group_4704-group_1495-group_4715,1,0,1,0,0,0,0,0,0,0
group_3655-group_3587-nopP,1,1,0,0,0,0,0,0,0,0
nopP-group_3473-group_3414,1,1,1,1,0,0,0,0,0,0
group_1663-group_3474-group_5076,1,0,1,1,0,0,0,0,0,0
group_3384-group_2509-group_2566,0,0,1,1,0,0,0,0,0,0
group_3384-group_2509-group_4665,1,1,0,0,0,0,0,0,0,0
group_4839-folD_2-purU_2,1,1,1,0,0,0,0,0,0,0
ltrA-group_2266-group_4798,1,0,1,1,0,0,0,0,0,0
group_1643-group_2266-group_6513,0,0,0,0,0,0,0,1,1,0
group_2310-group_1584-group_2782,1,0,1,1,0,0,0,0,0,0
group_5344-group_949-scpB_1,1,1,1,1,0,0,0,0,0,0
group_1633-group_2035-group_5954,1,1,0,0,0,0,0,0,0,0
group_601-group_2035-group_5954,0,0,0,0,0,1,1,0,0,0
group_4716-group_3631-group_4865,1,1,0,0,0,0,0,0,0,0
group_4716-group_3631-group_5844,0,0,1,1,0,0,0,0,0,0
group_2604-group_4288-group_1188,0,0,1,1,0,0,0,0,0,0
group_2604-group_4288-group_4867,1,1,0,0,0,0,0,0,0,0
group_1533-group_1188-group_4288,0,0,1,1,0,0,0,0,0,0
group_1533-group_1188-group_4867,1,1,0,0,0,0,0,0,0,0
group_325-group_3365-group_4706,1,0,1,1,0,0,0,0,0,0
group_3070-group_3688-insK_2,1,1,0,1,0,0,0,0,0,0
group_704-group_503-group_4039,0,0,1,1,0,0,0,0,0,0
group_704-group_503-group_6286,1,1,0,0,0,0,0,0,0,0
group_3088-group_3838-group_4868,1,1,0,0,0,0,0,0,0,0
group_3088-group_3838-group_4871,0,0,1,1,0,0,0,0,0,0
group_3385-group_169-group_4712,1,1,1,0,0,0,0,0,0,0
group_3385-group_3955-group_3286,1,1,1,0,0,0,0,0,0,0
ku_3-lig_1-group_4653,0,1,0,1,0,0,0,0,0,0
dnaE2_1-group_2510-group_4653,0,1,0,1,0,0,0,0,0,0
group_554-group_922-group_3956,1,1,1,0,0,0,0,0,0,0
group_3956-group_4501-group_5746,1,1,1,0,0,0,0,0,0,0
group_2167-group_3517-group_5746,1,1,1,0,0,0,0,0,0,0
group_4626-group_384-group_6710,1,1,0,1,0,0,0,0,0,0
group_1578-occP_3-group_4872,1,1,0,1,0,0,0,0,0,0
group_3437-group_3732-group_3228,1,1,0,0,0,0,0,0,0,0
group_2036-group_1925-group_4625,1,1,0,1,0,0,0,0,0,0
group_5116-group_1427-group_5847,1,1,0,1,1,0,0,0,0,0
group_1972-group_477-xerC_14~~~xerC_7~~~xerC_8~~~xerD_3,1,1,0,1,1,0,0,0,0,0
xerC_14~~~xerC_7~~~xerC_8~~~xerD_3-group_477-thiG_2,0,0,0,0,0,0,0,1,1,1
group_3343-lrp_3-acdS,1,1,0,1,0,0,0,0,0,0
acdS-lrp_3-group_6477,0,0,0,0,1,0,0,1,1,1
group_5646-group_2511-group_6204,1,1,0,1,1,0,0,0,0,0
group_6204-group_2511-group_5965,0,0,0,0,0,0,0,1,1,1
group_714-group_1319-group_6403,1,1,0,1,1,0,0,0,0,0
group_4870-group_1973-group_5470,1,1,0,1,0,0,0,0,0,0
group_5470-group_1973-group_6501,0,0,0,0,0,1,1,0,0,0
group_646-group_1518-group_5470,1,1,0,1,0,0,1,0,0,0
group_1518-group_646-group_6023,1,1,0,1,0,0,1,0,0,0
chaA_2-group_3794-group_4884,1,1,0,0,0,0,0,0,0,0
group_4884-group_3794-chaA_3~~~chaA_2,0,0,0,1,0,0,0,1,1,1
group_3794-chaA_2-group_5260,1,1,0,0,0,0,0,0,0,0
group_1664-group_3025-group_5260,1,1,0,0,0,0,0,0,0,0
group_1402-calB-xylB_8~~~xylB_1,1,1,0,1,0,0,0,0,0,0
group_226-slyA_1-group_4649,1,1,0,1,0,0,0,0,0,0
group_2711-cueO_2-group_5077,1,1,0,1,0,0,1,0,0,0
group_3795-group_4141-group_3245,1,1,0,1,0,0,0,0,0,0
group_4400-group_4141-group_6268,0,0,0,0,0,1,1,0,0,0
group_4141-group_3245-group_4889,1,1,0,0,0,0,0,0,0,0
group_2712-group_3366-group_6479,1,1,0,1,0,0,0,1,1,0
group_6242-group_3366-group_6479,0,0,1,0,1,0,1,0,0,0
group_5543-group_1860-group_6182,1,1,1,1,1,0,1,1,1,0
noc_7-group_345-group_2897,1,1,0,1,1,0,0,1,1,1
noc_7-group_345-group_6017,0,0,1,0,0,1,1,0,0,0
group_3488-group_3658-group_5764,0,0,0,0,1,0,0,1,1,1
group_5764-group_3658-group_6017,1,1,0,1,0,0,0,0,0,0
group_4228-pntM-dmlR_6,1,1,0,1,1,0,0,1,0,1
group_3733-group_2169-group_4011,1,1,0,0,1,0,0,1,1,1
group_2169-group_4011-group_6113,1,1,0,0,0,0,0,1,1,0
group_2869-group_685-dusA,0,0,1,0,0,1,1,0,0,0
dusA-group_685-group_6113,1,1,0,0,1,0,0,1,1,1
cobU-group_2605-group_4615,0,0,1,1,0,1,1,1,1,1
cobU-group_2605-group_6045,1,1,0,0,0,0,0,0,0,0
group_1519-rcsC_8-group_4615,0,0,1,1,0,1,1,1,1,1
group_1519-rcsC_8-group_6045,1,1,0,0,0,0,0,0,0,0
group_4608-group_3262-pal_2~~~pal_3~~~pal_1,1,1,0,1,1,0,0,1,1,0
group_1228-bluB-group_623,1,1,1,1,1,0,1,1,1,1
bluB-group_623-lasI_2,1,1,1,1,1,0,1,1,1,1
group_346-group_1804-group_3633,1,0,0,0,1,0,0,0,0,0
group_346-group_1804-group_5312,0,1,1,1,0,1,1,1,1,1
group_1958-trmL-group_4427,1,0,1,0,1,1,1,1,1,1
group_1958-trmL-btuD_13,0,1,0,1,0,0,0,0,0,0
group_4427-btuD_13-group_5996,1,0,1,0,1,1,1,1,1,1
trmL-btuD_13-group_5996,0,1,0,1,0,0,0,0,0,0
group_3928-group_3214-group_5603,1,1,1,1,1,0,1,1,1,1
group_5479-group_1564-recG,1,1,1,1,1,1,1,1,0,1
group_3659-group_1849-group_3283,0,0,0,0,0,0,0,1,0,1
group_3659-group_1849-cinA,1,1,1,1,1,1,1,0,1,0
group_715-group_4012-group_2734,1,1,0,1,1,0,0,0,1,0
group_2734-group_4012-group_1894,0,0,1,0,0,0,0,0,0,1
group_2734-group_4012-group_3510,0,0,0,0,0,1,1,0,0,0
group_3134-group_2963-group_3247,1,1,0,1,1,0,0,0,1,0
group_4270-group_2209-group_374,1,1,0,1,1,0,0,0,1,0
group_374-group_2209-group_4279,0,0,0,0,0,1,1,0,0,1
group_4493-group_2030-group_6539,0,0,0,0,1,0,0,0,1,0
group_6094-group_2030-group_6539,1,1,0,1,0,0,0,0,0,0
group_5665-group_2697-group_6376,0,0,0,1,1,0,0,0,0,1
group_6330-group_2697-group_6376,1,1,0,0,0,0,0,0,1,0
group_4897-group_2657-group_6605,0,0,0,0,1,0,0,0,1,0
group_6442-group_2657-group_6605,1,0,0,1,0,0,0,0,0,0
group_3229-group_1894-trkI_2,1,1,0,1,1,0,0,0,1,0
trkI_2-group_1894-group_4012,0,0,1,0,0,0,0,0,0,1
trkI_2-group_1894-group_515,0,0,0,0,0,1,1,0,0,0
mdtI~~~hcaB_6~~~hcaB_3-mdtJ-yjcS_2~~~yjcS~~~yjcS_1,1,1,1,1,1,0,1,1,1,0
group_3958-group_4243-yjcS_2~~~yjcS~~~yjcS_1,1,1,1,1,0,1,0,0,0,0
group_2396-group_3816-group_3326,1,1,0,1,0,0,1,0,0,0
group_3326-group_1264-group_2898,1,1,0,1,0,0,1,0,0,0
group_3980-group_495-group_4726,0,1,0,1,0,0,0,0,0,0
group_495-group_3980-group_3158,1,1,0,1,0,0,0,0,0,0
group_3158-group_3980-group_5690,0,0,0,0,0,1,1,0,0,0
group_4832-group_3707-group_4891,1,1,0,0,0,1,1,0,0,1
group_4013-group_4209-group_3263,1,1,0,1,0,0,0,0,0,0
group_4013-group_4209-group_3994,0,0,0,0,0,1,1,0,0,0
group_4209-group_3263-group_6291,1,1,0,1,0,0,0,0,0,0
group_3994-group_3263-group_6291,0,0,0,0,0,1,1,0,0,0
group_5919-group_2878-group_6392,1,1,0,1,0,1,1,0,0,0
group_4229-group_3345-group_4142,1,1,1,1,1,0,0,1,1,0
group_4229-group_3345-rlpA_1~~~rlpA_2,0,0,0,0,0,1,1,0,0,1
group_3345-group_4142-group_5714,1,1,0,1,1,0,0,1,1,0
group_536-group_3479-group_113,0,0,0,0,0,0,0,1,1,0
group_536-group_3479-group_5599,1,1,0,1,1,0,0,0,0,0
group_4635-group_1150-ycfH~~~yjjV~~~dtd3,1,1,1,1,1,1,1,0,0,0
ycfH~~~yjjV~~~dtd3-group_1150-group_5398,0,0,0,0,0,0,0,1,1,1
mshA_15-mshA_16-group_5297,1,1,1,1,1,1,1,1,1,0
bepA_4-group_2157-uvrA_1~~~uvrA_2~~~uvrA,0,0,0,0,0,1,1,0,0,1
uvrA_1~~~uvrA_2~~~uvrA-group_2157-group_6366,1,1,1,1,1,0,0,1,1,0
group_2941-clpS-clpA,1,1,1,0,1,1,1,1,1,1
group_2210-fpr-glnQ_11,1,1,1,1,1,1,1,1,1,0
eno-group_3265-group_5710,0,0,0,0,1,1,0,1,1,0
eno-group_3265-group_6232,1,1,1,1,0,0,1,0,0,1
tpiA-yceJ-yceI,1,1,1,1,0,1,1,1,1,1
group_3448-group_2469-sdaA,0,0,1,1,1,1,1,1,1,1
group_4468-sdaA-group_2469,0,0,1,1,1,1,1,1,1,1
group_1666-group_2445-flhA_2,1,1,1,0,1,1,1,1,1,1
dmlR_7-group_2843-NADK,1,1,0,1,1,1,1,1,1,1
group_2843-NADK-group_2211,1,1,0,1,1,1,1,1,1,1
gatC-gatA_3-group_6085,1,1,0,1,1,1,1,1,1,1
yrrK-group_3026-group_3981,1,1,0,0,1,1,1,1,1,1
yrrK-group_3026-group_990,0,0,1,1,0,0,0,0,0,0
group_3981-group_990-aidB,1,1,0,0,1,1,1,1,1,1
aidB-group_990-group_3026,0,0,1,1,0,0,0,0,0,0
group_5664-slyA_2-group_5735,1,1,0,1,1,1,1,1,1,1
group_2998-group_422-yccU,1,1,1,1,1,1,1,1,0,1
group_1950-bshA_2-wcaJ,1,1,1,0,1,1,1,1,1,1
group_3858-group_765-group_5294,1,1,1,0,0,0,0,0,0,0
group_4808-group_765-group_5294,0,0,0,1,1,1,1,1,1,1
group_765-group_3858-group_2102,1,1,1,0,0,0,0,0,0,0
group_2102-group_3858-group_3507,0,0,0,1,1,1,0,1,1,1
group_3842-groL2-aspS,1,1,1,0,1,0,0,0,0,0
group_3842-groL2-group_6045,0,0,0,1,0,1,1,1,1,1
groL2-aspS-ycaD_3,1,1,1,0,1,0,0,0,0,0
ycaD_3-aspS-group_6045,0,0,0,1,0,1,1,1,1,1
gcvA_6-abgB_2-group_1403,1,0,0,0,0,1,0,0,0,0
gcvA_6-abgB_2-nfdA_1~~~nfdA_3,0,1,1,1,1,0,1,1,1,1
rhaS_6-alr-radA,1,1,1,0,1,1,1,1,1,1
group_1796-group_157-atm1,1,0,1,1,1,1,1,1,1,1
group_1649-group_2221-group_562,0,0,0,1,0,1,0,0,0,0
group_1649-group_2221-mrpA~~~ndhB_2~~~ndhB_3,1,1,1,0,1,0,1,1,1,1
betC_1-betB_3-betA,1,1,0,1,1,1,1,1,1,1
betB_3-betA-group_2278,1,1,0,1,1,1,1,1,1,1
xseB-group_1016-group_3267,1,0,1,0,1,0,0,1,1,1
xseB-group_1016-dxs_1~~~dxs_3,0,1,0,1,0,1,1,0,0,0
araB_1-araC_2-group_3909,1,0,1,0,1,1,1,1,1,0
araB_1-araC_2-group_1728,0,1,0,1,0,0,0,0,0,1
group_3909-group_1728-mtgB_4,1,0,1,0,1,1,1,1,1,0
mtgB_4-group_1728-araC_2,0,1,0,1,0,0,0,0,0,1
group_4410-pmbA-kefC,1,1,1,0,1,1,0,1,1,1
kefC-pmbA-cysQ_1~~~cysQ_4,0,0,0,1,0,0,1,0,0,0
kefC-group_1603-group_1086,1,1,1,0,1,1,1,1,1,1
group_1603-group_1086-rsmD,1,1,1,0,1,1,1,1,1,1
group_2715-group_2546-hisS~~~hisZ,1,1,1,1,0,1,1,0,0,0
hisS~~~hisZ-group_2546-group_5668,0,0,0,0,1,0,0,1,1,1
group_5657-oxyR_3-katA,1,1,0,1,1,1,1,1,1,1
group_4618-group_4034-group_5148,1,1,1,0,1,0,0,1,1,0
group_4618-group_2764-rlmE,1,1,1,0,1,1,1,1,1,1
pgrR_11-group_3110-group_2690,0,0,0,1,0,0,0,0,1,0
pgrR_11-group_3110-ucpA_1~~~ucpA_2,1,1,1,0,1,1,1,1,0,1
yhdE-group_3983-group_5790,1,1,1,1,1,0,0,0,0,0
group_4314-group_3983-group_5790,0,0,0,0,0,1,1,0,0,1
group_5449-group_3983-group_5790,0,0,0,0,0,0,0,1,1,0
group_3983-yhdE-infA,1,1,1,1,1,0,0,0,0,0
infA-yhdE-yacG,0,0,0,0,0,1,1,1,1,1
group_3959-murA-group_5183,1,1,1,1,0,1,1,1,1,1
murA-group_3959-group_2197,0,0,0,0,0,1,1,0,0,1
murA-group_3959-group_194,0,0,0,0,0,0,0,1,1,0
murA-group_3959-group_6261,1,1,1,1,0,0,0,0,0,0
group_4322-group_220-group_3368,1,1,0,0,0,0,0,0,0,0
group_3368-group_1959-group_163,1,1,0,0,0,0,0,0,0,0
group_3417-group_3090-group_3636,1,1,0,1,0,0,0,0,0,0
group_2904-group_3090-group_6679,0,0,0,0,0,0,0,1,1,0
group_3388-group_2290-group_5611,1,1,0,1,0,0,0,1,1,0
group_4272-group_2197-group_3959,0,0,0,0,0,1,1,0,0,1
group_4272-group_2197-xerC_15,1,1,0,1,1,0,0,1,1,0
pncA-group_557-tdh_2~~~ppsC~~~tdh_3~~~pks5,1,1,0,1,1,1,1,1,1,1
group_2641-group_3709-group_5047,1,1,0,1,1,1,1,1,1,1
group_3709-group_2641-group_1282,1,1,0,1,1,1,1,1,1,1
metZ_2-ynjF-group_917,1,1,0,1,1,1,1,1,1,1
group_917-apaG-hslO,1,1,0,1,1,1,1,1,1,1
group_3269-sasA_10-garB_2~~~merA,1,1,0,0,0,0,0,0,0,0
group_2249-sasA_10-badA,0,0,0,0,0,1,1,0,0,1
garB_2~~~merA-sasA_10-badA,0,0,1,1,1,0,0,1,1,0
group_531-def-group_2769,0,0,1,0,0,0,0,0,1,1
group_531-def-fmt_2,1,1,0,1,1,1,1,1,0,0
group_3917-group_2729-murJ,0,0,1,0,0,0,0,0,0,1
murJ-group_2729-trpS,1,1,0,1,1,1,1,1,1,0
group_1708-hemW-group_5231,0,1,1,1,1,1,1,1,1,1
group_419-group_2269-group_5231,0,0,1,0,1,0,1,0,0,1
group_419-group_2269-group_5607,0,1,0,1,0,1,0,1,1,0
rsmI-group_2846-gshB_1~~~gshB_2,1,0,1,1,1,1,1,1,1,1
pgrR_13-yciF-group_5520,1,1,1,1,1,1,1,0,1,1
cfa_2-efp-group_2677,0,0,0,1,1,0,0,0,0,0
cfa_2-efp-epmA,1,1,1,0,0,1,1,1,1,1
msrA-tmpC-slyX,1,1,1,1,1,1,0,1,1,1
group_768-arcA_2-rcsC_14~~~rcsC_13,1,1,0,1,1,1,1,1,1,1
trpA-accD-fpgS,1,1,1,1,1,1,1,1,0,1
acsA_2-group_1552-group_1390,0,0,1,0,1,0,0,0,1,0
acsA_2-group_1552-acsA_2~~~acsA_3,1,1,0,1,0,1,1,1,0,1
aptB-aplK-group_5128,1,1,0,0,0,0,0,0,0,1
aptB-aplK-deoR_2~~~deoR_3~~~deoR_4,0,0,1,1,1,1,1,1,1,0
proX-group_4347-eryD_2,1,1,1,1,1,0,1,1,1,1
mcl2-group_3911-group_2485,1,1,1,1,1,0,1,1,1,1
group_3911-group_2485-group_5644,1,1,1,1,1,0,1,1,1,1
rpmA-rplU-group_3389,1,1,0,1,1,1,1,1,1,0
rplU-group_3389-group_2548,1,1,0,1,1,1,1,1,1,0
group_3163-group_2609-group_1938,1,0,0,0,0,0,0,0,0,1
group_1938-group_2609-group_5169,0,1,1,1,1,1,1,1,1,0
group_4649-group_4249-cnbH_1~~~cnbH_2,0,0,0,0,0,0,0,1,1,0
cnbH_1~~~cnbH_2-group_4249-group_5508,1,1,1,1,1,1,1,0,0,1
group_1677-group_1784-group_4290,1,1,1,1,1,1,1,1,1,0
group_4290-sdhC-group_2787,1,1,1,1,1,1,1,1,1,0
sdhA-sdhB-msrA2,1,1,1,1,1,1,1,1,1,0
sdhB-msrA2-group_3484,1,1,1,1,1,1,1,1,1,0
rhtC_3-group_2212-group_1999,1,0,0,1,1,1,0,0,1,1
rhtC_3-group_2212-ygfF,0,1,1,0,0,0,1,1,0,0
fur-group_1052-btuD_18,1,1,1,1,1,1,1,0,1,1
group_5088-group_3755-fdhD,1,1,1,1,0,1,1,1,1,1
cheW_3-bdlA-group_5088,1,1,1,1,0,1,1,1,1,1
group_2629-coxS-group_4250,1,0,1,0,1,1,1,1,0,0
group_2629-coxS-cutL,0,1,0,1,0,0,0,0,1,1
group_4250-cutL-cutM_2,1,0,1,0,1,1,1,1,0,0
cutM_2-cutL-coxS,0,1,0,1,0,0,0,0,1,1
group_3390-cspA_7-group_482,0,0,0,0,0,1,1,1,1,0
group_3390-cspA_7-mak,1,1,1,1,0,0,0,0,0,0
group_2232-group_607-metH_2,1,1,1,1,1,1,1,0,1,1
oppF_4~~~oppD_7-sgrR_4-eryD_3~~~lsrR_1,1,1,1,1,1,1,1,1,1,0
group_2487-group_3933-group_5198,1,1,0,1,1,1,1,1,1,1
group_2487-malT_2-hpd,1,1,0,1,1,1,1,1,1,1
group_5158-nagL_2-purU_4~~~purU_2,1,1,0,1,1,1,1,1,1,1
bkdB-lpdV-purU_4~~~purU_2,0,1,0,0,1,1,1,1,1,1
bkdB-lpdV-group_6092,1,0,0,1,0,0,0,0,0,0
group_1797-rihB-group_825,0,1,1,1,1,1,1,1,1,1
group_2662-ilvD-group_3984,1,1,1,1,1,1,1,1,1,0
group_3984-group_2752-group_4492,1,1,1,1,1,1,1,1,1,0
group_411-group_2836-group_5680,1,1,0,0,0,0,0,0,0,0
group_3311-group_1844-group_6179,1,0,0,1,0,0,0,0,0,0
group_6179-group_1844-group_6180,0,1,1,0,0,0,0,0,0,0
avrRpt2-group_4076-rhaS_7,1,1,1,1,0,0,0,0,0,0
rhaS_7-group_4076-group_342,0,0,0,0,0,1,1,0,0,0
rhaS_7-group_4076-mnmA,0,0,0,0,0,0,0,1,1,1
group_343-nagR_3-argD_2,0,1,1,1,1,1,1,1,1,1
group_615-group_400-bolA,1,0,0,1,1,1,1,0,1,1
group_615-group_400-dnaJ_2~~~dnaJ_3,0,1,1,0,0,0,0,1,0,0
dsbB-acsA_4-group_428,1,1,0,1,1,1,1,1,1,1
yfhA_3-fepC_2-fyuA~~~btuB_1,1,1,0,1,0,0,0,0,0,0
fyuA~~~btuB_1-fepC_2-btuC_1~~~yfhA_1~~~yfhA_2,0,0,1,0,1,1,1,1,1,1
fepC_2-yfhA_3-group_4707,0,1,0,1,0,0,0,0,0,0
yfiY-yfiZ-btuC_1~~~yfhA_1~~~yfhA_2,1,1,1,1,1,1,0,1,1,1
group_569-lutR_13-pchF,1,1,0,1,1,1,1,0,1,1
pchF-lutR_13-yiaM,0,0,1,0,0,0,0,1,0,0
group_569-yiaM-dctM_4,1,1,0,1,1,1,1,0,1,1
dctM_4-yiaM-lutR_13,0,0,1,0,0,0,0,1,0,0
rbsC_25-cbl-gsiC_1~~~dppB_11,1,1,1,1,1,1,0,1,1,1
group_2913-cyoC_2-group_1554,1,1,1,1,0,1,0,1,0,1
group_2913-cyoC_2-coxN,0,0,0,0,1,0,1,0,1,0
group_1554-coxN-coxM,1,1,1,1,0,1,0,1,0,1
coxM-coxN-cyoC_2,0,0,0,0,1,0,1,0,1,0
hmuT-btuC_2-hmuV,1,1,1,1,0,1,1,1,1,1
group_5272-group_682-gbuC,1,1,1,1,1,0,1,1,1,1
group_4116-group_111-group_5272,1,1,1,0,1,1,0,0,1,1
group_2456-group_111-group_5272,0,0,0,1,0,0,1,1,0,0
group_4116-group_2456-group_412,1,1,1,0,1,1,0,0,1,1
group_412-group_2456-group_111,0,0,0,1,0,0,1,1,0,0
leuA-group_3591-group_6149,1,0,1,1,1,1,1,1,1,1
sigR_2-group_1216-group_6149,1,0,1,1,1,1,1,1,1,1
group_548-group_1309-group_6154,0,0,0,1,1,0,0,0,0,1
group_5422-group_1309-group_6154,0,0,1,0,0,1,1,0,0,0
group_5569-group_1309-group_6154,1,1,0,0,0,0,0,1,1,0
group_1542-group_3566-group_4374,1,1,0,1,0,0,0,0,0,0
group_1542-group_3566-group_4919,0,0,0,0,0,0,0,1,1,0
group_4810-group_242-group_4921,0,0,0,0,0,0,0,1,1,0
group_4810-group_242-group_6751,1,1,0,1,0,0,0,0,0,0
group_3864-group_1720-group_6553,0,0,0,0,0,1,1,0,0,0
group_6553-group_1720-group_6582,1,1,0,1,1,0,0,0,0,0
virB3_1-virB2-group_5704,0,1,0,1,1,0,0,1,0,1
group_4773-group_882-cueO_1,0,1,0,0,1,0,0,0,0,0
group_3592-group_2820-group_5679,0,0,1,0,0,1,0,0,0,0
group_2272-group_2768-group_4933,0,0,1,0,0,0,1,0,0,0
group_1089-scmP_1-group_3756,0,0,1,0,0,1,1,0,0,0
group_763-group_2118-group_4145,0,0,1,0,0,1,0,0,0,0
group_4145-group_3346-group_5414,0,0,1,0,0,1,0,0,0,0
group_2132-group_1743-group_6029,0,0,1,0,0,1,1,0,0,0
group_3347-group_3313-group_4212,0,0,1,0,0,0,1,0,0,1
group_4212-group_106-group_1023,0,0,1,0,0,0,1,0,0,1
group_2489-group_1627-group_3825,0,0,0,0,0,0,1,0,0,1
group_2489-group_1627-patZ~~~pat~~~pat_1,0,0,1,0,0,1,0,0,0,0
group_5696-ros_1-group_6592,0,0,1,0,0,1,0,0,0,0
group_4765-group_3391-group_6270,0,0,1,0,0,1,0,0,0,0
group_2065-group_215-group_5855,0,0,0,0,0,1,1,0,0,0
group_5409-group_3713-group_6595,0,0,1,0,0,1,1,0,0,0
cah_1-group_3986-aldHT_2,0,0,1,0,0,1,0,0,0,0
group_5127-group_273-group_6262,0,0,0,0,0,1,1,0,0,0
group_1670-group_4191-group_3696,0,0,0,1,1,0,0,0,0,0
group_1670-group_4191-yhaJ,0,0,1,0,0,1,1,1,1,1
ydaD_1-group_4275-group_6273,0,0,0,0,0,0,1,0,1,0
group_4966-group_2376-group_6339,0,0,0,0,0,0,0,1,1,0
group_1135-group_4176-group_3104,0,0,0,0,0,0,0,1,1,1
group_6285-xerC_10-xerC_11~~~xerC_5,0,0,0,0,0,0,0,1,1,0
group_5545-glnA_2-gltB_2~~~gltB_3~~~gltB_1,0,0,0,0,0,1,1,0,0,0
ccpA_4-group_3348-group_6238,0,0,0,0,0,1,1,0,0,0
group_2807-ccpA_4-group_3348,0,0,0,0,0,1,1,0,0,0
