from,gene,non_unique_gene_name,annotation
cbf2,cbf2,cbf2,Putative peptidyl-prolyl cis-trans isomerase Cbf2
ousW,ousW_2,ousW_2,Glycine betaine/choline transport system permease protein OusW
sigJ,sigJ,sigJ,ECF RNA polymerase sigma factor SigJ
aviRb,aviRb,aviRb,23S rRNA (uridine(2479)-2'-O)-methyltransferase
ydjP,ydjP,ydjP,AB hydrolase superfamily protein YdjP
ribX,ribX,ribX,Riboflavin transport system permease protein RibX
mmgB,mmgB,mmgB,putative 3-hydroxybutyryl-CoA dehydrogenase
dhaA,dhaA,dhaA,Haloalkane dehalogenase
virB9,virB9_1,virB9_1,Protein virB9
dasB,dasB,dasB,Diacetylchitobiose uptake system permease protein DasB
ycf3,ycf3,ycf3,Photosystem I assembly protein Ycf3
catE,catE,catE,Catechol-23-dioxygenase
mcl2,mcl2,mcl2,(3S)-malyl-CoA thioesterase
phnD2,phnD2,phnD2,putative ABC transporter phosphonate/phosphite binding protein PhnD2
gnl,gnl,gnl,Gluconolactonase
pcpR,pcpR,pcpR,PCP degradation transcriptional activation protein
rfuD,rfuD_1,rfuD_1,putative riboflavin import permease protein RfuD
eryC,eryC,eryC,D-erythrulose 1-phosphate 3-epimerase
thpA,thpA,thpA,D-threitol-binding protein
syrM1,syrM1_2,syrM1_2,HTH-type transcriptional regulator SyrM 1
fdhC,fdhC,fdhC,Fructose dehydrogenase cytochrome subunit
hmuT,hmuT,hmuT,Hemin-binding periplasmic protein HmuT
eryD,eryD_4,eryD_4,Erythritol catabolism regulatory protein EryD
acsE,acsE,acsE,5-methyltetrahydrofolate:corrinoid/iron-sulfur protein co-methyltransferase
aptB,aptB,aptB,Apulose-4-phosphate transketolase subunit B
cysK1,cysK1,cysK1,O-acetylserine sulfhydrylase
fgd1,fgd1,fgd1,F420-dependent glucose-6-phosphate dehydrogenase 1
tmpC,tmpC,tmpC,Membrane lipoprotein TmpC
dhaK2,dhaK2,dhaK-2,PTS-dependent dihydroxyacetone kinase 2 dihydroxyacetone-binding subunit DhaK
ipsA,ipsA,ipsA,HTH-type transcriptional regulator IpsA
yjmC,yjmC_2,yjmC_2,putative oxidoreductase YjmC
hpr,hpr,hpr,Hydroxypyruvate reductase
yitJ,yitJ,yitJ,Bifunctional homocysteine S-methyltransferase/510-methylenetetrahydrofolate reductase
futA1,futA1,futA1,Iron uptake protein A1
ipdC,ipdC_2,ipdC_2,Indole-3-pyruvate decarboxylase
sugC,sugC_2,sugC_2,Trehalose import ATP-binding protein SugC
acr3,acr3,acr3,Arsenical-resistance protein Acr3
odh,odh,odh,Opine dehydrogenase
apsD,apsD_2,apsD_2,D-apiose dehydrogenase
wbiB,wbiB,wbiB,dTDP-L-rhamnose 4-epimerase
hpd,hpd,hpd,4-hydroxyphenylpyruvate dioxygenase
rebD,rebD,rebD,Dichlorochromopyrrolate synthase
Vejaci,Vejaci,Vejaci,36-anhydro-alpha-L-galactonate cycloisomerase
pucG,pucG,pucG,(S)-ureidoglycine--glyoxylate transaminase
mmpA,mmpA,mmpA,Metalloprotease MmpA
rfuC,rfuC_3,rfuC_3,putative riboflavin import permease protein RfuC
yteT,yteT_1,yteT_1,Putative oxidoreductase YteT
xlnD,xlnD,xlnD,3-hydroxybenzoate 6-hydroxylase 1
gci,gci_2,gci_2,D-galactarolactone cycloisomerase
pbuE,pbuE,pbuE,Purine efflux pump PbuE
sfnC,sfnC,sfnC,putative FMNH2-dependent monooxygenase SfnC
ttgG,ttgG,ttgG,Toluene efflux pump periplasmic linker protein TtgG
ubiL,ubiL_2,ubiL_2,Ubiquinone hydroxylase UbiL
nqo4,nqo4,nqo4,NADH-quinone oxidoreductase subunit 4
oat2,oat2,oat2,Glutamate N-acetyltransferase 2
dadA1,dadA1_2,dadA1_2,D-amino acid dehydrogenase 1
oiaX,oiaX,oiaX,3-oxo-isoapionate-4-phosphate decarboxylase
narT,narT,narT,putative nitrate transporter NarT
ddmA1,ddmA1,ddmA1,Dicamba O-demethylase 1 ferredoxin reductase component
yesO,yesO_2,yesO_2,Putative ABC transporter substrate-binding protein YesO
icl,icl,icl,Isocitrate lyase
hpsN,hpsN_2,hpsN_2,Sulfopropanediol 3-dehydrogenase
melE,melE,melE,Melibiose/raffinose/stachyose-binding protein MelE
nqo1,nqo1,nqo1,NADH-quinone oxidoreductase chain 1
abaF,abaF,abaF,Fosfomycin resistance protein AbaF
aldHT,aldHT_2,aldHT_2,Aldehyde dehydrogenase thermostable
pucK,pucK,pucK,Uric acid permease PucK
ipuC,ipuC,ipuC,Glutamate--isopropylamine ligase
egtA,egtA,egtA,Glutamate--cysteine ligase EgtA
licH,licH,licH,putative 6-phospho-beta-glucosidase
mprB,mprB,mprB,Signal transduction histidine-protein kinase/phosphatase MprB
ramB,ramB,ramB,HTH-type transcriptional regulator RamB
kaiC,kaiC_1,kaiC_1,Circadian clock protein kinase KaiC
ndhB,ndhB_2,ndhB_2,NAD(P)H-quinone oxidoreductase subunit 2
eltP,eltP,eltP,Erythritol/L-threitol-binding protein
pucI,pucI,pucI,putative allantoin permease
glgA1,glgA1_1,glgA1_1,Glycogen synthase 1
hpyO,hpyO,hpyO,FAD-dependent urate hydroxylase
aplK,aplK,aplK,Apulose kinase
rgtA,rgtA_2,rgtA_2,Lipopolysaccharide core galacturonosyltransferase RgtA
eryB,eryB_3,eryB_3,D-erythritol 1-phosphate dehydrogenase
expZ,expZ,expZ,Nucleotide-binding protein ExpZ
rpoN2,rpoN2,rpoN2,RNA polymerase sigma-54 factor 2
lfrA,lfrA,lfrA,Multidrug efflux pump LfrA
farB,farB,farB,Fatty acid resistance protein FarB
groL2,groL2,groL2,60 kDa chaperonin 2
groL5,groL5_2,groL5_2,60 kDa chaperonin 5
adeC,adeC,adeC,Adenine deaminase
pepF1,pepF1,pepF1,Oligoendopeptidase F plasmid
accA1,accA1_1,accA1_1,Acetyl-/propionyl-coenzyme A carboxylase alpha chain
apc3,apc3_3,apc3_3,Acetophenone carboxylase gamma subunit
FCS1,FCS1,FCS1,Trans-feruloyl-CoA synthase FCS1
nqo3,nqo3,nqo3,NADH-quinone oxidoreductase chain 3
pctA,pctA,pctA,Methyl-accepting chemotaxis protein PctA
iorB,iorB,iorB,Isoquinoline 1-oxidoreductase subunit beta
csxA,csxA,csxA,Exo-beta-D-glucosaminidase
secDF,secDF,secDF,Protein translocase subunit SecDF
oqxB7,oqxB7,oqxB7,multidrug efflux RND transporter permease subunit OqxB7
pycA,pycA,pycA,Pyruvate carboxylase
tdiR,tdiR_2,tdiR_2,Transcriptional regulatory protein TdiR
yfiR,yfiR,yfiR,putative HTH-type transcriptional regulator YfiR
tmoT,tmoT_2,tmoT_2,Response regulator protein TmoT
ngcF,ngcF,ngcF,Diacetylchitobiose uptake system permease protein NgcF
csoR,csoR,csoR,Copper-sensing transcriptional repressor CsoR
cysO,cysO,cysO,Sulfur carrier protein CysO
