from,gene,non_unique_gene_name,annotation
pphA,pphA,pphA,Serine/threonine-protein phosphatase 1
chpT,chpT,chpT,Protein phosphotransferase ChpT
lolA,lolA,lolA,Outer-membrane lipoprotein carrier protein
hdlIVa,hdlIVa,hdl IVa,(S)-2-haloacid dehalogenase 4A
purN,purN,purN,Phosphoribosylglycinamide formyltransferase
glnP,glnP,glnP,Glutamine transport system permease protein GlnP
metI,metI,metI,D-methionine transport system permease protein MetI
gph,gph_3,gph_3,Phosphoglycolate phosphatase
COQ5,COQ5_4,COQ5_4,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial
yieH,yieH_2,yieH_2,6-phosphogluconate phosphatase
bepR,bepR,bepR,HTH-type transcriptional repressor BepR
fzlA,fzlA,fzlA,FtsZ-localized protein A
tatB,tatB,tatB,Sec-independent protein translocase protein TatB
ald2,ald2_2,ald2_2,5-(methylthio)ribulose-1-phosphate aldolase
yecD,yecD,yecD,Isochorismatase family protein YecD
qseB,qseB,qseB,Transcriptional regulatory protein QseB
ftcR,ftcR,ftcR,Flagellar transcriptional regulator FtcR
phoP,phoP,phoP,Transcriptional regulatory protein PhoP
purQ,purQ,purQ,Phosphoribosylformylglycinamidine synthase subunit PurQ
tlpA,tlpA,tlpA,Thiol:disulfide interchange protein TlpA
hxpA,hxpA,hxpA,Hexitol phosphatase A
nicS,nicS_2,nicS_2,HTH-type transcriptional repressor NicS
tctD,tctD,tctD,Transcriptional regulatory protein tctD
lon2,lon2,lon2,Lon protease 2
bioM,bioM,bioM,Biotin transport ATP-binding protein BioM
rpe,rpe_2,rpe_2,Ribulose-phosphate 3-epimerase
devR,devR_2,devR_2,DNA-binding transcriptional activator DevR/DosR
walR,walR,walR,Transcriptional regulatory protein WalR
msiK,msiK_3,msiK_3,Diacetylchitobiose uptake system ATP-binding protein MsiK
yiaD,yiaD,yiaD,putative lipoprotein YiaD
phoB,phoB,phoB,Phosphate regulon transcriptional regulatory protein PhoB
rplC,rplC,rplC,50S ribosomal protein L3
aqpZ2,aqpZ2,aqpZ2,Aquaporin Z 2
bshB1,bshB1_1,bshB1_1,N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
mcbR,mcbR_2,mcbR_2,HTH-type transcriptional regulator McbR
bluB,bluB,bluB,56-dimethylbenzimidazole synthase
glxR,glxR_2,glxR_2,CRP-like cAMP-activated global transcriptional regulator
livF,livF_2,livF_2,High-affinity branched-chain amino acid transport ATP-binding protein LivF
pyrF,pyrF,pyrF,Orotidine 5'-phosphate decarboxylase
trmB,trmB,trmB,tRNA (guanine-N(7)-)-methyltransferase
psd,psd,psd,Phosphatidylserine decarboxylase proenzyme
rplA,rplA,rplA,50S ribosomal protein L1
ctrA,ctrA,ctrA,Cell cycle response regulator CtrA
modB,modB,modB,Molybdenum transport system permease protein ModB
cusR,cusR,cusR,Transcriptional regulatory protein CusR
napC,napC,napC,Cytochrome c-type protein NapC
nanR,nanR_2,nanR_2,HTH-type transcriptional repressor NanR
tmk,tmk,tmk,Thymidylate kinase
cecR,cecR,cecR,HTH-type transcriptional dual regulator CecR
thiQ,thiQ,thiQ,Thiamine import ATP-binding protein ThiQ
yhdE,yhdE,yhdE,dTTP/UTP pyrophosphatase
yfcG,yfcG_2,yfcG_2,Disulfide-bond oxidoreductase YfcG
djlA,djlA,djlA,Co-chaperone protein DjlA
phnL,phnL,phnL,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
flgH,flgH,flgH,Flagellar L-ring protein
cpdA,cpdA_1,cpdA_1,3'5'-cyclic adenosine monophosphate phosphodiesterase CpdA
phoU,phoU,phoU,Phosphate-specific transport system accessory protein PhoU
rpsC,rpsC,rpsC,30S ribosomal protein S3
rraA,rraA,rraA,Regulator of ribonuclease activity A
pth,pth,pth,Peptidyl-tRNA hydrolase
tolQ,tolQ_2,tolQ_2,Tol-Pal system protein TolQ
rph,rph,rph,Ribonuclease PH
sfsA,sfsA,sfsA,Sugar fermentation stimulation protein A
ygeA,ygeA,ygeA,L-aspartate/glutamate-specific racemase
nreC,nreC,nreC,Oxygen regulatory protein NreC
trmD,trmD,trmD,tRNA (guanine-N(1)-)-methyltransferase
baeR,baeR,baeR,Transcriptional regulatory protein BaeR
pyrH,pyrH,pyrH,Uridylate kinase
phaB,phaB,phaB,Acetoacetyl-CoA reductase
arcA,arcA_2,arcA_2,Aerobic respiration control protein ArcA
hisQ,hisQ_3,hisQ_3,Histidine transport system permease protein HisQ
flgF,flgF,flgF,Flagellar basal-body rod protein FlgF
pcs,pcs,pcs,Phosphatidylcholine synthase
hyuA,hyuA_1,hyuA_1,Hydantoin racemase
sdh,sdh,sdh,Serine 3-dehydrogenase
scpB,scpB_2,scpB_2,Segregation and condensation protein B
lnrL,lnrL_1,lnrL_1,Linearmycin resistance ATP-binding protein LnrL
prmC,prmC_1,prmC_1,Release factor glutamine methyltransferase
frcA,frcA_4,frcA_4,Fructose import ATP-binding protein FrcA
lasR,lasR,lasR,Transcriptional activator protein LasR
gamR,gamR,gamR,HTH-type transcriptional repressor GamR
tam,tam_1,tam_1,Trans-aconitate 2-methyltransferase
mhpC,mhpC,mhpC,2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase
fliP,fliP,fliP,Flagellar biosynthetic protein FliP
luxR,luxR,luxR,Transcriptional activator protein LuxR
yehW,yehW,yehW,Glycine betaine uptake system permease protein YehW
truA,truA,truA,tRNA pseudouridine synthase A
lepB,lepB,lepB,Signal peptidase I
deoC,deoC_2,deoC_2,Deoxyribose-phosphate aldolase
ubiG,ubiG,ubiG,Ubiquinone biosynthesis O-methyltransferase
yfcA,yfcA_2,yfcA_2,putative membrane transporter protein YfcA
hisA,hisA,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
etfB,etfB,etfB,Electron transfer flavoprotein subunit beta
crt,crt_1,crt_1,Short-chain-enoyl-CoA hydratase
cah,cah_1,cah_1,Carbonic anhydrase
map,map_1,map_1,Methionine aminopeptidase
deoR,deoR_1,deoR_1,Deoxyribose operon repressor
cysZ,cysZ,cysZ,Sulfate transporter CysZ
kdsB,kdsB,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase
cpnA,cpnA_1,cpnA_1,Cyclopentanol dehydrogenase
cof,cof,cof,HMP-PP phosphatase
lptB,lptB_1,lptB_1,Lipopolysaccharide export system ATP-binding protein LptB
tlyA,tlyA,tlyA,16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
linC,linC,linC,25-dichloro-25-cyclohexadiene-14-diol dehydrogenase
sufC,sufC,sufC,putative ATP-dependent transporter SufC
osmY,osmY,osmY,Osmoprotectant import permease protein OsmY
arsH,arsH,arsH,NADPH-dependent FMN reductase ArsH
cobM,cobM,cobM,Precorrin-4 C(11)-methyltransferase
bepA,bepA_2,bepA_2,Beta-barrel assembly-enhancing protease
kdgR,kdgR_2,kdgR_2,Pectin degradation repressor protein KdgR
yadH,yadH,yadH,Inner membrane transport permease YadH
bacC,bacC_6,bacC_6,Dihydroanticapsin 7-dehydrogenase
cobJ,cobJ,cobJ,Precorrin-3B C(17)-methyltransferase
glpR,glpR,glpR,Glycerol-3-phosphate regulon repressor
moeZ,moeZ,moeZ,putative adenylyltransferase/sulfurtransferase MoeZ
kduD,kduD_1,kduD_1,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
birA,birA,birA,Bifunctional ligase/repressor BirA
rpsB,rpsB,rpsB,30S ribosomal protein S2
eryH,eryH,eryH,L-erythrulose-1-phosphate isomerase
occP,occP_1,occP_1,Octopine permease ATP-binding protein P
gdh,gdh_4,gdh_4,Galactitol 2-dehydrogenase
gloB,gloB_2,gloB_2,Hydroxyacylglutathione hydrolase GloB
ccmC,ccmC,ccmC,Heme exporter protein C
xylB,xylB_2,xylB_2,D-xylose 1-dehydrogenase
tpiA,tpiA,tpiA,Triosephosphate isomerase
surE,surE,surE,5'-nucleotidase SurE
pqqCD,pqqCD,pqqCD,Bifunctional coenzyme PQQ synthesis protein C/D
polS,polS,polS,Sorbitol dehydrogenase
cobI,cobI,cobI,Precorrin-2 C(20)-methyltransferase
tcyA,tcyA,tcyA,L-cystine-binding protein TcyA
echA8,echA8_4,echA8_4,putative enoyl-CoA hydratase echA8
NADK,NADK,NADK,NAD kinase
lvr,lvr,lvr,Levodione reductase
thiG,thiG_1,thiG_1,Thiazole synthase
xthA,xthA_1,xthA_1,Exodeoxyribonuclease III
ramA,ramA,ramA,(R)-stereoselective amidase
hisN,hisN,hisN,Histidinol-phosphatase
metQ,metQ,metQ,D-methionine-binding lipoprotein MetQ
ubiE,ubiE,ubiE,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
cysH,cysH,cysH,Thioredoxin-dependent 5'-adenylylsulfate reductase
phnK,phnK,phnK,Putative phosphonates utilization ATP-binding protein PhnK
bdhA,bdhA,bdhA,D-beta-hydroxybutyrate dehydrogenase
sdhB,sdhB,sdhB,Succinate dehydrogenase iron-sulfur subunit
fepC,fepC_1,fepC_1,Ferric enterobactin transport ATP-binding protein FepC
ucpA,ucpA_1,ucpA_1,Oxidoreductase UcpA
zupT,zupT,zupT,Zinc transporter ZupT
ydcV,ydcV_1,ydcV_1,Inner membrane ABC transporter permease protein YdcV
artJ,artJ_2,artJ_2,ABC transporter arginine-binding protein 1
caiD,caiD_2,caiD_2,Carnitinyl-CoA dehydratase
ant1,ant1,ant1,Streptomycin 3''-adenylyltransferase
rbsA,rbsA_13,rbsA_13,Ribose import ATP-binding protein RbsA
budC,budC,budC,L-23-butanediol dehydrogenase
udh,udh,udh,Uronate dehydrogenase
menH,menH_1,menH_1,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase
srlR,srlR,srlR,Glucitol operon repressor
phnV,phnV,phnV,Putative 2-aminoethylphosphonate transport system permease protein PhnV
paaC,paaC,paaC,12-phenylacetyl-CoA epoxidase subunit C
mtgA,mtgA_3,mtgA_3,Biosynthetic peptidoglycan transglycosylase
flgG,flgG,flgG,Flagellar basal-body rod protein FlgG
lipB,lipB,lipB,Octanoyltransferase
cobV,cobV,cobV,Adenosylcobinamide-GDP ribazoletransferase
modA,modA,modA,Molybdate-binding protein ModA
pdhR,pdhR,pdhR,Pyruvate dehydrogenase complex repressor
yfiH,yfiH,yfiH,Polyphenol oxidase
phyR,phyR_2,phyR_2,Phyllosphere-induced regulator PhyR
parA,parA,parA,Chromosome partitioning protein ParA
thyA,thyA,thyA,Thymidylate synthase
COQ3,COQ3_2,COQ3_2,Ubiquinone biosynthesis O-methyltransferase mitochondrial
pldht,pldht,pldh-t,Pyridoxal 4-dehydrogenase
fabG2,fabG2,fabG2,putative oxidoreductase
rpaR,rpaR_2,rpaR_2,HTH-type quorum sensing-dependent transcriptional regulator RpaR
cutM,cutM_2,cutM_2,Carbon monoxide dehydrogenase medium chain
punA,punA,punA,Purine nucleoside phosphorylase 1
potH,potH_1,potH_1,Putrescine transport system permease protein PotH
oppF,oppF_1,oppF_1,Oligopeptide transport ATP-binding protein OppF
suhB,suhB_4,suhB_4,Inositol-1-monophosphatase
cmpD,cmpD,cmpD,Bicarbonate transport ATP-binding protein CmpD
hpcH,hpcH,hpcH,4-hydroxy-2-oxo-heptane-17-dioate aldolase
pdeA,pdeA,pdeA,putative cyclic di-GMP phosphodiesterase PdeA
ssuC,ssuC_4,ssuC_4,Putative aliphatic sulfonates transport permease protein SsuC
ssuB,ssuB_2,ssuB_2,Aliphatic sulfonates import ATP-binding protein SsuB
fabI,fabI_3,fabI_3,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
uppP,uppP,uppP,Undecaprenyl-diphosphatase
artI,artI_1,artI_1,Putative ABC transporter arginine-binding protein 2
catD,catD,catD,3-oxoadipate enol-lactonase 2
aptA,aptA,aptA,Apulose-4-phosphate transketolase subunit A
argT,argT,argT,Lysine/arginine/ornithine-binding periplasmic protein
exoK,exoK,exoK,Endo-13-14-beta-glycanase ExoK
mshD,mshD,mshD,Mycothiol acetyltransferase
frlD,frlD_2,frlD_2,Fructoselysine 6-kinase
fpr,fpr,fpr,Flavodoxin/ferredoxin--NADP reductase
lpxA,lpxA,lpxA,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
tauB,tauB,tauB,Taurine import ATP-binding protein TauB
nimR,nimR,nimR,HTH-type transcriptional regulator NimR
murI,murI,murI,Glutamate racemase
hyi,hyi_1,hyi_1,Hydroxypyruvate isomerase
minD,minD,minD,Septum site-determining protein MinD
trpC,trpC,trpC,Indole-3-glycerol phosphate synthase
gsiD,gsiD_8,gsiD_8,Glutathione transport system permease protein GsiD
scpA,scpA,scpA,Segregation and condensation protein A
nirQ,nirQ,nirQ,Denitrification regulatory protein NirQ
lacG,lacG_1,lacG_1,Lactose transport system permease protein LacG
neo,neo,neo,Aminoglycoside 3'-phosphotransferase
yqfL,yqfL,yqfL,Putative pyruvate phosphate dikinase regulatory protein
panB,panB_2,panB_2,3-methyl-2-oxobutanoate hydroxymethyltransferase
proC,proC_2,proC_2,Pyrroline-5-carboxylate reductase
ymdB,ymdB,ymdB,2'3'-cyclic-nucleotide 2'-phosphodiesterase
egtC,egtC,egtC,Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
rsmA,rsmA,rsmA,Ribosomal RNA small subunit methyltransferase A
rcsC,rcsC_7,rcsC_7,Sensor histidine kinase RcsC
apnO,apnO,apnO,D-apionate oxidoisomerase
opuAA,opuAA_2,opuAA_2,Glycine betaine transport ATP-binding protein OpuAA
fliY,fliY_4,fliY_4,L-cystine-binding protein FliY
gsiA,gsiA_13,gsiA_13,Glutathione import ATP-binding protein GsiA
dkgB,dkgB,dkgB,25-diketo-D-gluconic acid reductase B
znuB,znuB,znuB,High-affinity zinc uptake system membrane protein ZnuB
yedK,yedK,yedK,SOS response-associated protein YedK
trmJ,trmJ,trmJ,tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
actIII,actIII,actIII,Putative ketoacyl reductase
sugB,sugB_2,sugB_2,Trehalose transport system permease protein SugB
rbn,rbn,rbn,Ribonuclease BN
oppD,oppD_8,oppD_8,Oligopeptide transport ATP-binding protein OppD
lpxH,lpxH,lpxH,UDP-23-diacylglucosamine hydrolase
rplB,rplB,rplB,50S ribosomal protein L2
mazG,mazG,mazG,Nucleoside triphosphate pyrophosphohydrolase
trpA,trpA,trpA,Tryptophan synthase alpha chain
lgt,lgt,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
lsrF,lsrF,lsrF,3-hydroxy-5-phosphonooxypentane-24-dione thiolase
peb1A,peb1A,peb1A,Major cell-binding factor
yofA,yofA,yofA,HTH-type transcriptional regulator YofA
ddpC,ddpC_5,ddpC_5,putative DD-dipeptide transport system permease protein DdpC
araQ,araQ_4,araQ_4,L-arabinose transport system permease protein AraQ
kduI,kduI,kduI,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
ygfZ,ygfZ,ygfZ,tRNA-modifying protein YgfZ
aqdA1,aqdA1,aqdA1,putative N-octanoylanthranilate hydrolase AqdA1
dat,dat_1,dat_1,D-alanine aminotransferase
kipR,kipR,kipR,HTH-type transcriptional regulator KipR
potB,potB_4,potB_4,Spermidine/putrescine transport system permease protein PotB
cbf2,cbf2,cbf2,Putative peptidyl-prolyl cis-trans isomerase Cbf2
pheA,pheA,pheA,Bifunctional chorismate mutase/prephenate dehydratase
dppD,dppD_2,dppD_2,Dipeptide transport ATP-binding protein DppD
ousW,ousW_2,ousW_2,Glycine betaine/choline transport system permease protein OusW
mntB,mntB_2,mntB_2,Manganese transport system membrane protein MntB
dapD,dapD,dapD,2345-tetrahydropyridine-26-dicarboxylate N-succinyltransferase
rhaS,rhaS_6,rhaS_6,HTH-type transcriptional activator RhaS
gltR,gltR,gltR,HTH-type transcriptional regulator GltR
ydaD,ydaD,ydaD,General stress protein 39
sigJ,sigJ,sigJ,ECF RNA polymerase sigma factor SigJ
ycjP,ycjP_1,ycjP_1,Inner membrane ABC transporter permease protein YcjP
aroE,aroE_3,aroE_3,Shikimate dehydrogenase (NADP(+))
aviRb,aviRb,aviRb,23S rRNA (uridine(2479)-2'-O)-methyltransferase
ycjO,ycjO_7,ycjO_7,Inner membrane ABC transporter permease protein YcjO
ydjP,ydjP,ydjP,AB hydrolase superfamily protein YdjP
bamD,bamD,bamD,Outer membrane protein assembly factor BamD
cysW,cysW_1,cysW_1,Sulfate transport system permease protein CysW
cysT,cysT,cysT,Sulfate transport system permease protein CysT
ribX,ribX,ribX,Riboflavin transport system permease protein RibX
folP,folP,folP,Dihydropteroate synthase
cmpR,cmpR_2,cmpR_2,HTH-type transcriptional activator CmpR
prkA,prkA,prkA,Phosphoribulokinase 1
mmgB,mmgB,mmgB,putative 3-hydroxybutyryl-CoA dehydrogenase
dhaA,dhaA,dhaA,Haloalkane dehalogenase
ada,ada,ada,Bifunctional transcriptional activator/DNA repair enzyme Ada
atpG,atpG,atpG,ATP synthase gamma chain
yeeZ,yeeZ,yeeZ,Protein YeeZ
panC,panC,panC,Pantothenate synthetase
lgoR,lgoR,lgoR,putative HTH-type transcriptional regulator LgoR
motA,motA,motA,Motility protein A
ribN,ribN_5,ribN_5,Riboflavin transporter
ttcA,ttcA,ttcA,tRNA-cytidine(32) 2-sulfurtransferase
virB9,virB9_1,virB9_1,Protein virB9
ugpA,ugpA,ugpA,sn-glycerol-3-phosphate transport system permease protein UgpA
gspK,gspK,gspK,Glucosamine kinase GspK
araB,araB_1,araB_1,L-arabinolactonase
ctaC,ctaC_2,ctaC_2,Cytochrome c oxidase subunit 2
ku,ku_5,ku_5,Non-homologous end joining protein Ku
ampR,ampR,ampR,HTH-type transcriptional activator AmpR
melR,melR_2,melR_2,Melibiose operon regulatory protein
yjhB,yjhB,yjhB,Putative metabolite transport protein YjhB
dasB,dasB,dasB,Diacetylchitobiose uptake system permease protein DasB
lacF,lacF_7,lacF_7,Lactose transport system permease protein LacF
gtaB,gtaB_2,gtaB_2,UTP--glucose-1-phosphate uridylyltransferase
ycf3,ycf3,ycf3,Photosystem I assembly protein Ycf3
argB,argB,argB,Acetylglutamate kinase
qorB,qorB,qorB,Quinone oxidoreductase 2
carD,carD,carD,Caffeyl-CoA reductase-Etf complex subunit CarD
hexR,hexR_2,hexR_2,HTH-type transcriptional regulator HexR
yddG,yddG,yddG,Aromatic amino acid exporter YddG
parB,parB,parB,Chromosome-partitioning protein ParB
catE,catE,catE,Catechol-23-dioxygenase
osmX,osmX,osmX,Osmoprotectant-binding protein OsmX
hcaR,hcaR_1,hcaR_1,Hca operon transcriptional activator HcaR
hldD,hldD_3,hldD_3,ADP-L-glycero-D-manno-heptose-6-epimerase
linX,linX,linX,25-dichloro-25-cyclohexadiene-14-diol dehydrogenase LinX
folD,folD_1,folD_1,Bifunctional protein FolD protein
phnJ,phnJ,phnJ,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
murQ,murQ,murQ,N-acetylmuramic acid 6-phosphate etherase
cysL,cysL,cysL,HTH-type transcriptional regulator CysL
pld1,pld1_2,pld1_2,Pyridoxal 4-dehydrogenase
sucD,sucD,sucD,Succinate--CoA ligase [ADP-forming] subunit alpha
iolE,iolE_2,iolE_2,Inosose dehydratase
kce,kce_2,kce_2,3-keto-5-aminohexanoate cleavage enzyme
cbl,cbl,cbl,HTH-type transcriptional regulator cbl
rpoH,rpoH_2,rpoH_2,RNA polymerase sigma factor RpoH
mcl2,mcl2,mcl2,(3S)-malyl-CoA thioesterase
dapF,dapF,dapF,Diaminopimelate epimerase
trxB,trxB_2,trxB_2,Thioredoxin reductase
rhaR,rhaR_3,rhaR_3,HTH-type transcriptional activator RhaR
phnD2,phnD2,phnD2,putative ABC transporter phosphonate/phosphite binding protein PhnD2
dppC,dppC_4,dppC_4,Dipeptide transport system permease protein DppC
rmlA,rmlA,rmlA,Glucose-1-phosphate thymidylyltransferase
nagK,nagK,nagK,N-acetyl-D-glucosamine kinase
argF,argF,argF,Ornithine carbamoyltransferase anabolic
gnl,gnl,gnl,Gluconolactonase
pqqB,pqqB,pqqB,Coenzyme PQQ synthesis protein B
accD,accD,accD,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
pcpR,pcpR,pcpR,PCP degradation transcriptional activation protein
phzF,phzF_2,phzF_2,Trans-23-dihydro-3-hydroxyanthranilate isomerase
paaX,paaX,paaX,Transcriptional repressor PaaX
yehZ,yehZ,yehZ,Glycine betaine-binding protein YehZ
fieF,fieF,fieF,Ferrous-iron efflux pump FieF
mutM,mutM,mutM,Formamidopyrimidine-DNA glycosylase
rbsK,rbsK,rbsK,Ribokinase
dgoK1,dgoK1_2,dgoK1_2,putative 2-dehydro-3-deoxygalactonokinase DgoK1
rfuD,rfuD_1,rfuD_1,putative riboflavin import permease protein RfuD
gltC,gltC,gltC,HTH-type transcriptional regulator GltC
ltnD,ltnD,ltnD,L-threonate dehydrogenase
tsf,tsf,tsf,Elongation factor Ts
yahB,yahB,yahB,putative HTH-type transcriptional regulator YahB
dppB,dppB_2,dppB_2,Dipeptide transport system permease protein DppB
oppB,oppB,oppB,Oligopeptide transport system permease protein OppB
tyrC,tyrC,tyrC,Cyclohexadienyl dehydrogenase
scrK,scrK_2,scrK_2,Fructokinase
araA,araA,araA,L-arabinose 1-dehydrogenase (NAD(P)(+))
yadG,yadG,yadG,putative ABC transporter ATP-binding protein YadG
nodD2,nodD2_1,nodD2_1,Nodulation protein D 2
etfA,etfA,etfA,Electron transfer flavoprotein subunit alpha
hemC,hemC,hemC,Porphobilinogen deaminase
eryC,eryC,eryC,D-erythrulose 1-phosphate 3-epimerase
thpA,thpA,thpA,D-threitol-binding protein
syrM1,syrM1_2,syrM1_2,HTH-type transcriptional regulator SyrM 1
kdgK,kdgK,kdgK,2-dehydro-3-deoxygluconokinase
truB,truB,truB,tRNA pseudouridine synthase B
era,era,era,GTPase Era
hflC,hflC,hflC,Modulator of FtsH protease HflC
mhqO,mhqO_1,mhqO_1,Putative ring-cleaving dioxygenase MhqO
ydjH,ydjH_1,ydjH_1,putative sugar kinase YdjH
aes,aes_1,aes_1,Acetyl esterase
yehX,yehX,yehX,Glycine betaine uptake system ATP-binding protein YehX
xerD,xerD_3,xerD_3,Tyrosine recombinase XerD
rarD,rarD,rarD,Protein RarD
pyrB,pyrB,pyrB,Aspartate carbamoyltransferase
metF,metF,metF,510-methylenetetrahydrofolate reductase
yjiE,yjiE,yjiE,HTH-type transcriptional regulator YjiE
coxM,coxM,coxM,Alternative cytochrome c oxidase subunit 2
rihA,rihA_4,rihA_4,Pyrimidine-specific ribonucleoside hydrolase RihA
fdhC,fdhC,fdhC,Fructose dehydrogenase cytochrome subunit
fabD,fabD,fabD,Malonyl CoA-acyl carrier protein transacylase
yijE,yijE,yijE,putative cystine transporter YijE
hmuT,hmuT,hmuT,Hemin-binding periplasmic protein HmuT
ybhN,ybhN_2,ybhN_2,Inner membrane protein YbhN
glsA,glsA,glsA,Thermolabile glutaminase
yfiY,yfiY,yfiY,putative siderophore-binding lipoprotein YfiY
yajO,yajO_4,yajO_4,1-deoxyxylulose-5-phosphate synthase YajO
ctaB,ctaB,ctaB,Protoheme IX farnesyltransferase
paoB,paoB_2,paoB_2,Aldehyde oxidoreductase FAD-binding subunit PaoB
gbpR,gbpR_2,gbpR_2,HTH-type transcriptional regulator GbpR
eryD,eryD_4,eryD_4,Erythritol catabolism regulatory protein EryD
accA,accA,accA,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
rihB,rihB,rihB,Pyrimidine-specific ribonucleoside hydrolase RihB
cobD,cobD,cobD,Cobalamin biosynthesis protein CobD
pta,pta_1,pta_1,Phosphate acetyltransferase
malT,malT_2,malT_2,HTH-type transcriptional regulator MalT
htpX,htpX,htpX,Protease HtpX
ghrA,ghrA_2,ghrA_2,Glyoxylate/hydroxypyruvate reductase A
alsB,alsB,alsB,D-allose-binding periplasmic protein
ubiA,ubiA,ubiA,4-hydroxybenzoate octaprenyltransferase
acsE,acsE,acsE,5-methyltetrahydrofolate:corrinoid/iron-sulfur protein co-methyltransferase
mdh,mdh_2,mdh_2,Malate dehydrogenase
rsmI,rsmI,rsmI,Ribosomal RNA small subunit methyltransferase I
glyQ,glyQ,glyQ,Glycine--tRNA ligase alpha subunit
pip,pip,pip,Proline iminopeptidase
ytfQ,ytfQ,ytfQ,ABC transporter periplasmic-binding protein YtfQ
pdxA2,pdxA2_2,pdxA2_2,D-threonate 4-phosphate dehydrogenase
aptB,aptB,aptB,Apulose-4-phosphate transketolase subunit B
cysK1,cysK1,cysK1,O-acetylserine sulfhydrylase
yjfF,yjfF,yjfF,Inner membrane ABC transporter permease protein YjfF
purR,purR_3,purR_3,HTH-type transcriptional repressor PurR
fabH,fabH,fabH,3-oxoacyl-[acyl-carrier-protein] synthase 3
lipA,lipA,lipA,Lipoyl synthase
cdhR,cdhR_3,cdhR_3,HTH-type transcriptional regulator CdhR
czcD,czcD,czcD,Cadmium cobalt and zinc/H(+)-K(+) antiporter
fgd1,fgd1,fgd1,F420-dependent glucose-6-phosphate dehydrogenase 1
murB,murB,murB,UDP-N-acetylenolpyruvoylglucosamine reductase
arcC2,arcC2,arcC2,Carbamate kinase 2
siaP,siaP_2,siaP_2,Sialic acid-binding periplasmic protein SiaP
acoB,acoB,acoB,Acetoin:26-dichlorophenolindophenol oxidoreductase subunit beta
corA,corA_2,corA_2,Magnesium transport protein CorA
yhbU,yhbU,yhbU,putative protease YhbU
thrB,thrB,thrB,Homoserine kinase
denD,denD_2,denD_2,D-erythronate dehydrogenase
ycjG,ycjG,ycjG,L-Ala-D/L-Glu epimerase
iolG,iolG_9,iolG_9,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
galE,galE_4,galE_4,UDP-glucose 4-epimerase
nuoH,nuoH_1,nuoH_1,NADH-quinone oxidoreductase subunit H
rclR,rclR_1,rclR_1,RCS-specific HTH-type transcriptional activator RclR
yqjG,yqjG,yqjG,Glutathionyl-hydroquinone reductase YqjG
tmpC,tmpC,tmpC,Membrane lipoprotein TmpC
hslO,hslO,hslO,33 kDa chaperonin
rluC,rluC,rluC,Ribosomal large subunit pseudouridine synthase C
lsrB,lsrB_2,lsrB_2,Autoinducer 2-binding protein LsrB
dhaK2,dhaK2,dhaK-2,PTS-dependent dihydroxyacetone kinase 2 dihydroxyacetone-binding subunit DhaK
gutB,gutB_2,gutB_2,Sorbitol dehydrogenase
idhA,idhA,idhA,Inositol 2-dehydrogenase
cobS,cobS,cobS,Aerobic cobaltochelatase subunit CobS
yhdN,yhdN_2,yhdN_2,Aldo-keto reductase YhdN
comC,comC,comC,(2R)-3-sulfolactate dehydrogenase (NADP(+))
ipsA,ipsA,ipsA,HTH-type transcriptional regulator IpsA
qmcA,qmcA,qmcA,Protein QmcA
surA,surA,surA,Chaperone SurA
yhfQ,yhfQ,yhfQ,Putative ABC transporter substrate-binding lipoprotein YhfQ
lsrD,lsrD,lsrD,Autoinducer 2 import system permease protein LsrD
malK,malK_12,malK_12,Maltose/maltodextrin import ATP-binding protein MalK
afr,afr_2,afr_2,15-anhydro-D-fructose reductase
cydB,cydB,cydB,Cytochrome bd-I ubiquinol oxidase subunit 2
araH,araH_2,araH_2,L-arabinose transport system permease protein AraH
yjmC,yjmC_2,yjmC_2,putative oxidoreductase YjmC
arcB,arcB,arcB,Ornithine carbamoyltransferase catabolic
lsrR,lsrR,lsrR,Transcriptional regulator LsrR
tdcB,tdcB,tdcB,L-threonine dehydratase catabolic TdcB
ccpA,ccpA_3,ccpA_3,Catabolite control protein A
hpr,hpr,hpr,Hydroxypyruvate reductase
