gradient,population,site,exp_id,genome_id,genome_name,exp_plant,exp_nitrogen,exp_plantsite,exp_plantmaternal,exp_waterblock,exp_labgroup,exp_labsection,shoot_biomass_mg,nodule_number,root_biomass_mg,primary_root_nodule_number,lateral_root_nodule_number,nodule_shape,nodule_size,nodule_color,shoot_height,longest_petiole_length,leaf_number,leaf_color,primary_root_length,lateral_root_number,longest_lateral_root_length
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M4,1,NA,NA,1.2,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M5,1,NA,NA,6.6,0,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M3,1,NA,NA,3.4,0,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M4,1,NA,NA,7.5,0,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M1,1,NA,NA,5.2,0,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M1,1,NA,NA,5,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M6,2,NA,NA,5.3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M6,2,NA,NA,6.2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M3,2,NA,NA,7.4,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M4,2,NA,NA,4.7,1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M4,2,NA,NA,9.7,18,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M5,2,NA,NA,2.2,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
