gradient,population,site,exp_id,genome_id,genome_name,exp_plant,exp_nitrogen,exp_plantsite,exp_plantmaternal,exp_waterblock,exp_labgroup,exp_labsection,shoot_biomass_mg,nodule_number,root_biomass_mg,primary_root_nodule_number,lateral_root_nodule_number,nodule_shape,nodule_size,nodule_color,shoot_height,longest_petiole_length,leaf_number,leaf_color,primary_root_length,lateral_root_number,longest_lateral_root_length
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M7,3,NA,NA,5.5,0,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M6,3,NA,NA,4.4,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M3,3,NA,NA,13.8,0,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M3,3,NA,NA,6.7,0,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H2,H2M3R1,g2,Chang_Q5C_2,lupulina,N-,S,S5M4,3,NA,NA,4.4,0,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H4M1,4,NA,NA,12.5,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H2M3,4,NA,NA,6.3,11,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H2M1,4,NA,NA,3.8,7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H4M1,4,NA,NA,5.6,6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H2M1,4,NA,NA,1.8,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H4M3,4,NA,NA,11.1,13,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H4M1,5,NA,NA,4.4,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H2M2,5,NA,NA,9.5,7,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H2M1,5,NA,NA,7.9,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H4M3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H2M1,5,NA,NA,8.4,14,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,H,H2M1,5,NA,NA,3.5,5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L3M2,7,NA,NA,15.8,14,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L1M3,7,NA,NA,16.4,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L1M1,7,NA,NA,8.1,4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L3M2,7,NA,NA,17.1,28,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L1M1,7,NA,NA,13.6,13,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L1M3,7,NA,NA,7.9,6,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L1M1,8,NA,NA,5,5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L1M3,8,NA,NA,7.4,6,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L3M2,8,NA,NA,14.2,19,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L3M1,8,NA,NA,20.3,7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L3M2,8,NA,NA,15.8,24,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,L,L1M3,8,NA,NA,5.1,6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M3,10,NA,NA,23.8,19,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M6,10,NA,NA,7.8,9,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M5,10,NA,NA,12.5,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M6,10,NA,NA,15.5,18,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M5,10,NA,NA,8.9,3,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M4,11,NA,NA,14.9,17,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M4,11,NA,NA,12.7,15,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M3,11,NA,NA,6.7,8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M3,11,NA,NA,4.5,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M1,11,NA,NA,8,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M4,12,NA,NA,21.1,18,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M4,12,NA,NA,13.5,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M1,12,NA,NA,13.1,16,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M3,12,NA,NA,14.2,7,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H3,H3M1R1,g4,Chang_Q5C_4,lupulina,N-,S,S5M4,12,NA,NA,9.8,3,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M4,13,NA,NA,15.1,8,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M3,13,NA,NA,9.8,9,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M3,13,NA,NA,32.4,25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M6,13,NA,NA,7.1,16,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M5,13,NA,NA,17.6,13,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M6,14,NA,NA,2.3,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M1,14,NA,NA,5.6,9,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M3,14,NA,NA,6.2,2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M7,14,NA,NA,9.9,7,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M4,14,NA,NA,2.7,5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M4,14,NA,NA,11.6,14,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M1,15,NA,NA,2.5,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M4,15,NA,NA,8.6,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M6,15,NA,NA,7.4,10,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M5,15,NA,NA,18.9,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,high elevation,H4,H4M5R1,g8,Chang_Q5C_8,lupulina,N-,S,S5M3,15,NA,NA,17,9,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H4M3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H4M1,16,NA,NA,6.6,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H2M1,16,NA,NA,5.7,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H4M1,16,NA,NA,10,3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H2M2,16,NA,NA,5.6,13,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H4M3,16,NA,NA,1.3,2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H2M3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H4M1,17,NA,NA,10.9,5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H2M1,17,NA,NA,14.4,18,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H2M1,17,NA,NA,6.1,4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H2M1,17,NA,NA,7.1,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,H,H2M1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L1M3,19,NA,NA,11.1,12,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L1M1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L1M1,19,NA,NA,2.1,2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L1M3,19,NA,NA,7.2,10,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L1M1,19,NA,NA,6.2,6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L3M2,19,NA,NA,25.2,39,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L3M2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L1M3,20,NA,NA,6.1,13,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L3M1,20,NA,NA,11.4,11,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L3M2,20,NA,NA,11.9,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L3M2,20,NA,NA,6.1,9,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,L,L1M3,20,NA,NA,5.7,14,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M7,22,NA,NA,15.2,17,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M4,22,NA,NA,32.2,53,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M6,22,NA,NA,17.7,23,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M4,22,NA,NA,9.6,18,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M3,22,NA,NA,18.2,13,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M3,22,NA,NA,11.5,8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M6,23,NA,NA,9.2,21,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M6,23,NA,NA,13.7,14,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M4,23,NA,NA,12,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M4,23,NA,NA,16.3,25,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M1,23,NA,NA,7.6,9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M3,23,NA,NA,16.6,9,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M1,24,NA,NA,8.6,7,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M5,24,NA,NA,4.8,6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M5,24,NA,NA,4.1,2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L2,L2M2R1,g10,Chang_Q5C_10,lupulina,N-,S,S5M3,24,NA,NA,4.5,4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M7,25,NA,NA,5.7,14,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M6,25,NA,NA,4,8,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M1,25,NA,NA,9.2,24,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M4,25,NA,NA,3.7,5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M5,25,NA,NA,13.5,26,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M5,25,NA,NA,6.6,9,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M3,26,NA,NA,13.2,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M4,26,NA,NA,9.9,11,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M4,26,NA,NA,5.3,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M3,26,NA,NA,17.4,20,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M4,26,NA,NA,12.4,51,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M6,26,NA,NA,26.7,19,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M6,27,NA,NA,5,4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M3,27,NA,NA,10.3,15,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M1,27,NA,NA,12.8,16,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M4,27,NA,NA,25.7,30,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elevation,low elevation,L3,L3M5R1,g13,Chang_Q5C_13,lupulina,N-,S,S5M3,27,NA,NA,11,10,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
