gene,sequence_length
group_3298,225
group_33,2523
group_3318,222
group_332,1281
group_3320,222
group_333,1281
group_3331,219
group_3333,219
group_3334,219
group_335,1278
group_3354,216
group_3356,216
group_3358,216
group_3371,213
group_3373,213
group_3374,213
group_3375,213
group_3376,213
group_3377,213
group_338,1275
group_339,1275
group_3393,210
group_3394,210
group_3398,210
group_340,1272
group_341,1272
group_3416,207
group_3417,207
group_3418,207
group_3419,207
group_3421,207
group_3423,207
group_3438,204
group_3439,204
group_344,1269
group_3440,204
group_3441,204
group_345,1269
group_3460,201
group_3461,201
group_3462,201
group_3478,198
group_3479,198
group_3480,198
group_3481,198
group_3483,198
group_349,1266
group_3495,195
group_3498,195
group_350,1266
group_3500,195
group_3513,192
group_3515,192
group_3516,192
group_352,1263
group_353,1263
group_3533,189
group_3538,189
group_3539,189
group_354,1263
group_3541,189
group_3542,189
group_3555,186
group_3556,186
group_3557,186
group_3558,186
group_3559,186
group_3560,186
group_3577,183
group_3579,183
group_3580,183
group_3581,183
group_3590,180
group_3591,180
group_3593,180
group_3606,177
group_3607,177
group_3608,177
group_3609,177
group_3629,174
group_3630,174
group_3631,174
group_3632,174
group_3633,174
group_3634,174
group_3643,171
group_3644,171
group_3645,171
group_366,1248
group_3662,168
group_3664,168
group_3675,165
group_3676,165
group_3677,165
group_3678,165
group_3679,165
group_3683,162
group_3684,162
group_3687,162
group_3688,162
group_3689,162
group_369,1245
group_3698,159
group_3699,159
group_370,1245
group_3707,156
group_3709,156
group_3710,156
group_3724,153
group_3725,153
group_373,1242
group_3736,150
group_3738,150
group_3745,147
group_3752,144
group_3753,144
group_376,1239
group_3764,141
group_3765,141
group_3766,141
group_3767,141
group_377,1239
group_3775,138
group_378,1239
group_379,1239
group_3791,132
group_380,1239
group_3807,126
group_3817,123
group_3818,123
group_3819,123
group_382,1236
group_3821,123
group_383,1233
group_3837,117
group_385,1233
group_3853,111
group_386,1233
group_3860,108
group_3869,105
group_3878,102
group_3898,96
group_39,2367
group_390,1230
group_3906,93
group_3907,93
group_391,1230
group_394,1224
group_395,1224
group_398,1221
group_3980,1197
group_399,1218
group_3996,408
group_4,3792
group_40,2361
group_400,1218
group_4004,408
group_4006,408
group_4009,408
group_401,1218
group_4011,1926
group_4016,876
group_402,1218
group_4025,1038
group_403,1218
group_4049,1164
group_4051,1164
group_4056,1164
group_407,1215
group_408,1215
group_4090,297
group_4092,1647
group_4102,930
group_4103,750
group_413,1212
group_4159,153
group_4160,1902
group_4165,324
group_4166,726
group_4168,435
group_419,1206
group_420,1206
group_423,1203
group_424,1203
group_430,1200
group_4305,369
group_4308,1425
group_4309,546
group_431,1200
group_4311,348
group_4313,399
group_4314,2160
group_4315,594
group_4316,543
group_4318,714
group_4319,444
group_4321,2070
group_4322,216
group_4323,820
group_4324,1215
group_4326,1473
group_4327,415
group_4329,288
group_4330,843
group_4331,372
group_4332,222
group_4334,1233
group_4335,859
group_4336,687
group_4337,429
group_4338,339
group_434,1197
group_4342,880
group_4343,234
group_4345,538
group_4346,1936
group_4348,708
group_4349,1294
group_4351,753
group_4352,646
group_4353,1170
group_4354,471
group_4355,1036
group_4356,696
group_4359,1449
group_436,1197
group_4360,309
group_4361,528
group_4362,645
group_4363,3259
group_4364,1227
group_4365,708
group_4367,666
group_4372,760
group_4373,1368
group_4374,549
group_4376,1038
group_4378,577
group_4379,700
group_4381,719
group_4382,396
group_4383,426
group_4384,702
group_4385,1225
group_4386,969
group_4387,2325
group_4388,246
group_4389,486
group_439,1194
group_4393,1431
group_4395,480
group_4397,687
group_4398,670
group_4399,396
group_44,2322
group_440,1194
group_4401,892
group_4404,381
group_4405,319
group_4406,171
group_4407,909
group_4409,606
group_4411,975
group_4413,279
group_4414,935
group_4415,747
group_4417,753
group_4419,496
group_4420,453
group_4421,987
group_4426,640
group_4429,559
group_4430,1488
group_4431,804
group_4432,1570
group_4434,964
group_4435,1038
group_4436,825
group_4439,730
group_4440,981
group_4441,1326
group_4443,961
group_4446,540
group_4447,1352
group_4448,615
group_4449,1099
group_445,1188
group_4450,847
group_4451,1161
group_4452,588
group_4453,441
group_4456,582
group_4457,1422
group_4459,150
group_446,1188
group_4460,891
group_4462,366
group_4463,228
group_4465,589
group_4466,933
group_447,1188
group_4470,1303
group_4471,1164
group_4472,745
group_4473,435
group_4474,573
group_4476,1149
group_4477,858
group_4478,789
group_448,1188
group_4480,987
group_4481,297
group_4482,603
group_4483,522
group_4485,465
group_4486,1464
group_4487,837
group_4490,675
group_4491,391
group_4493,1251
group_4494,1017
group_4496,906
group_4498,694
group_45,2319
group_450,1185
group_4501,1204
group_4502,1042
group_4504,528
group_4505,1140
group_4506,1410
group_4508,1671
group_4509,709
group_451,1185
group_4510,486
group_4511,570
group_4512,552
group_4513,480
group_4514,202
group_4515,891
group_4516,478
group_4517,562
group_4519,787
group_452,1185
group_4520,552
group_4521,1290
group_4523,1005
group_4524,807
group_4525,1842
group_4526,846
group_4527,1030
group_4528,1551
group_4530,879
group_4531,1009
group_4532,792
group_4533,1047
group_4534,210
group_4539,1003
group_4541,1111
group_4543,1564
group_4545,330
group_4546,892
group_4547,162
group_4549,1902
group_455,1179
group_4551,2121
group_4553,300
group_4554,102
group_4555,1312
group_4556,991
group_4557,491
group_4563,963
group_4567,144
group_4569,1722
group_4570,1027
group_4571,1422
group_4574,970
group_4576,1495
group_4577,770
group_4579,1023
group_4580,399
group_4581,783
group_4582,1305
group_4590,1323
group_4593,585
group_4594,670
group_4595,624
group_4596,213
group_4598,1133
group_4599,129
group_46,2310
group_460,1176
group_4603,2826
group_4607,1170
group_4608,606
group_461,1176
group_4610,1086
group_4611,240
group_4614,796
group_4615,351
group_4616,567
group_4617,510
group_4618,1054
group_4621,750
group_4623,213
group_4624,1062
group_4625,1083
group_4628,921
group_4629,417
group_4630,654
group_4631,528
group_4633,852
group_4636,1191
group_4638,1473
group_4639,750
group_4640,1306
group_4642,924
group_465,1173
group_4651,1957
group_4652,345
group_4654,1046
group_4655,960
group_4659,2082
group_466,1173
group_4660,994
group_4661,2838
group_4664,942
group_4665,780
group_4667,1134
group_4668,502
group_4669,123
group_4670,969
group_4671,735
group_4674,993
group_4677,1471
group_4678,865
group_4679,498
group_4680,592
group_4681,805
group_4682,183
group_4685,892
group_4686,649
group_4688,243
group_4692,567
group_4693,1134
group_4694,1113
group_4696,1272
group_4697,621
group_470,1170
group_4700,393
group_4701,2040
group_4702,693
group_4707,762
group_4709,411
group_4710,1596
group_4711,669
group_4712,856
group_4713,3621
group_4715,677
group_4716,946
group_4717,1068
group_472,1167
group_4720,1566
group_4721,1395
group_4722,966
group_4724,666
group_4727,327
group_4728,1788
group_473,1164
group_4730,876
group_4735,529
group_4737,327
group_4742,606
group_4744,627
group_4745,667
group_4746,1234
group_4747,789
group_475,1161
group_4750,1291
group_4755,1033
group_4757,852
group_4759,522
group_4761,787
group_4762,2077
group_4764,1105
group_4765,669
group_4769,1539
group_477,1158
group_4770,1774
group_4772,499
group_4773,192
group_4774,919
group_4778,1260
group_4779,1576
group_478,1158
group_4781,897
group_4783,1026
group_4784,814
group_4785,1197
group_4788,316
group_4793,430
group_4794,1416
group_4795,555
group_4796,1194
group_4800,309
group_4801,600
group_4802,416
group_4804,408
group_4815,405
group_4817,372
group_4818,502
group_4822,882
group_4823,1488
group_4825,123
group_4826,942
group_4828,1282
group_4832,474
group_4839,1081
group_4840,870
group_4841,363
group_4848,729
group_4850,1503
group_4851,1015
group_4852,1190
group_4853,724
group_4856,997
group_4857,1609
group_4859,903
group_4860,1006
group_4861,775
group_4862,343
group_4863,741
group_4864,489
group_4866,1662
group_4868,330
group_4869,631
group_487,1149
group_4870,510
group_4871,1257
group_4873,888
group_4874,423
group_4878,1005
group_4881,891
group_4882,1383
group_4885,454
group_4886,807
group_4890,420
group_4893,324
group_4894,2089
group_4898,351
group_4900,714
group_4901,454
group_4907,517
group_491,1146
group_4910,589
group_4911,474
group_4912,1227
group_4913,352
group_4914,907
group_4917,984
group_492,1146
group_4920,441
group_4921,255
group_4923,561
group_4924,330
group_4928,1125
group_4930,1344
group_4931,421
group_4932,793
group_4944,375
group_4948,618
group_4954,426
group_4958,1006
group_4959,750
group_496,1143
group_4960,1410
group_4966,132
group_4969,360
group_497,1143
group_4970,289
group_4971,141
group_4974,429
group_4976,582
group_4977,254
group_4981,438
group_4983,792
group_4984,1482
group_4985,1023
group_4986,672
group_499,1140
group_4990,427
group_4993,1761
group_4995,720
group_4998,424
group_5,3618
group_500,1140
group_5000,1329
group_5004,1863
group_5010,798
group_5012,1197
group_5013,981
group_5015,843
group_5018,405
group_5019,1735
group_502,1137
group_5021,249
group_5023,1854
group_5025,621
group_5027,156
group_503,1137
group_5030,477
group_5031,300
group_5032,1014
group_5034,1563
group_5035,297
group_5039,462
group_5041,187
group_5047,147
group_5049,826
group_5051,1260
group_5052,360
group_5057,252
group_506,1134
group_5060,894
group_5061,1108
group_5062,267
group_5067,807
group_507,1134
group_5074,330
group_5080,1689
group_5082,399
group_5089,412
group_5090,261
group_5093,147
group_5097,402
group_5099,378
group_51,2217
group_510,1131
group_5102,495
group_5105,744
group_5108,174
group_5109,342
group_511,1131
group_5113,1278
group_5117,649
group_5122,376
group_5124,1402
group_5129,237
group_513,1131
group_5157,598
group_516,1128
group_5163,210
group_5164,1209
group_5171,306
group_5174,477
group_5175,1257
group_5176,267
group_5178,897
group_5180,288
group_5183,1518
group_5185,1560
group_5187,609
group_519,1125
group_5192,596
group_5197,963
group_52,2211
group_5205,499
group_5209,96
group_522,1122
group_523,1119
group_524,1119
group_5244,1650
group_525,1119
group_5254,2142
group_5255,2121
group_5259,1230
group_5262,1842
group_5264,1794
group_5267,1760
group_5268,1791
group_5271,513
group_5278,1584
group_5288,591
group_5299,1297
group_530,1113
group_5302,1404
group_531,1113
group_5311,1071
group_5318,511
group_5319,916
group_532,1113
group_5324,990
group_5332,1005
group_5333,1049
group_5346,822
group_5347,360
group_535,1107
group_536,1107
group_5361,1254
group_5362,738
group_5366,651
group_5367,1206
group_5369,540
group_537,1107
group_5370,312
group_5379,486
group_538,1104
group_539,1104
group_5390,381
group_5392,414
group_5402,150
group_5411,802
group_5427,510
group_5429,576
group_543,1101
group_5430,336
group_545,1101
group_5452,396
group_5464,1236
group_5473,1227
group_5476,207
group_5477,204
group_5478,596
group_5480,909
group_5481,954
group_5484,1434
group_5485,213
group_5489,393
group_5490,339
group_5491,706
group_5494,1215
group_5496,1656
group_5498,417
group_5504,1044
group_5505,183
group_5509,1149
group_5511,450
group_5512,1270
group_5513,606
group_5514,331
group_5516,372
group_5519,855
group_5520,471
group_5526,648
group_5527,990
group_5529,540
group_5532,1113
group_5535,777
group_5536,2229
group_5538,648
group_554,1095
group_5540,438
group_5541,390
group_5542,597
group_5543,1251
group_555,1095
group_5551,1581
group_5552,810
group_5555,681
group_5559,2034
group_5560,738
group_5561,399
group_5563,1866
group_5564,1047
group_5565,1287
group_5567,1029
group_5569,150
group_557,1092
group_5570,321
group_5575,852
group_5579,1359
group_558,1092
group_5581,933
group_5587,270
group_5588,303
group_5590,1002
group_5595,915
group_5597,354
group_5598,189
group_5599,603
group_5600,192
group_5602,402
group_5603,1062
group_5608,171
group_5612,345
group_5614,492
group_5619,906
group_562,1089
group_5620,831
group_5622,531
group_5623,414
group_5624,1596
group_5625,1170
group_5626,597
group_5627,604
group_5629,1251
group_563,1089
group_5630,210
group_5634,1146
group_5636,525
group_5637,315
group_5639,471
group_564,1089
group_5640,459
group_5642,369
group_5645,1666
group_5647,636
group_5648,294
group_5649,279
group_565,1089
group_5652,732
group_5653,654
group_5654,303
group_5655,945
group_5659,1434
group_5663,1888
group_5666,552
group_5667,633
group_5671,978
group_5673,913
group_5675,1134
group_5679,222
group_568,1086
group_5681,1083
group_5685,212
group_5687,786
group_569,1086
group_5692,471
group_5700,168
group_5714,603
group_5721,420
group_5723,174
group_5725,1092
group_5729,884
group_573,1086
group_5733,274
group_5736,309
group_5737,303
group_5739,600
group_574,1083
group_5740,384
group_5741,216
group_5743,753
group_5744,189
group_5750,2109
group_5753,727
group_5754,381
group_5757,504
group_576,1083
group_5760,177
group_5762,123
group_5767,405
group_577,1083
group_5771,814
group_5772,468
group_5773,1230
group_5783,732
group_5784,249
group_579,1083
group_5804,420
group_5818,6270
group_5819,3631
group_5820,144
group_5822,906
group_5824,1191
group_5825,843
group_5828,222
group_5829,375
group_5832,1405
group_5833,1359
group_5835,1174
group_5838,1284
group_5839,525
group_584,1080
group_5841,1224
group_5842,267
group_5844,237
group_5849,375
group_585,1080
group_5853,657
group_5855,993
group_5856,1392
group_5857,1026
group_5858,1092
group_586,1080
group_5860,255
group_5862,1950
group_5864,762
group_587,1080
group_5876,552
group_5877,336
group_5878,1443
group_5879,330
group_5883,1158
group_5884,213
group_5885,276
group_5889,1120
group_5893,144
group_5894,339
group_5896,1575
group_5900,270
group_5901,456
group_5904,1191
group_5905,1162
group_5906,741
group_5908,297
group_591,1077
group_5911,387
group_5912,327
group_5915,451
group_5918,807
group_5920,1476
group_5925,390
group_5929,681
group_5931,198
group_5933,276
group_5934,216
group_5948,642
group_5949,1875
group_5950,1854
group_5951,192
group_5953,501
group_5964,759
group_5969,696
group_597,1074
group_5974,1011
group_5976,615
group_5977,1149
group_598,1074
group_5983,972
group_5984,291
group_5986,1032
group_599,1074
group_6007,393
group_6009,381
group_6016,192
group_6017,267
group_602,1071
group_603,1071
group_6031,225
group_6033,1221
group_6037,1569
group_6039,184
group_6055,633
group_6057,372
group_6059,813
group_606,1068
group_6062,504
group_6069,540
group_6072,724
group_6074,936
group_6082,715
group_6083,846
group_6084,288
group_609,1065
group_6095,198
group_610,1065
group_6108,288
group_611,1065
group_6110,732
group_6113,741
group_612,1065
group_6122,480
group_6131,939
group_6132,2202
group_614,1062
group_6144,607
group_6145,126
group_6148,447
group_6151,168
group_616,1059
group_6165,315
group_6166,657
group_617,1059
group_6171,388
group_620,1056
group_6200,927
group_6201,303
group_6209,246
group_621,1056
group_6212,213
group_622,1056
group_6227,1440
group_6234,966
group_6247,450
group_6260,726
group_6271,969
group_6284,183
group_6286,1002
group_6295,738
group_6307,411
group_6337,457
group_6343,612
group_6348,1434
group_636,1044
group_637,1044
group_638,1044
group_639,1044
group_640,1044
group_644,1041
group_645,1041
group_6452,3357
group_648,1038
group_649,1038
group_65,2070
group_651,1038
group_653,1035
group_654,1035
group_655,1035
group_656,1035
group_658,1032
group_662,1029
group_663,1029
group_664,1029
group_667,1026
group_669,1023
group_670,1023
group_672,1023
group_680,1017
group_681,1017
group_682,1017
group_688,1014
group_692,1011
group_693,1011
group_694,1011
group_695,1011
group_698,1008
group_702,1005
group_703,1005
group_706,1002
group_707,1002
group_708,1002
group_709,1002
group_712,999
group_713,999
group_714,996
group_715,996
group_716,996
group_721,993
group_722,993
group_723,993
group_724,993
group_725,993
group_728,990
group_73,2016
group_731,987
group_732,987
group_737,984
group_738,984
group_739,984
group_740,984
group_741,984
group_743,981
group_744,981
group_745,981
group_746,981
group_748,978
group_749,978
group_751,978
group_752,978
group_756,975
group_757,975
group_758,975
group_76,2004
group_766,969
group_767,969
group_769,969
group_77,1998
group_776,963
group_78,1998
group_780,960
group_781,960
group_782,960
group_784,960
group_787,957
group_789,957
group_79,1995
group_790,957
group_796,954
group_797,954
group_798,954
group_799,954
group_80,1989
group_803,951
group_807,948
group_808,948
group_809,948
group_810,948
group_813,945
group_814,945
group_815,945
group_818,942
group_819,942
group_820,942
group_821,942
group_822,942
group_827,939
group_828,939
group_829,936
group_831,936
group_834,933
group_835,930
group_836,930
group_840,927
group_841,927
group_842,927
group_843,927
group_845,924
group_846,924
group_848,924
group_85,1950
group_853,921
group_854,921
group_856,921
group_857,921
group_861,918
group_865,915
group_866,915
group_87,1941
group_870,915
group_875,909
group_876,909
group_881,906
group_882,906
group_883,906
group_884,906
group_887,906
group_890,903
group_891,903
group_892,903
group_893,903
group_897,900
group_898,900
group_899,900
group_904,897
group_91,1920
group_911,894
group_913,891
group_914,891
group_915,891
group_92,1917
group_922,888
group_923,888
group_924,888
group_925,888
group_927,888
group_93,1914
group_934,885
group_935,885
group_937,885
group_938,885
group_939,885
group_942,882
group_948,879
group_949,879
group_950,879
group_951,879
group_952,879
group_957,876
group_958,876
group_959,876
group_960,876
group_961,876
group_962,873
group_963,870
group_964,870
group_968,867
group_970,867
group_972,867
group_976,864
group_977,864
group_983,858
group_984,858
group_989,855
group_99,1896
group_990,855
group_995,852
group_996,852
grpE,627
grxC,285
grxD,336
gshAB,1788
gshB_2,948
gsiA_1,1893
gsiA_11~~~gsiA_4,1641
gsiA_12,1653
gsiA_13~~~gsiA_2~~~gsiA_8~~~gsiA_1~~~gsiA_5,1680
gsiA_3,1647
gsiA_5,1629
gsiA_6,1632
gsiA_9,1704
gsiC_1,948
gsiC_13,951
gsiC_15,936
gsiC_2,915
gsiC_3,969
gsiC_3~~~gsiC_12,936
gsiC_5,1110
gsiC_5~~~gsiC_10,945
gsiC_6,921
gsiC_7,927
gsiD_10~~~ddpC_4,828
gsiD_2,819
gsiD_3,897
gsiD_4,882
gsiD_6,918
gsiD_9,822
gst,627
gstB_1,606
gstB_2,622
gtaB_2,888
guaA,1563
guaB,1503
guaD_2,1344
gudX,1248
gutB,993
gyrA,2796
gyrB_1,2061
gyrB_2,2436
hadL,669
hbpA_4,1566
hcaB_1,903
hcaB_3,876
hcaB_4,849
hcaB_5,2100
hcaB_6~~~hcaB_2,1074
hcaC,339
hcaT,1224
hchA_1,693
hchA_2,840
hcrA_1,2367
hcr_1,1101
hcr_2,1065
hdfR_1~~~hdfR_7,1023
hdfR_2,846
hdfR_6,966
hdlIVa,663
hdlIVa_1~~~dehH2,705
hemA,1215
hemB,1014
hemC,930
hemE,1032
hemF,981
hemH,1020
hemS,1062
hemW,1182
hexR_2,891
hexR_3~~~hexR_1,864
hflK,1089
hflX,1398
hfq,243
higA1,309
higB1,297
hilA,1518
hipO_2,1170
hipO_3,1164
hipO_3~~~hipO_1,1170
hisB,609
hisC_3,1056
hisC_4,1107
hisC_4~~~hisC_1~~~hisC_3,1003
hisC_5~~~hisC_2,1257
hisD,1305
hisE,324
hisF,777
hisG,696
hisH,651
hisI,454
hisN,780
hisQ_1,804
hisQ_2,726
hisZ,1140
hldD_1,843
hldD_3,2631
hlyB~~~ltxB,1611
hlyU,345
hmgA,1362
hmo~~~lldD_2,1098
hmp_3~~~hmp_2,1512
hmrR_2,414
hmuU_1,1068
hmuU_1~~~hmuU_2,1119
hmuV,789
hndA,480
hom,1323
hpaC,528
hpcH,801
hpd,1114
hpf,573
hppA,2137
hprK,447
hpt,546
hpyO,1467
hrcA,1080
hrp1,441
hrpB,2592
hslO,993
hslR,645
hslU,1308
hslV,558
hspQ,330
hsrA_2,1413
hss,1536
htpG,1899
htpX,960
hupB,273
hutH_2,1500
hutH_2~~~hutH_1,1746
hutI,1248
hutU,1680
hxpA,675
hyi,816
hypBA1,1924
hyuA_1,726
hyuA_2,660
hyuC_1,1245
hyuC_2,1251
ibpA_1~~~ibpA_3,480
ibpA_2,432
ibpA_3,462
icd_1,1215
icl,1290
iclR,870
idhA,993
idnD_2~~~idnD_1,1059
ihfA,339
ihfB,312
ilvC,1020
ilvD,1839
ilvE_1,882
ilvE_2,1098
ilvG,1647
ilvH,573
ilvI,1779
infA,219
infB,2670
infC,432
iolB,801
iolC,1953
iolE_1,903
iolE_1~~~iolE_2,1054
iolG_1,1161
iolG_10,1185
iolG_11~~~iolG_4,1132
iolG_12,2034
iolG_14~~~iolG_16,1026
iolG_2,1098
iolG_5,987
iolG_6,1065
iolG_6~~~iolG_9,1101
iolG_7,1074
iolG_8,1077
iolS,987
iorA_1,459
iorA_2,465
iorB_1,2214
iorB_1~~~iorB_3,2244
ipsA,996
ipuC,1365
iscA,393
iscS,1168
isdG,315
ispB,1197
ispDF,1305
ispE,907
ispG,1254
ispH2~~~ispH,1054
kamA_1,1053
katA,1485
katE,2118
katG,2185
kbl,1188
kbp,474
kdgK_1,936
kdgK_2,918
kdgR_1,783
kdpC,570
kdpE,693
kdsB,753
kdsD_1,990
kdsD_2,1011
kduD_2,765
kduD_3,759
kduI,849
kduI1,843
kefG,813
kipR,861
klcA,424
kpsM_2~~~kpsM_1,777
ku_2,819
kup_2,1902
laaA,912
lacE,1275
lacF_1,1017
lacF_2,945
lacF_3,897
lacF_5~~~lacF_4,1085
lacF_7,948
lacG,819
lcdH,1491
lcfB,1548
ldc,1140
lemA,549
lepA,1827
lepB,744
lerK,1719
leuA,1710
leuB_1,1113
leuB_2~~~ttuC,1083
leuC,1410
leuD,606
lexA_3,657
lfrA_1,1545
lfrA_2,1467
lgoD,1017
lgoR,879
lgt,843
lhgD,1248
lig,1614
ligC,1068
ligE,690
linC,756
linX,804
lipA,969
lipB,774
livF_1,696
livF_3,708
livF_4,702
livF_5~~~livF_2,717
livH_2,891
livH_3,903
livH_4,897
livH_5,882
livK,1173
livQ,1509
lldD_3,1146
lldR,756
lldR_2~~~nanR_3,801
lnrL_1,729
lnt,1813
lolD_1,681
lolD_2,687
lolD_3,720
lolE_1,1242
lolE_2,1314
lon,2421
lon2,681
lpd,1446
lpd3,1407
lpdV,1395
lptA,561
lptB_1,753
lptB_2,765
lptB_3,741
lptB_4,813
lptD,2346
lpxC,954
lpxD,1065
lpxH,846
lpxK,1041
lpxL,924
lrpC,438
lrp_1,495
lrp_2,462
lrp_3,471
lrp_4,432
lrp_5,480
lrp_6,465
lrp_9,477
lspA,501
lsrB_1,1035
lsrB_2,993
lsrB_3,1002
lsrB_4,990
lsrC_1,1032
lsrC_2,981
lsrC_3,1020
lsrD_1,1014
lsrD_3,1005
lsrF,843
lsrG,315
lsrK,1564
ltaE,1047
ltnD_1,906
lutA,1365
lutR_1,750
lutR_10,726
lutR_1~~~lutR_5,724
lutR_3,732
lutR_4,717
lutR_6,693
lutR_6~~~lutR_7~~~lutR_5,784
lutR_8,699
lutR_9~~~lutR_2,702
luxA,990
luxR,741
lysA~~~lysA_1,1365
lysDH,1104
lysN,1227
lysS,1539
maa,552
macA_1,1023
macA_1~~~macA_2,1282
macA_3,1104
macB,1993
maiA_1,786
mak,897
malK_10,1083
malK_2~~~btuD_16,1075
malK_3,1134
malK_4~~~malK_1,1113
malK_6,1002
malK_6~~~malK_9~~~malK_2~~~malK_11,1177
malK_8,1089
malK_9,1011
malK_9~~~malK_5,1086
malL_2,1656
malP,2466
malT,789
malT_2~~~degU_1,697
map_1,750
map_2,840
mauC,318
mazG,834
mcbR_1,693
mcbR_3,681
mcbR_4,675
mcl2,903
mdeA,1284
mdh_1,1146
mdtA_2,1419
mdtA_2~~~mdtA_1,1197
mdtC_1~~~mdtC_2,3199
mdtI,327
mdtJ,345
mdtK,1404
mdtL,1204
melA_1,1473
melA_2,1374
melD_1,903
melD_2,936
melD_3,909
melD_4,879
melD_5,939
melE,1302
melR,1080
menB~~~paaG,1008
menE~~~menE_2,1497
menF,2190
menH_1,1125
mepA,1068
metAA,996
metB,1167
metC,1188
metF,942
metG,1551
metH_1,699
metI,666
metK,1281
metN,1077
metQ,777
metZ,1185
mfd,3510
mftE,793
mglA_1,1542
mglA_4~~~mglA_6,1656
mglA_5~~~mglA_3~~~araG_3,1508
mglA_6~~~mglA_3,1515
mglA_7,1536
mglA_8,1536
mgsA,381
mgtE,1422
mhqD,603
mhqD_1,604
mhqO,458
mhqO_1~~~mhqE,934
miaA,909
miaB,1419
minC,750
minD,816
minE,264
mlaF,810
mltC,540
mltG,1200
mmcO~~~mmcO_2,1423
mmgB,873
mmpA,1125
mmsB,897
mngR,735
mnhE1,486
mnmA,1197
mnmC_1~~~mnmC_2,1170
mnmC_2~~~mnmC_1,648
mnmE,1320
mnmG,1872
mntB_1,855
mntB_2,858
moaA_1~~~moaA,1212
moaB,544
moaC,495
moaE,468
mobB,525
modA,786
modB,693
moeA,1221
moeZ,765
motA,879
moxF_1,1806
mprB,1399
mprF,2607
mqnB,639
mraY,1101
mraZ,441
mrcA_1,2454
mro,1020
mrpD_1,1566
mrpG_1,351
mrpG_2,366
msbA_2,1852
msbA_3~~~msbA_1,1806
mscL,429
mshA_1,1092
mshA_10,1056
mshA_10~~~mshA_9,1152
mshA_10~~~mshA_9~~~mshA_2,2683
mshA_11,1023
mshA_12,1032
mshA_13,1245
mshA_15~~~mshA_6~~~mshA_5,1098
mshA_9,1299
mshA_9~~~mshA_8,1239
mshD,813
msiK,1089
msmE,1260
msmX_1,1098
msmX_1~~~msmX_2,1092
msmX_3,1071
msrA,654
msrA2,597
msrA3,507
msrB_1,408
msrB_2,495
msrB_3,444
msrP_1,720
msuE,558
mtaB,1276
mtgA_2,2235
mtgA_3,2304
mtgA_4,789
mtgB_2,1545
mtgB_3,1575
mtgB_4,1545
mtlK_2,1485
mtlK_2~~~mtlK_1,1476
murA,1293
murB,975
murD,1392
murE,1461
murF,1434
murG~~~murG_1,1189
murI,834
murQ,897
murR,903
murU,732
mutL,1818
mutM,906
mutS,2751
nadB,1599
nadC,900
nadE_1,1005
nadE_2,1683
nadK,774
nagC_1,1212
nagC_4,1179
nagK_2~~~nagC_3,1353
nagL_1,612
nagL_2,654
nagR_1,825
nagR_3,744
nagZ,1035
naiP,1314
nanA,900
nanK,1230
nanR_1,765
nanR_1~~~lutR_9,780
nanR_2,735
nanR_4,714
nanR_5,771
nanR_6,702
nanT_1,1890
nanT_2~~~nanT_1,1292
napB,477
napC_1,702
napD,288
napF,501
narL,636
narT,1275
ndhB_3,1761
ndhB_4,1464
ndhB_4~~~nuoL,1996
ndhC_1,366
ndhC_1~~~ndhC_2,459
ndhI,567
ndhJ,564
ndhS_1,486
ndk,423
ndmD,1767
ndvA,1851
nemA_1,1122
nemA_2,1080
nepI_1,1206
nfdA_1,1986
nfuA,567
ngcF,867
ngcG_1,813
ngcG_2,831
ngcG_3,942
ngcG_4,840
ngcG_5,888
ngcG_7,849
nhhA,642
nicA,498
nicB_2~~~nicB_3~~~nicB_1,2241
nicS_1,663
nicS_2,678
nifA,1626
nifD_1,1503
nifK_1,1542
nifK_2,1326
nikA_1,1509
nikA_2~~~nikA_1,1665
nit1,858
nnr,1485
noc_1,1062
noc_3~~~noc_2,1005
nodA,591
nodD2_1~~~nodD2_4,903
nodD2_3,1023
nodF,282
nodM_1,1827
nodM_1~~~nodM_2,1890
norG,1425
norR~~~atoC,1543
nosD,1362
nosF,954
nosY,828
novR,792
nqo1_1,1305
nqo2_2,507
nqo3,2082
nqo4,1215
nqo5,606
nqo6,504
nqrF_1,1674
nrdR,474
nreC,723
nrsF,712
nrtA_2,1293
nspC,1098
nsrR_1,465
nsrR_2,507
nthB,660
nth_2~~~nth,843
nudC,981
nudG,408
nudK,597
nudL,633
nuoB,579
nuoD,1191
nuoH_1,1044
nuoH_2,987
nuoI,492
nuoJ_1,691
nuoJ_2,501
nuoK_1,309
nuoK_1~~~nuoK_2,303
nuoM_1,1512
nuoN,1443
nusA,1629
nusB,483
nusG,531
nylA~~~amiB2,1378
oat2,1242
occP_2,774
occR_1,906
ocd,1068
odh,1081
ogt_2,873
ogt_2~~~ogt_1,552
ohrB_1,423
ohrB_2~~~ohrB_3,417
ohrR_2,477
oiaK,1331
oiaX,1257
olsG,603
ompR_2,738
ompR_3,702
ompR_3~~~ompR_1,699
ompR_4,660
oppA,1599
oppB,925
oppD_2,984
oppD_3,834
oppD_3~~~oppD_1~~~oppD_4,1016
oppD_6,987
oppF_2,768
oppF_3,999
oppF_4~~~oppF_1,894
opuAA_1,1047
opuAA_2,828
opuAB,846
oqxB5,3186
osmX,891
osmY,756
otnC,678
otnI,777
otnK,1278
otsA,1392
ousW_2,858
oxyR_1,954
