gene,sequence_length
dctM_2~~~dctM_6,1290
dctM_3,1266
dctM_5~~~dctM_1,1281
dctP,996
dddP,1305
ddlB,927
ddmA1,1218
ddpA,1641
ddpC_1,924
ddpC_2,933
ddpC_3,933
ddpF,1005
deaD,1893
decR_1,471
decR_2,465
decR_2~~~decR_3,489
decR_4~~~decR_3,483
def_1,519
def_2,537
degA_2~~~purR_1,1029
degQ_1,1398
degQ_2,1554
degU_1,660
degU_2,648
denD_2,984
denD_2~~~denD_1,984
deoA,1323
deoB,1221
deoC_1,1005
deoR_1,981
deoR_3~~~deoR_2,792
der,1431
des,1071
devR,690
dgoA,639
dgoD_1~~~dgoD_2,1203
dgoD_2~~~dgoD_1,1150
dgoK1_1,921
dgoK1_2,942
dhaA,876
dhaL,642
dhaL2,645
dhfrIII,564
dhmA~~~dhmA_1,1049
dht,1455
dinB_1,1293
dinB_1~~~dinB_3~~~dinB_2,585
dinB_1~~~dinB_4~~~dinB_5~~~dinB_2,1138
dinF,1368
dinG,1155
divK_1,366
divK_2,372
djlA,708
dkgB,828
dksA_1,420
dksA_2~~~dksA_1,493
dld,1422
dlgD~~~yjmC_2,1005
dmdC_2,1797
dme,2313
dmg,2562
dmlR_1,948
dmlR_10,957
dmlR_12~~~dmlR_13,906
dmlR_3,906
dmlR_5,943
dmlR_5~~~dmlR_8,933
dmlR_6,897
dmlR_7,909
dmlR_8~~~dmlR_4,915
dnaA_1,519
dnaA_2,1524
dnaC_2,1500
dnaE1,3510
dnaG,2004
dnaJ_1,618
dnaJ_2,1317
dnaJ_3,726
dnaK_1,1290
dnaK_2,1926
dnaN,1119
dnaX_1,1033
doeA_1,1182
doeA_1~~~doeA_2,1185
doeB_1,1011
doxA_1,318
dppA_2~~~dppA_4,1597
dppA_3,1617
dppA_5,1629
dppA_6,1611
dppA_7~~~dppA_1,1500
dppB_1~~~dppB_8,999
dppB_4,1068
dppB_5,1005
dppC_1,951
dppC_2,909
dppC_4,960
dppD_1,855
dprE1,1327
dsbB,510
dtd3,780
dtnK,1032
dusA,1158
dusB,1029
dut,567
dxr,1176
dxs_1,1383
dxs_1~~~dxs_2,1939
dxs_3,2080
eamB,594
ecfG_1,522
ecfG_2,555
ecfG_3,516
ecfG_4,537
ecfG_5,543
echA8_1,822
echA8_2,774
eda_1,654
eda_2,639
edd,1821
efp,570
egtC,816
ehpR,369
eis_1,498
eis_2,591
eltP,1605
emrA_3,1212
emrA_3~~~emrA_1,1098
emrB_2,1596
emrB_2~~~emrB_1,1653
emrB_3,1590
emrE,342
engB,654
eno,1530
entS_3,1257
entS_4,1593
epi,405
epmA,1053
epsL_1,681
epsL_2,693
eptA,1731
era,930
erpA,330
eryB_1,1515
eryC,939
eryD_1,954
eryD_2,960
eryD_3,948
eryH,768
eryI,438
ettA,1650
exbD,426
exoI,1920
exoK,810
exuR,1050
fabA,516
fabB,1221
fabD,945
fabF_1,1389
fabF_2,1266
fabG2,828
fabG_13,759
fabG_15~~~fabG_1,783
fabG_16,738
fabG_2,885
fabG_3,735
fabG_6,765
fabG_6~~~fabG_10,771
