accession,scomment,species,strain,replicon
NZ_CP021797.1,"Sinorhizobium meliloti strain USDA1106 chromosome, complete genome",meliloti,USDA1106,chromosome
NZ_CP021798.1,"Sinorhizobium meliloti strain USDA1106 plasmid psymA, complete sequence",meliloti,USDA1106,plasmid psymA
NZ_CP021799.1,"Sinorhizobium meliloti strain USDA1106 plasmid psymB, complete sequence",meliloti,USDA1106,plasmid psymB
NC_003047.1,"Sinorhizobium meliloti 1021, complete sequence",meliloti,1021,chromosome
NC_003037.1,"Sinorhizobium meliloti 1021 plasmid pSymA, complete sequence",meliloti,1021,plasmid pSymA
NC_003078.1,"Sinorhizobium meliloti 1021 plasmid pSymB, complete sequence",meliloti,1021,plasmid pSymB
NZ_CP021800.1,"Sinorhizobium meliloti strain USDA1021 chromosome, complete genome",meliloti,USDA1021,chromosome
NZ_CP021803.1,"Sinorhizobium meliloti strain USDA1021 plasmid accessoryA, complete sequence",meliloti,USDA1021,plasmid accessoryA
NZ_CP021801.1,"Sinorhizobium meliloti strain USDA1021 plasmid psymA, complete sequence",meliloti,USDA1021,plasmid psymA
NZ_CP021802.1,"Sinorhizobium meliloti strain USDA1021 plasmid psymB, complete sequence",meliloti,USDA1021,plasmid psymB
NC_009636.1,"Sinorhizobium medicae WSM419, complete sequence",medicae,WSM419,chromosome
NC_009620.1,"Sinorhizobium medicae WSM419 plasmid pSMED01, complete sequence",medicae,WSM419,plasmid pSMED01
NC_009621.1,"Sinorhizobium medicae WSM419 plasmid pSMED02, complete sequence",medicae,WSM419,plasmid pSMED02
NC_009622.1,"Sinorhizobium medicae WSM419 plasmid pSMED03, complete sequence",medicae,WSM419,plasmid pSMED03
NZ_CP088109.1,"Sinorhizobium medicae WSM1115 chromosome, complete genome",medicae,WSM1115,chromosome
NZ_CP088110.1,"Sinorhizobium medicae WSM1115 plasmid pWSM1115_1, complete sequence",medicae,WSM1115,plasmid pWSM1115_1
