ID,RhizobiaSite,Rhizobia,PlantSite,Plant,TreatmentID,Waterblock,Label,DryWeight (mg),NoduleNumber,RootWeight (mg),NoduleWeight (mg)
131,L,L3M5R1,S,S5M1,9,27,ID131-L3M5R1-WB27-S5M1,12.8,16,2.2,0.3
132,L,L3M5R1,S,S5M4,9,27,ID132-L3M5R1-WB27-S5M4,25.7,30,4.5,0.6
133,L,L3M5R1,S,S5M3,9,27,ID133-L3M5R1-WB27-S5M3,11,10,5.4,0.3
134,L,L4M2R2,S,S5M6,10,28,ID134-L4M2R2-WB28-S5M6,4.4,1,1.5,
135,L,L4M2R2,S,S5M6,10,28,ID135-L4M2R2-WB28-S5M6,4.1,0,2.2,
136,L,L4M2R2,S,S5M4,10,28,ID136-L4M2R2-WB28-S5M4,2.8,0,1.6,
137,L,L4M2R2,S,S5M4,10,28,ID137-L4M2R2-WB28-S5M4,3,0,1.6,
138,L,L4M2R2,S,S5M5,10,28,ID138-L4M2R2-WB28-S5M5,5.8,7,1.4,0.3
139,L,L4M2R2,S,S5M4,10,28,ID139-L4M2R2-WB28-S5M4,1.9,0,0.9,
140,L,L4M2R2,S,S5M3,10,29,ID140-L4M2R2-WB29-S5M3,7.3,0,2.2,
141,L,L4M2R2,S,S5M3,10,29,ID141-L4M2R2-WB29-S5M3,4.2,0,3.2,
142,L,L4M2R2,S,S5M3,10,29,ID142-L4M2R2-WB29-S5M3,3.7,3,3.1,0
143,L,L4M2R2,S,S5M4,10,29,ID143-L4M2R2-WB29-S5M4,8.4,0,2.8,
144,L,L4M2R2,S,S5M1,10,29,ID144-L4M2R2-WB29-S5M1,3.8,0,1.3,
145,L,L4M2R2,S,S5M4,10,29,ID145-L4M2R2-WB29-S5M4,3.1,0,2,
146,L,L4M2R2,S,S5M5,10,30,ID146-L4M2R2-WB30-S5M5,1.8,0,0.8,
147,L,L4M2R2,S,S5M6,10,30,ID147-L4M2R2-WB30-S5M6,3.9,0,1.8,
148,L,L4M2R2,S,S5M7,10,30,ID148-L4M2R2-WB30-S5M7,5.4,0,2.8,
149,L,L4M2R2,S,S5M1,10,30,ID149-L4M2R2-WB30-S5M1,4.2,0,2.2,
150,L,L4M2R2,S,S5M3,10,30,ID150-L4M2R2-WB30-S5M3,6.4,6,2,0.1
151,H,H3M1R1,L,L3M2,3,6,ID151-H3M1R1-WB6-L3M2,14.3,16,2.8,0.5
