LabGroup,TubeNumber,RhizobiaStrain,Location,PrimaryRootLength,LateralRootNumber,LongestLateralRootLength,NoduleNumber,ShootHeight,LeafNumber,NewLeafColor,Notes
101-1,1,Control,Control,10.52,12,0.95,0,3.22,6,1.5,"Lowest shoot is reddish, significant amount of contamination"
101-1,2,Control,Control,13.22,9,2.12,0,4.22,6,1.5,"Lowest shoot is reddish, lateral branches were hard to count as there was significant curling and clumping of all lateral nodules."
101-1,3,src-1,Suburban,9.44,6,1.01,6,3.7,5,1.5,"Lowest shoot is reddish, lateral shoots were long towards bottom of roots, nodules only on two lateral branches"
101-1,4,src-1,Suburban,12.12,5,2.81,7,4.12,6,1.5,some shoots reddish
101-1,5,src-1,Suburban,12.56,22,2.24,9,3.37,6,2,all nodules congregated on one root
101-1,6,src-1,Suburban,14.53,14,1.71,6,3.81,6,1.5,nodules clustered in three groups of two
101-2,1,Control,Control,9.3,4,1.8,0,1.8,4,2,"lack brown nodes on edge of cotyledons, more wispy lateral roots"
101-2,2,Control,Control,9.4,7,0.3,0,1.9,4,1.5,"lack brown nodes on edge of cotyledons, more wispy lateral roots"
101-2,3,fp1-2,Suburban,10.1,3,0.1,6,0.7,4,1.5,"have brown node-like structures on edge of cotyledons, really short lateral roots"
101-2,4,fp1-2,Suburban,9.8,7,0.05,6,1.4,4,1.5,"have brown node-like structures on edge of cotyledons, really short lateral roots"
101-2,5,fp1-2,Suburban,10.9,5,0.8,5,2,4,2,"have brown node-like structures on edge of cotyledons, really short lateral roots"
101-2,6,fp1-2,Suburban,10.8,5,0.06,3,0.8,4,2,"have brown node-like structures on edge of cotyledons, really short lateral roots"
101-3,1,Control,Control,10,6,6,0,4,6,1.5,
101-3,2,Control,Control,14,4,6,0,3.5,6,1.5,
101-3,3,crp 1-2,Suburban,14,8,1,2,3.5,6,2,
101-3,4,crp 1-2,Suburban,10.5,7,0.5,6,4.5,6,2,
101-3,5,crp 1-2,Suburban,11,4,1.2,4,4.25,5,2,
101-3,6,crp 1-2,Suburban,12,17,1.5,9,5,5,2,
101-4,1,Control,Control,13,13,3.5,0,2.5,6,2,
101-4,2,Control,Control,11.3,20,2.3,0,1.2,6,2,
101-4,3,gp1-2,Suburban,12.5,11,3.9,4,1.8,4,1.5,
101-4,4,gp1-2,Suburban,12,5,4.2,5,2.1,5,1.5,
101-4,5,gp1-2,Suburban,11.5,4,1.1,4,2.3,6,1.5,
101-4,6,gp1-2,Suburban,12.1,10,2.6,4,3.1,6,1.5,
101-5,1,Control,Control,11.5,17,2.4,0,1,3,1.5,
101-5,2,Control,Control,7,5,1.1,0,3,5,2,seed on side
101-5,3,bg-1,Urban,11,11,3.4,8,3.55,6,1.5,
101-5,4,bg-1,Urban,10.5,4,0.9,3,4.5,6,1.5,
101-5,5,bg-1,Urban,11.5,9,3.5,1,3.5,6,1.5,
101-5,6,bg-1,Urban,11,5,0.7,1,4.5,6,2,
101-6,1,Control,Control,11,7,2.5,0,2.5,4,1.5,
101-6,2,Control,Control,7,3,2.5,0,2,4,1.5,
101-6,3,pms-1,Urban,13,8,2,6,3,4,1.5,
101-6,4,pms-1,Urban,10,2,1,1,1,3,1.5,
101-6,5,pms-1,Urban,9,7,4,3,2,4,2,
101-6,6,pms-1,Urban,12,9,2,2,3,4,2,
101-7,1,Control,Control,11.5,2,2.2,0,1.25,4,2,
101-7,2,Control,Control,9.6,6,1.6,0,1.1,3,2,
101-7,3,ppf-1,Urban,10.5,7,2.1,4,1.9,4,2,
101-7,4,ppf-1,Urban,9.5,8,3,5,1.4,4,1.5,
101-7,5,ppf-1,Urban,11.5,4,2,2,2.2,4,2,
101-7,6,ppf-1,Urban,10,6,2.5,4,1.6,4,1.5,
Evie and Annie,1,Control,Control,11.5,3,2.5,0,2,4,1.5,
Evie and Annie,2,Control,Control,11,4,2.7,0,1.2,3,2,
Evie and Annie,3,40th-1,Urban,12,7,2,9,1.4,6,1.5,
Evie and Annie,4,40th-1,Urban,10,10,1.9,6,3,6,1.5,
Evie and Annie,5,40th-1,Urban,11,4,0.9,2,1.5,6,2,
Evie and Annie,6,40th-1,Urban,10,8,2.75,9,2.7,4,1.5,
102-1,1,Control,Control,13,8,6,0,1.7,4,1.5,
102-1,2,Control,Control,12.5,7,2,0,1.5,4,1.5,
102-1,3,src-1,Suburban,11.7,10,2,3,1.5,4,1.5,
102-1,4,src-1,Suburban,9,4,4.1,4,1.4,5,1.5,
102-1,5,src-1,Suburban,12,10,2.5,2,2,4,1.5,
102-1,6,src-1,Suburban,11.5,7,1.5,1,1.5,5,1.5,
fp 1-2,1,Control,Control,12,7,3,0,1.3,3,1.5,
fp 1-2,2,Control,Control,14,3,6,0,3,4,1.5,
fp 1-2,3,fp1-2,Suburban,6.5,7,2,7,2,3,1.5,
fp 1-2,4,fp1-2,Suburban,10,6,1.5,3,1,4,2,
fp 1-2,5,fp1-2,Suburban,8,9,2,2,1,4,1.5,
fp 1-2,6,fp1-2,Suburban,7,5,0.5,8,2,4,1.5,
102_A,1,Control,Control,10.8,7,1.7,0,2.1,4,1.5,
102_A,2,Control,Control,10.8,5,1.7,0,2.1,4,2,
102_A,3,crp 1-2,Suburban,9.6,13,4.6,14,1,4,1.5,
102_A,4,crp 1-2,Suburban,10.4,4,1.1,6,2.3,4,2,
102_A,5,crp 1-2,Suburban,11.2,5,1.8,5,1.7,5,1.5,
102_A,6,crp 1-2,Suburban,12,3,1.1,1,0.9,5,1.5,
Nikolai and Quinn,1,Control,Control,11.8,6,1.5,0,2.1,4,1.5,
Nikolai and Quinn,2,Control,Control,12.2,6,2.1,0,1.7,4,1.5,
Nikolai and Quinn,3,gp1-2,Suburban,10.5,6,1.4,12,1.5,4,1.5,no nodules
Nikolai and Quinn,4,gp1-2,Suburban,12,15,3.5,19,1.6,4,1.5,"browning leafs, no nodules"
Nikolai and Quinn,5,gp1-2,Suburban,13.2,16,1.5,21,2.4,5,1.5,"large amounts of lateral roots with big lengths, a lot of nodules"
Nikolai and Quinn,6,gp1-2,Suburban,12,12,4,17,1.7,4,1.5,lateral roots are consistent lengths
102-5,1,Control,Control,13,11,2.5,0,2,4,1.5,pinkish roots
102-5,2,Control,Control,12,7,3.5,0,1.3,4,1.5,cotyledons starting to brown; hard to tell which is primary root because of how it loops near the bottom
102-5,3,bg-1,Urban,11.5,8,2.5,14,2.5,4,2,
102-5,4,bg-1,Urban,13.5,4,1,8,1,4,1.5,
102-5,5,bg-1,Urban,12,10,2,5,1.5,4,2,
102-5,6,bg-1,Urban,6,6,3,6,1.4,4,1.5,
102-6 ,1,Control,Control,14,6,2.1,0,1.4,4,1.5,
102-6 ,2,Control,Control,14,7,4.1,0,2,4,1.5,
102-6 ,3,pms-1,Urban,9.5,5,2.3,4,2.6,4,1.5,
102-6 ,4,pms-1,Urban,11,5,1,4,3,5,1.5,
102-6 ,5,pms-1,Urban,9,0,0,5,3.5,4,1.5,
102-6 ,6,pms-1,Urban,13,7,2.2,5,3.2,5,1.5,
102_B,1,Control,Control,13,6,1,0,1.8,4,1.5,
102_B,2,Control,Control,10.5,6,4.5,0,2,3,1.5,
102_B,3,ppf-1,Urban,11,1,0.5,3,1.5,4,1.5,
102_B,4,ppf-1,Urban,9,4,1,3,4,4,1.5,
102_B,5,ppf-1,Urban,10.5,11,1.5,2,2.4,3,1.5,
102_B,6,ppf-1,Urban,12.5,6,1.5,3,2,5,1.5,
102-8,1,Control,Control,10.5,7,5,0,1.5,4,1.5,
102-8,2,Control,Control,9.5,7,2,0,1.1,4,2,
102-8,3,40th-1,Urban,8,9,3,6,2.7,4,1.5,
102-8,4,40th-1,Urban,10,1,0.4,5,1.1,4,2,
102-8,5,40th-1,Urban,14,3,1,3,1.4,5,2,
102-8,6,40th-1,Urban,12,4,1.7,5,2.2,4,2,
OA/rS,1,Control,Control,9.9,10,0.7,0,1.2,4,1.5,
OA/rS,2,Control,Control,14.9,5,2,0,2.5,3,1,
OA/rS,3,src-1,Suburban,10.2,6,1,5,1.5,4,1,
OA/rS,4,src-1,Suburban,10,7,2.6,5,4,4,1.5,
OA/rS,5,src-1,Suburban,10.5,4,2.5,5,4,4,1.5,
OA/rS,6,src-1,Suburban,12,10,2.2,2,1.75,4,1.5,
AS + DB,1,Control,Control,14,11,4.5,0,1.3,4,1.5,seed coat remained on cotyledons
AS + DB,2,Control,Control,11.5,7,4,0,1.1,4,1.5,
AS + DB,3,fp1-2,Suburban,8,8,1.5,3,1.2,4,1.5,
AS + DB,4,fp1-2,Suburban,15,5,3.5,4,1.2,4,2,
AS + DB,5,fp1-2,Suburban,8,5,1,3,1.4,4,2,
AS + DB,6,fp1-2,Suburban,6.5,12,4,5,1.5,4,1.5,
"Nikita Bharati, Ariadni (103-3)",1,Control,Control,13,4,3.5,0,1.75,4,1.5,
"Nikita Bharati, Ariadni (103-3)",2,Control,Control,10,0,0.5,0,2,4,1.5,
"Nikita Bharati, Ariadni (103-3)",3,crp 1-2,Suburban,11,10,2,0,1.5,4,1.5,
"Nikita Bharati, Ariadni (103-3)",4,crp 1-2,Suburban,11,11,2.5,6,2,4,1.5,
"Nikita Bharati, Ariadni (103-3)",5,crp 1-2,Suburban,10,7,2,2,1.5,4,1.5,
"Nikita Bharati, Ariadni (103-3)",6,crp 1-2,Suburban,12,10,1.5,3,2,4,1.5,
A+R,1,Control,Control,9,9,0.9,0,0.8,4,1.5,
A+R,2,Control,Control,10,8,1.6,1,1.5,4,2,
A+R,3,gp1-2,Suburban,10.5,8,3.1,2,2,4,2,
A+R,4,gp1-2,Suburban,11,8,3.6,3,1.1,3,2,
A+R,5,gp1-2,Suburban,10.5,5,4.5,1,1.1,4,2,
A+R,6,gp1-2,Suburban,10.5,7,1.8,5,0.7,4,1.5,
SH/SS,1,Control,Control,10.5,7,6,0,1.4,4,1.5,
SH/SS,2,Control,Control,11.4,10,0.7,0,1.5,3,1.5,
SH/SS,3,bg-1,Urban,9.4,15,3,14,0.5,4,1.5,
SH/SS,4,bg-1,Urban,13.3,8,1.5,20,1.4,4,1.5,
SH/SS,5,bg-1,Urban,9.3,7,5,10,2,4,1.5,
SH/SS,6,bg-1,Urban,9,9,5,7,2.5,8,1.5,
SPGG,1,Control,Control,12.1,12,2.8,0,1.1,3,1.5,
SPGG,2,Control,Control,9.5,4,1.7,0,1.6,3,1.5,
SPGG,3,pms-1,Urban,12.3,9,3.2,5,0.7,4,1.5,
SPGG,4,pms-1,Urban,10,5,2.3,7,2.1,3,1.5,
SPGG,5,pms-1,Urban,12,7,1.2,3,1.6,3,1.5,
SPGG,6,pms-1,Urban,12,9,4.1,4,1.8,4,1.5,
103-7 JGMB,1,Control,Control,12.2,6,6.5,0,3.2,4,1.5,
103-7 JGMB,2,Control,Control,13.4,7,7.2,0,2.3,4,1.5,
103-7 JGMB,3,ppf-1,Urban,10.7,7,1.3,1,2.3,4,1.5,
103-7 JGMB,4,ppf-1,Urban,9.6,8,1.5,0,2.4,4,2,
103-7 JGMB,5,ppf-1,Urban,7.8,4,3.5,15,1.8,4,1.5,
103-7 JGMB,6,ppf-1,Urban,11,6,2.2,4,1.5,4,1.5,
SM SG 103-8,1,Control,Control,10.5,5,3.5,0,1,4,1.5,
SM SG 103-8,2,Control,Control,12,6,3.6,0,1.75,3,1.5,
SM SG 103-8,3,40th-1,Urban,6,8,2,6,1,4,1.5,
SM SG 103-8,4,40th-1,Urban,11,10,2.5,7,0.75,4,1.5,
SM SG 103-8,5,40th-1,Urban,10,9,0.6,5,1.5,4,1.5,
SM SG 103-8,6,40th-1,Urban,11,8,3,0,1.75,4,1.5,
104-1,1,Control,Control,13.2,7,3.7,0,1.7,4,1.5,
104-1,2,Control,Control,13.6,10,3.6,0,3.3,4,1.5,
104-1,3,fp1-2,Suburban,12.5,13,2.1,7,4.5,4,1.5,
104-1,4,fp1-2,Suburban,10.5,12,4,13,1.3,4,1.5,
104-1,5,fp1-2,Suburban,12.1,9,2,4,3,3,1.5,
104-1,6,fp1-2,Suburban,14.4,6,1.8,9,4.5,5,1.5,
104-1,7,fp1-2,Suburban,13.5,6,1.5,5,4.2,4,1.5,
104-2,1,Control,Control,10.1,10,3.1,0,5.9,4,1.5,
104-2,2,Control,Control,10,8,4,0,3.7,4,1.5,
104-2,3,40th-1,Urban,11.3,8,1.9,4,4.5,4,1.5,
104-2,4,40th-1,Urban,11,11,1.8,3,2.7,6,1.5,
104-2,5,40th-1,Urban,10.3,16,1.8,7,6.3,4,1.5,
104-2,6,40th-1,Urban,10.5,4,1,5,2.8,6,1.5,
