ii,gradient,trait_pre,st,term,statistic,p_value,siglab
1,elevation,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),157.77,0.6,p=0.6 n.s.
1,elevation,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,0.2,0.659,p=0.659 n.s.
1,elevation,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,41.26,0.062,p=0.062 n.s.
1,elevation,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,3.85,0.303,p=0.303 n.s.
2,elevation,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),948.23,0.355,p=0.355 n.s.
2,elevation,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,1.79,0.221,p=0.221 n.s.
2,elevation,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,82.48,0.858,p=0.858 n.s.
2,elevation,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,1.21,0.533,p=0.533 n.s.
3,elevation,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),148.73,0.526,p=0.526 n.s.
3,elevation,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,0.18,0.686,p=0.686 n.s.
3,elevation,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,31.81,0.003,p=0.003 **
3,elevation,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,4.77,0.216,p=0.216 n.s.
4,urbanization,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),339.33,0.109,p=0.109 n.s.
4,urbanization,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,2.29,0.13,p=0.13 n.s.
4,urbanization,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,33.8,0.027,p=0.027 *
4,urbanization,growth rate (1/hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,2.64,0.442,p=0.442 n.s.
5,urbanization,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),557.85,0.598,p=0.598 n.s.
5,urbanization,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,3.55,0.074,p=0.074 n.s.
5,urbanization,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,27.64,0.72,p=0.72 n.s.
5,urbanization,lag time (hr),"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,1.7,0.381,p=0.381 n.s.
6,urbanization,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",(Intercept),648.82,0,p<0.001***
6,urbanization,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population,16.87,0,p<0.001***
6,urbanization,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",temperature,15.52,0,p<0.001***
6,urbanization,yield [OD],"mod <- lmer(value ~ population*temperature + (1|temperature:exp_id), data = d)",population:temperature,2.36,0.513,p=0.513 n.s.
