ii,gradient,temperature,trait_pre,st,term,statistic,df,p.value,siglab
1,elevation,25c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),31.86,1,0,p<0.001***
1,elevation,25c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,1.16,1,0.282,p=0.282 n.s.
2,elevation,30c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),70.98,1,0,p<0.001***
2,elevation,30c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,0.93,1,0.336,p=0.336 n.s.
3,elevation,35c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),118.23,1,0,p<0.001***
3,elevation,35c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,0.43,1,0.51,p=0.51 n.s.
4,elevation,40c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),1.28,1,0.259,p=0.259 n.s.
4,elevation,40c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,1.28,1,0.259,p=0.259 n.s.
5,elevation,25c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),307.47,1,0,p<0.001***
5,elevation,25c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,0,1,0.973,p=0.973 n.s.
6,elevation,30c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),625.97,1,0,p<0.001***
6,elevation,30c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,2.75,1,0.097,p=0.097 n.s.
7,elevation,35c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),342,1,0,p<0.001***
7,elevation,35c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,3.33,1,0.068,p=0.068 n.s.
8,elevation,25c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),40.63,1,0,p<0.001***
8,elevation,25c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,2.48,1,0.116,p=0.116 n.s.
9,elevation,30c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),75.59,1,0,p<0.001***
9,elevation,30c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,0.35,1,0.552,p=0.552 n.s.
10,elevation,35c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),77.39,1,0,p<0.001***
10,elevation,35c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,0.03,1,0.856,p=0.856 n.s.
11,elevation,40c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),1.48,1,0.223,p=0.223 n.s.
11,elevation,40c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,1.48,1,0.223,p=0.223 n.s.
12,urbanization,25c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),93.85,1,0,p<0.001***
12,urbanization,25c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,0.67,1,0.412,p=0.412 n.s.
13,urbanization,30c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),106.6,1,0,p<0.001***
13,urbanization,30c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,0.31,1,0.576,p=0.576 n.s.
14,urbanization,35c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),156.13,1,0,p<0.001***
14,urbanization,35c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,2.51,1,0.113,p=0.113 n.s.
15,urbanization,40c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),37.91,1,0,p<0.001***
15,urbanization,40c,growth rate (1/hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,1.03,1,0.311,p=0.311 n.s.
16,urbanization,25c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),146.68,1,0,p<0.001***
16,urbanization,25c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,1.37,1,0.242,p=0.242 n.s.
17,urbanization,30c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),579.48,1,0,p<0.001***
17,urbanization,30c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,0,1,0.952,p=0.952 n.s.
18,urbanization,35c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),211.73,1,0,p<0.001***
18,urbanization,35c,lag time (hr),"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,3.99,1,0.046,p=0.046 *
19,urbanization,25c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),211.99,1,0,p<0.001***
19,urbanization,25c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,0.96,1,0.328,p=0.328 n.s.
20,urbanization,30c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),221.28,1,0,p<0.001***
20,urbanization,30c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,6.32,1,0.012,p=0.012 *
21,urbanization,35c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),269.87,1,0,p<0.001***
21,urbanization,35c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,7.62,1,0.006,p=0.006 **
22,urbanization,40c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",(Intercept),68.62,1,0,p<0.001***
22,urbanization,40c,yield [OD],"mod <- lmer(value ~ population + (1|exp_id), data = d)",population,3.84,1,0.05,p=0.05 n.s.
