temperature,exp_id,r.sem,r,t.r.sem,t.r,lag.sem,lag,maxOD.sem,maxOD
30c,40th-1,0.016065867247951893,1.0803935831263234,0.04166666666666785,18.875,0.020085712433777658,18.25156423813698,0.008378769309516199,0.30016214054840235
30c,H2M3R1,0.07008256462566098,1.1642843445173354,0.625,11.958333333333334,0.6014371437343904,11.381574968861209,0.03363752774717152,0.29211432117604186
30c,H2M3R2,0.0030590225541564653,1.0859503790277556,0,17.416666666666668,0.011386946981284394,16.86124212618261,0.023923711032611646,0.26944367617100357
30c,H3M1R1,0.053443253453537225,0.5635896117411556,0.916666666666666,20.416666666666664,0.6489008708783786,19.013980336591377,0.004523468608583907,0.13249274920572074
30c,H3M3R2,0.044986818672522785,0.7209102422185549,0.33333333333333215,19,0.33076705764044334,18.024558169177393,0.006092992035931083,0.13701364869439295
30c,H3M4R1,0.07183038169140761,0.43729076332981764,0.33333333333333215,19.25,0.08118435513530818,17.741361977002093,0.011273525443827717,0.08108428630046409
30c,H4M5R1,0.09256527589477757,0.6360413146701535,0.4583333333333321,17.125,0.5806648719080947,16.065738713075373,0.010699187729591143,0.11329567680729646
30c,L1M2R2,0.020040094273456155,0.5265157882028386,0.25,17.333333333333332,0.07069197587114572,15.952034593677784,0.00161881833342932,0.1306198724125021
30c,L2M2R1,0.048454857555748077,1.0093104778949527,0.41666666666666696,15.75,0.46370458977178153,15.079927323356257,0.010762648181930762,0.24611911911102483
30c,L2M4R1,0.02603714405537502,0.5071402176751914,1.291666666666667,17.208333333333332,1.372930088210652,15.891189540675573,0.008409127933595523,0.15570957154850698
30c,L3M1R1,0.04677107547928472,0.7491964769618561,0.625,14.708333333333334,0.6830605437418543,13.719142693042508,0.0026259379037574804,0.22920074057975956
30c,L3M5R1,0.004531816924241483,0.5201000154025854,0.9583333333333338,18.541666666666664,0.8913899731195637,17.259961314008983,0.02054028139540387,0.11436113062738193
