,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.184,0.089,0.184,0.09,0.192,0.086,0.194,0.086,0.086,0.085,0.089,0.088,600
B,0.168,0.085,0.194,0.086,0.174,0.088,0.173,0.086,0.089,0.085,0.087,0.086,600
C,0.174,0.09,0.176,0.086,0.197,0.088,0.186,0.088,0.092,0.086,0.086,0.087,600
D,0.179,0.088,0.224,0.088,0.185,0.085,0.213,0.088,0.092,0.087,0.087,0.088,600
E,0.197,0.087,0.163,0.086,0.233,0.085,0.188,0.087,0.09,0.086,0.087,0.087,600
F,0.17,0.09,0.187,0.088,0.185,0.086,0.203,0.089,0.092,0.088,0.086,0.086,600
G,0.172,0.086,0.172,0.088,0.174,0.088,0.173,0.086,0.086,0.088,0.087,0.088,600
H,0.15,0.088,0.158,0.087,0.157,0.085,0.217,0.086,0.086,0.087,0.086,0.086,600
