from,gene,non_unique_gene_name,annotation
gcvA,gcvA_4,;gcvA_4,hypothetical protein;Glycine cleavage system transcriptional activator
puuD,puuD,puuD,Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
hldD,hldD_3,;hldD_3,hypothetical protein;ADP-L-glycero-D-manno-heptose-6-epimerase
hflC,hflC,hflC;,Modulator of FtsH protease HflC;hypothetical protein
gbuC,gbuC,;gbuC,hypothetical protein;Glycine betaine/carnitine transport binding protein GbuC
ttgB,ttgB,ttgB;,putative efflux pump membrane transporter TtgB;hypothetical protein
pgk,pgk,pgk;,Phosphoglycerate kinase;hypothetical protein
mshA,mshA_14,;mshA_14,hypothetical protein;D-inositol-3-phosphate glycosyltransferase
cca,cca,;cca,hypothetical protein;CCA-adding enzyme
araN,araN,;araN,hypothetical protein;putative arabinose-binding protein
preA,preA,preA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
dadD,dadD,;dadD,8-oxoguanine deaminase;hypothetical protein;5'-deoxyadenosine deaminase
folD,folD_2,;folD_2,hypothetical protein;Bifunctional protein FolD protein
lfrA,lfrA_2,lfrA_2,Multidrug efflux pump LfrA
lyx,lyx,lyx;,L-xylulose/3-keto-L-gulonate kinase;hypothetical protein
pdxB,pdxB,;pdxB,Hydroxypyruvate reductase;Erythronate-4-phosphate dehydrogenase;hypothetical protein
dctM,dctM_8,;dctM_8,hypothetical protein;C4-dicarboxylate TRAP transporter large permease protein DctM
recJ,recJ,recJ;,Single-stranded-DNA-specific exonuclease RecJ;hypothetical protein
dnaX,dnaX_2,;dnaX_2,hypothetical protein;DNA polymerase III subunit tau
nfdA,nfdA_1,nfdA_1,N-substituted formamide deformylase
recG,recG,recG;,ATP-dependent DNA helicase RecG;hypothetical protein
katG,katG,katG,Catalase-peroxidase
glnE,glnE,glnE;,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme;hypothetical protein
rne,rne,;rne,hypothetical protein;Ribonuclease E
zntB,zntB,;zntB,hypothetical protein;Zinc transport protein ZntB
ctaB,ctaB,ctaB,Protoheme IX farnesyltransferase
fdhC,fdhC_2,;fdhC_2,hypothetical protein;Fructose dehydrogenase cytochrome subunit
cysN,cysN,cysN;,Sulfate adenylyltransferase subunit 1;hypothetical protein
yliI,yliI_2,;yliI_2,hypothetical protein;Aldose sugar dehydrogenase YliI
siaP,siaP_1,;siaP_1,hypothetical protein;Sialic acid-binding periplasmic protein SiaP
bmaC,bmaC,bmaC;,Adhesin BmaC autotransporter;hypothetical protein
pat,pat,;pat,hypothetical protein;Peptidyl-lysine N-acetyltransferase Pat
yhjE,yhjE_1,;yhjE_1,hypothetical protein;Inner membrane metabolite transport protein YhjE
aatA,aatA,aatA,Aspartate/prephenate aminotransferase
eamA,eamA,;eamA,hypothetical protein;putative amino-acid metabolite efflux pump
groL2,groL2,groL2,60 kDa chaperonin 2
phoD,phoD,phoD;,Alkaline phosphatase D;hypothetical protein
cnbH,cnbH_2,cnbH_2,2-amino-5-chloromuconic acid deaminase
tam,tam_1,;tam_1,hypothetical protein;Trans-aconitate 2-methyltransferase
ftsP,ftsP,;ftsP,hypothetical protein;Cell division protein FtsP
atpF,atpF_1,;atpF_1,hypothetical protein;ATP synthase subunit b
fdhD,fdhD,;fdhD,hypothetical protein;Sulfur carrier protein FdhD
mcl2,mcl2,mcl2,(3S)-malyl-CoA thioesterase
yddA,yddA,yddA,Inner membrane ABC transporter ATP-binding protein YddA
isdG,isdG,;isdG,hypothetical protein;Heme oxygenase (staphylobilin-producing)
soxA,soxA_2,;soxA_2,hypothetical protein;Sarcosine oxidase subunit alpha
ecfG,ecfG_1,ecfG_1,ECF RNA polymerase sigma factor EcfG
napF,napF,napF,Ferredoxin-type protein NapF
rpoD,rpoD,rpoD,RNA polymerase sigma factor RpoD
mhqA,mhqA,;mhqA,hypothetical protein;Putative ring-cleaving dioxygenase MhqA
ramA,ramA,ramA,(R)-stereoselective amidase
phaC,phaC,;phaC,hypothetical protein;Poly(3-hydroxyalkanoate) polymerase subunit PhaC
alaC,alaC,alaC,Glutamate-pyruvate aminotransferase AlaC
eno,eno,eno,Enolase
sigF,sigF,;sigF,hypothetical protein;ECF RNA polymerase sigma factor SigF
pucA,pucA,;pucA,hypothetical protein;putative xanthine dehydrogenase subunit A
nqrF,nqrF_2,nqrF_2;,Na(+)-translocating NADH-quinone reductase subunit F;hypothetical protein
yfkN,yfkN_2,;yfkN_2,hypothetical protein;Trifunctional nucleotide phosphoesterase protein YfkN
mrpE,mrpE,mrpE;,Na(+)/H(+) antiporter subunit E;hypothetical protein
fliF,fliF,;fliF,hypothetical protein;Flagellar M-ring protein
rplJ,rplJ,rplJ;,50S ribosomal protein L10;hypothetical protein
znuA,znuA,znuA,High-affinity zinc uptake system protein ZnuA
xynB,xynB,xynB,Beta-xylosidase
degP,degP,degP;,Periplasmic serine endoprotease DegP;hypothetical protein
hilA,hilA,hilA;,Transcriptional regulator HilA;hypothetical protein
qorB,qorB,qorB,Quinone oxidoreductase 2
aes,aes,aes,Acetyl esterase
yjbI,yjbI,;yjbI,hypothetical protein;Group 2 truncated hemoglobin YjbI
pntAA,pntAA,pntAA,NAD(P) transhydrogenase subunit alpha part 1
pepE,pepE,;pepE,hypothetical protein;Methionine aminopeptidase 1 mitochondrial;putative dipeptidase PepE;putative peptidase
lnt,lnt,lnt,Apolipoprotein N-acyltransferase
hisS,hisS,hisS;,Histidine--tRNA ligase;hypothetical protein
yedA,yedA,;yedA,hypothetical protein;putative inner membrane transporter YedA
sdaA,sdaA,sdaA,L-serine dehydratase
ftsE,ftsE,ftsE,Cell division ATP-binding protein FtsE
rsmH,rsmH,rsmH,Ribosomal RNA small subunit methyltransferase H
yidD,yidD,yidD,Putative membrane protein insertion efficiency factor
