gene,g21,g22,g23,g24,g25,g26,g27,g31,g32,g33,g34,g35,g36,g37,g39,g41,g43,g44,g45
group_2056-group_2633-group_4939,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0
group_2056-group_2633-rcsC_9~~~rcsC_12~~~rcsC_2~~~rcsC_13~~~rcsC_1~~~rcsC_14,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
group_2031-group_976-braC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
braC-group_976-group_5590,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
group_5183-group_3675-group_5184,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1
group_5183-group_3675-group_5392,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0
group_813-group_1956-group_5183,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
qseB-group_262-group_590,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
qseB-group_262-rbsB_1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
group_262-group_590-rbsB_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_3304-group_590-group_5598,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_590-rbsB_1-rbsC_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
rbsC_1-rbsB_1-group_262,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
group_1067-garR_1-group_1756,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1
group_1067-garR_1-group_3815,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0
garR_1-group_1756-ogt_2~~~ogt_1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1
group_3815-group_1756-ogt_2~~~ogt_1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0
group_2949-betA_1-group_2217,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2949-betA_1-group_4805,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1
group_4389-betA_1-group_4805,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0
xthA_1-group_2611-group_5067,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
group_5067-group_2611-group_5605,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0
group_2611-xthA_1-group_4630,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
group_4630-xthA_1-group_5605,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0
group_4708-group_766-otnK,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
nanR_1-otnC-gntR~~~purR_2,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
group_3977-otnC-gntR~~~purR_2,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0
otnC-nanR_1-denD_2~~~denD_1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
group_3977-nanR_1-denD_2~~~denD_1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0
group_3016-lcfB-nadE_1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
nadE_1-lcfB-asnO~~~asnB_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
leuE-group_194-group_4432,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
group_4432-group_194-dapA_7~~~dapA_2~~~dapA_1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1
group_3682-ocd-asnC,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
asnC-ocd-group_1923,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_4542-group_3913-group_5737,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
group_5425-group_3913-group_5737,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
sugB_1-group_2188-group_5113,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
group_5113-group_2998-group_5430,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
group_5113-group_2998-group_5734,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
group_1334-glgX_1-group_496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
group_496-glgX_1-glgB_2~~~treZ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
group_2965-COQ5_2-group_3984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_2965-COQ5_2-group_5055,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
group_2965-COQ5_2-group_5347,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cya_1-group_3853-group_3263,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1
cya_1-group_3853-group_3979,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cya_1-group_3853-group_3980,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cya_1-group_3853-ycaC_1~~~ycaC_3~~~ycaC_4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
xylH_1-xylF-group_3627,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1
xylH_1-xylF-nagC_1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
group_3627-nagC_1-group_5521,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1
xylF-nagC_1-group_5521,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
