replicon_type,gene,n
chromosome,COQ3_1,19
chromosome,COQ5_5,19
chromosome,COQ5_6,19
chromosome,OSGEPL1,19
chromosome,PGdx,19
chromosome,aar,19
chromosome,aarA,19
chromosome,aat,19
chromosome,aatA,19
chromosome,aatB_1,19
chromosome,abgB,19
chromosome,abo_2,19
chromosome,abo_3,19
chromosome,accA,19
chromosome,accB,19
chromosome,accD,19
chromosome,acdA_4,19
chromosome,acnA,19
chromosome,acoA,19
chromosome,acpP_3,19
chromosome,acpS,19
chromosome,acpXL,19
chromosome,acr1,19
chromosome,acrB,19
chromosome,acsA_1,19
chromosome,acsA_2,19
chromosome,acsA_3,19
chromosome,acsA_4,19
chromosome,acsE,19
chromosome,ada,19
chromosome,addA,19
chromosome,adeC_1,19
chromosome,adhC2,19
chromosome,adhD,19
chromosome,adhT_1,19
chromosome,adh_2,19
chromosome,adh_2~~~adh_1,19
chromosome,adk,19
chromosome,aes,19
chromosome,ahcY,19
chromosome,aidB,19
chromosome,alaC,19
chromosome,alaS_2,19
chromosome,alaS_2~~~alaS_1,19
chromosome,ald2_2,19
chromosome,ald_1,19
chromosome,ald_2,19
chromosome,algE2,19
chromosome,alkA,19
chromosome,alkB,19
chromosome,alkJ_3,19
chromosome,alkJ_4~~~alkJ_2,19
chromosome,amiC_2,19
chromosome,amiD_1,19
chromosome,amn,19
chromosome,amtB,19
chromosome,andAa_2~~~andAa_1,19
chromosome,anmK,19
chromosome,apaG,19
chromosome,apbC,19
chromosome,appA,19
chromosome,apt,19
chromosome,aqpZ,19
chromosome,aqpZ2_1,19
chromosome,araA_2~~~araA_1,19
chromosome,araB_3,19
chromosome,araC_2,19
chromosome,arcA_1~~~arcA_3,19
chromosome,arfB,19
chromosome,argB,19
chromosome,argC,19
chromosome,argD_1,19
chromosome,argD_2~~~dgdA,19
chromosome,argF,19
chromosome,argH_2,19
chromosome,argS,19
chromosome,argT,19
chromosome,aroA,19
chromosome,aroB,19
chromosome,aroC,19
chromosome,aroE_2,19
chromosome,aroE_2~~~aroE_3,19
chromosome,aroH,19
chromosome,aroK,19
chromosome,aroQ,19
chromosome,arsC_2,19
chromosome,arsH,19
chromosome,artJ_2,19
chromosome,aruC,19
chromosome,aruI,19
chromosome,asd2_1,19
chromosome,aspC_1,19
chromosome,aspC_2,19
chromosome,atm1,19
chromosome,atpA,19
chromosome,atpB,19
chromosome,atpB_1~~~fliI,19
chromosome,atpC,19
chromosome,atpD,19
chromosome,atpE,19
chromosome,atpF,19
chromosome,atpG,19
chromosome,atpH,19
chromosome,atzC,19
chromosome,aviRb,19
chromosome,azoR,19
chromosome,azoR1,19
chromosome,bacC_2,19
chromosome,baeR,19
