from,gene,non_unique_gene_name,annotation
arg,arg,arg,Arginase
dtnK,dtnK,dtnK,D-threonate kinase
msrA3,msrA3,msrA3,Peptide methionine sulfoxide reductase MsrA 3
pbpF,pbpF,pbpF,Penicillin-binding protein 1F
bioS,bioS,bioS,Biotin transport regulator
xypA,xypA,xypA,Xylitol-binding protein
otnI,otnI,otnI,2-oxo-tetronate isomerase
cobV,cobV,cobV,Adenosylcobinamide-GDP ribazoletransferase
xlnD,xlnD,xlnD,3-hydroxybenzoate 6-hydroxylase 1
gshAB,gshAB,gshAB,Glutathione biosynthesis bifunctional protein GshAB
lfrA,lfrA_2,lfrA_2,Multidrug efflux pump LfrA
groL2,groL2,groL2,60 kDa chaperonin 2
cnbH,cnbH_2,cnbH_2,2-amino-5-chloromuconic acid deaminase
mcl2,mcl2,mcl2,(3S)-malyl-CoA thioesterase
ycf3,ycf3,ycf3,Photosystem I assembly protein Ycf3
ligE,ligE,ligE,Beta-etherase
dprE1,dprE1,dprE1,Decaprenylphosphoryl-beta-D-ribose oxidase
ureE1,ureE1,ureE1,Urease accessory protein UreE 1
sasA,sasA_4,sasA_4,Adaptive-response sensory-kinase SasA
sugC,sugC_1,sugC_1,Trehalose import ATP-binding protein SugC
kbaZ,kbaZ,kbaZ;,D-tagatose-16-bisphosphate aldolase subunit KbaZ;D-tagatose 6-phosphate 4-epimerase
nqo3,nqo3,nqo3,NADH-quinone oxidoreductase chain 3
ndhJ,ndhJ,ndhJ,NAD(P)H-quinone oxidoreductase subunit J chloroplastic
pucK,pucK,pucK,Uric acid permease PucK
cymR,cymR,cymR,HTH-type transcriptional regulator CymR
dagK,dagK,dagK,Diacylglycerol kinase
fzlC,fzlC,fzlC,FtsZ-localized protein C
epi,epi,epi,Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
vibB,vibB,vibB,Vibriobactin-specific isochorismatase
odh,odh,odh,Opine dehydrogenase
oiaK,oiaK,oiaK,3-oxo-isoapionate kinase
mauC,mauC,mauC,Amicyanin
groL1,groL1_2,groL1_2,60 kDa chaperonin 1
groS1,groS1_1,groS1_1,10 kDa chaperonin 1
aldHT,aldHT,aldHT,Aldehyde dehydrogenase thermostable
slyX,slyX,slyX,Protein SlyX
vapB1,vapB1,vapB1,Antitoxin VapB1
yciI,yciI,yciI,Protein YciI
higB1,higB1,higB-1,Toxin HigB-1
clpS2,clpS2,clpS2,ATP-dependent Clp protease adapter protein ClpS 2
