gene,non_unique_gene_name,annotation,from
lutR_8,;lutR_8,hypothetical protein;HTH-type transcriptional regulator LutR,lutR
cckA_2,cckA_2;,Sensor kinase CckA;hypothetical protein,cckA
arg,arg,Arginase,arg
bepA_7,;bepA_7,hypothetical protein;Beta-barrel assembly-enhancing protease,bepA
vdh,;vdh,hypothetical protein;Vitamin D(3) 25-hydroxylase,vdh
pucM_1,;pucM_1,hypothetical protein;5-hydroxyisourate hydrolase,pucM
yjgH,yjgH,RutC family protein YjgH,yjgH
selD,selD,Selenide water dikinase,selD
cbpA_2,cbpA_2,Curved DNA-binding protein,cbpA
kipR,kipR,HTH-type transcriptional regulator KipR,kipR
selA,selA,L-seryl-tRNA(Sec) selenium transferase,selA
des,des,Fatty acid desaturase,des
yphB,yphB;,putative protein YphB;hypothetical protein,yphB
virB6,virB6,Type IV secretion system protein VirB6,virB6
arnC_2,;arnC_2,hypothetical protein;Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,arnC
dtnK,dtnK,D-threonate kinase,dtnK
pglA,pglA,NN'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-13-N-acetylgalactosaminyltransferase,pglA
gudX,gudX,Glucarate dehydratase-related protein,gudX
ade,ade,Adenine deaminase,ade
yesO_1,yesO_1;,Putative ABC transporter substrate-binding protein YesO;hypothetical protein,yesO
mhqD_1,;mhqD_1,hypothetical protein;Putative hydrolase MhqD,mhqD
nifD_2,;nifD_2,hypothetical protein;Nitrogenase molybdenum-iron protein alpha chain,nifD
tag,tag,DNA-3-methyladenine glycosylase 1,tag
msrA3,msrA3,Peptide methionine sulfoxide reductase MsrA 3,msrA3
emrB_2,;emrB_2,hypothetical protein;Multidrug export protein EmrB,emrB
xdhA_1,xdhA_1,Putative xanthine dehydrogenase molybdenum-binding subunit XdhA,xdhA
ftsY,;ftsY,hypothetical protein;Signal recognition particle receptor FtsY,ftsY
dctD_2,dctD_2,C4-dicarboxylate transport transcriptional regulatory protein DctD,dctD
kdpC,kdpC,Potassium-transporting ATPase KdpC subunit,kdpC
arcC2,arcC2,Carbamate kinase 2,arcC2
sbmA,sbmA,Peptide antibiotic transporter SbmA,sbmA
cyaA,cyaA;,Adenylate cyclase 1;hypothetical protein,cyaA
siaM_1,;siaM_1,hypothetical protein;Sialic acid TRAP transporter large permease protein SiaM,siaM
kdpA,kdpA;,Potassium-transporting ATPase potassium-binding subunit;hypothetical protein,kdpA
pbpF,pbpF,Penicillin-binding protein 1F,pbpF
prtC,;prtC,hypothetical protein;Serralysin C,prtC
xthA_2,xthA_2,Exodeoxyribonuclease III,xthA
dusA,dusA,tRNA-dihydrouridine(20/20a) synthase,dusA
nifA,nifA,Nif-specific regulatory protein,nifA
lsrK,lsrK,Autoinducer-2 kinase,lsrK
