Hs,Ht,Gst,Gprime_st,D,loc_id,gene
0,0,NA,NA,0,loc00102,group_6039
0,0,NA,NA,0,loc00103,group_6037
0,0,NA,NA,0,loc00104,group_6033
0,0,NA,NA,0,loc00105,group_6031
0,0,NA,NA,0,loc00106,des
0,0,NA,NA,0,loc00107,groL5_1~~~groL5_2
0,0,NA,NA,0,loc00108,group_6019
0,0,NA,NA,0,loc00109,group_6017
0,0,NA,NA,0,loc00110,group_6016
0,0,NA,NA,0,loc00111,panB_1~~~panB_3~~~panB_2
0,0,NA,NA,0,loc00112,group_6009
0,0,NA,NA,0,loc00113,group_6007
0,0,NA,NA,0,loc00114,bdcA_2~~~bdcA
0,0,NA,NA,0,loc00115,copA_1~~~copA_2~~~ctpV
0,0,NA,NA,0,loc00116,fliY_3~~~fliY_4
0,0,NA,NA,0,loc00117,yphB
0,0,NA,NA,0,loc00118,virB6
0,0,NA,NA,0,loc00119,fabG_15~~~fabG_1
0,0,NA,NA,0,loc00120,pgrR_15~~~hdfR_4~~~pgrR_16~~~pgrR_14
0,0,NA,NA,0,loc00121,group_5987
0,0,NA,NA,0,loc00122,group_5986
0,0,NA,NA,0,loc00123,arnC_2
0,0,NA,NA,0,loc00124,group_5984
0,0,NA,NA,0,loc00125,fixP_3~~~fixP_2
0,0,NA,NA,0,loc00126,galE_1~~~galE_4
0,0,NA,NA,0,loc00127,group_5983
0,0,NA,NA,0,loc00128,vapC_1~~~vapC_6
0,0,NA,NA,0,loc00129,xylG_1~~~xylG_2
0,0,NA,NA,0,loc00130,group_5977
0,0,NA,NA,0,loc00131,group_5976
0,0,NA,NA,0,loc00132,group_5974
0,0,NA,NA,0,loc00133,group_5969
0,0,NA,NA,0,loc00134,dtnK
0,0,NA,NA,0,loc00135,group_5964
0,0,NA,NA,0,loc00136,napA_1~~~fdoG_2~~~fdoG_3~~~fdoG_1~~~napA_3
0,0,NA,NA,0,loc00137,fmt_2~~~fmt_1
0,0,NA,NA,0,loc00138,pglA
0,0,NA,NA,0,loc00139,gudX
0,0,NA,NA,0,loc00140,bacC_2~~~bacC_3
0,0,NA,NA,0,loc00141,rstB~~~sasA_2
0,0,NA,NA,0,loc00142,group_5953
0,0,NA,NA,0,loc00143,lsrR_2~~~lsrR_1
0,0,NA,NA,0,loc00144,group_5951
0,0,NA,NA,0,loc00145,ade
0,0,NA,NA,0,loc00146,group_5950
0,0,NA,NA,0,loc00147,yesO_1
0,0,NA,NA,0,loc00148,group_5949
0,0,NA,NA,0,loc00149,group_5948
0,0,NA,NA,0,loc00150,group_5936
0,0,NA,NA,0,loc00151,fixN_3~~~fixN_2~~~fixN_1
0,0,NA,NA,0,loc00152,group_5934
0,0,NA,NA,0,loc00153,group_5933
0,0,NA,NA,0,loc00154,group_5931
0,0,NA,NA,0,loc00155,group_5929
0,0,NA,NA,0,loc00156,group_5925
0,0,NA,NA,0,loc00157,group_5924
0,0,NA,NA,0,loc00158,group_5920
0,0,NA,NA,0,loc00159,group_5919
0,0,NA,NA,0,loc00160,group_5918
0,0,NA,NA,0,loc00161,group_5915
0,0,NA,NA,0,loc00162,group_5912
0,0,NA,NA,0,loc00163,group_5911
0,0,NA,NA,0,loc00164,group_5910
0,0,NA,NA,0,loc00165,group_5909
0,0,NA,NA,0,loc00166,group_5908
0,0,NA,NA,0,loc00167,group_5906
0,0,NA,NA,0,loc00168,blaP_2~~~bla
0,0,NA,NA,0,loc00169,exsH_2~~~exsH_3~~~exsH_1
0,0,NA,NA,0,loc00170,group_5905
0,0,NA,NA,0,loc00171,group_5904
0,0,NA,NA,0,loc00172,mhqD_1
0,0,NA,NA,0,loc00173,fadD3~~~lcfB_1
0,0,NA,NA,0,loc00174,rclA~~~sthA_1~~~rclA_2
0,0,NA,NA,0,loc00175,group_5901
0,0,NA,NA,0,loc00176,group_5900
0,0,NA,NA,0,loc00177,mshA_15~~~mshA_6~~~mshA_5
0,0,NA,NA,0,loc00178,dinB_1~~~dinB_4~~~dinB_5~~~dinB_2
0,0,NA,NA,0,loc00179,virB5_1~~~virB5_2
0,0,NA,NA,0,loc00180,group_5896
0,0,NA,NA,0,loc00181,nifD_2
0,0,NA,NA,0,loc00182,group_5894
0,0,NA,NA,0,loc00183,group_5893
0,0,NA,NA,0,loc00184,group_5891
0,0,NA,NA,0,loc00185,group_5889
0,0,NA,NA,0,loc00186,dinB_2~~~dinB_3
0,0,NA,NA,0,loc00187,group_5885
0,0,NA,NA,0,loc00188,group_5884
0,0,NA,NA,0,loc00189,group_5883
0,0,NA,NA,0,loc00190,group_5879
0,0,NA,NA,0,loc00191,group_5878
0,0,NA,NA,0,loc00192,group_5877
0,0,NA,NA,0,loc00193,tag
0,0,NA,NA,0,loc00194,group_5876
0,0,NA,NA,0,loc00195,group_5872
0,0,NA,NA,0,loc00196,aacA4_2~~~aacA4
0,0,NA,NA,0,loc00197,fucU_2~~~fucU_1
0,0,NA,NA,0,loc00198,msrA3
0,0,NA,NA,0,loc00199,oppD_4~~~oppD_3~~~oppD_8~~~oppD_9~~~oppD_7
0,0,NA,NA,0,loc00200,gsiC_3~~~gsiC_12
0,0,NA,NA,0,loc00201,emrB_2
0,0,NA,NA,0,loc00202,dauP~~~rdmC
0,0,NA,NA,0,loc00203,yabJ_4~~~yabJ_3
0,0,NA,NA,0,loc00204,group_5869
0,0,NA,NA,0,loc00205,rpe_3~~~rpe_2~~~rpe_1
0,0,NA,NA,0,loc00206,rgtB~~~rgtA_2~~~rgtA_1
0,0,NA,NA,0,loc00207,group_5868
0,0,NA,NA,0,loc00208,nanR_1~~~lutR_9
0,0,NA,NA,0,loc00209,group_5864
0,0,NA,NA,0,loc00210,group_5862
0,0,NA,NA,0,loc00211,group_5861
0,0,NA,NA,0,loc00212,xdhA_1
0,0,NA,NA,0,loc00213,group_5860
0,0,NA,NA,0,loc00214,group_5858
0,0,NA,NA,0,loc00215,group_5857
0,0,NA,NA,0,loc00216,group_5856
0,0,NA,NA,0,loc00217,cysQ_3~~~cysQ_1
0,0,NA,NA,0,loc00218,group_5855
0,0,NA,NA,0,loc00219,ydjH_2~~~ydjH_1
0,0,NA,NA,0,loc00220,xylB_4~~~xylB_3~~~xylB_2
0,0,NA,NA,0,loc00221,group_5853
0,0,NA,NA,0,loc00222,group_5852
0,0,NA,NA,0,loc00223,ftsY
0,0,NA,NA,0,loc00224,dctD_2
0,0,NA,NA,0,loc00225,hmo~~~lldD_2
0,0,NA,NA,0,loc00226,fdhE_2~~~fdhE_1~~~fdhE
0,0,NA,NA,0,loc00227,group_5849
0,0,NA,NA,0,loc00228,ugpC_11~~~malK_8~~~lacZ_1~~~lacZ~~~lacZ_2
0,0,NA,NA,0,loc00229,purR_4~~~degA_1~~~purR_3
0,0,NA,NA,0,loc00230,iolG_14~~~iolG_11
0,0,NA,NA,0,loc00231,strE_2~~~hldD_2
0,0,NA,NA,0,loc00232,group_5844
0,0,NA,NA,0,loc00233,group_5842
0,0,NA,NA,0,loc00234,group_5841
0,0,NA,NA,0,loc00235,group_5839
0,0,NA,NA,0,loc00236,kdpC
0,0,NA,NA,0,loc00237,arcC2
0,0,NA,NA,0,loc00238,ydiK_3~~~ydiK_2
0,0,NA,NA,0,loc00239,mtgB_1~~~mtgB_5
0,0,NA,NA,0,loc00240,sbmA
0,0,NA,NA,0,loc00241,cyaA
0,0,NA,NA,0,loc00242,group_5838
0,0,NA,NA,0,loc00243,thlA_1~~~thlA_2~~~thlA
0,0,NA,NA,0,loc00244,siaM_1
0,0,NA,NA,0,loc00245,group_5837
0,0,NA,NA,0,loc00246,group_5835
0,0,NA,NA,0,loc00247,group_5833
0,0,NA,NA,0,loc00248,group_5832
0,0,NA,NA,0,loc00249,group_5829
0,0,NA,NA,0,loc00250,sfnC_2~~~sfnC
0,0,NA,NA,0,loc00251,fucK_2~~~fucK_1
0,0,NA,NA,0,loc00252,group_5828
0,0,NA,NA,0,loc00253,kdpA
0,0,NA,NA,0,loc00254,ade2~~~rihB~~~rihB_1~~~rihB_2~~~ade_2
0,0,NA,NA,0,loc00255,pbpF
0,0,NA,NA,0,loc00256,group_5825
0,0,NA,NA,0,loc00257,group_5824
0,0,NA,NA,0,loc00258,iorB_1~~~iorB_3
0,0,NA,NA,0,loc00259,group_5822
0,0,NA,NA,0,loc00260,group_5820
0,0,NA,NA,0,loc00261,thrB_3~~~tpa~~~argD_3~~~argD_4~~~argD_1
0,0,NA,NA,0,loc00262,prtC
0,0,NA,NA,0,loc00263,group_5819
0,0,NA,NA,0,loc00264,group_5818
0,0,NA,NA,0,loc00265,group_5804
0,0,NA,NA,0,loc00266,group_5785
0,0,NA,NA,0,loc00267,group_5784
0,0,NA,NA,0,loc00268,group_5783
0,0,NA,NA,0,loc00269,group_5773
0,0,NA,NA,0,loc00270,group_5772
0,0,NA,NA,0,loc00271,gsiA_13~~~gsiA_2~~~gsiA_8~~~gsiA_1~~~gsiA_5
0,0,NA,NA,0,loc00272,group_5771
0,0,NA,NA,0,loc00273,nuoF~~~nqo1_1~~~nuoF_1~~~nqo1_2
0,0,NA,NA,0,loc00274,sfrA_2~~~sfrA_1~~~sfrA
0,0,NA,NA,0,loc00275,group_5767
0,0,NA,NA,0,loc00276,rhaS_4~~~virS
0,0,NA,NA,0,loc00277,group_5764
0,0,NA,NA,0,loc00278,xthA_2
0,0,NA,NA,0,loc00279,group_5762
0,0,NA,NA,0,loc00280,group_5760
0,0,NA,NA,0,loc00281,group_5757
0,0,NA,NA,0,loc00282,group_5754
0,0,NA,NA,0,loc00283,groS1_3~~~groS1_4
0,0,NA,NA,0,loc00284,group_5753
0,0,NA,NA,0,loc00285,dusA
0,0,NA,NA,0,loc00286,group_5750
0,0,NA,NA,0,loc00287,group_5744
0,0,NA,NA,0,loc00288,group_5743
0,0,NA,NA,0,loc00289,group_5741
0,0,NA,NA,0,loc00290,group_5740
0,0,NA,NA,0,loc00291,arcA_2~~~arcA_3
0,0,NA,NA,0,loc00292,group_5739
0,0,NA,NA,0,loc00293,group_5737
0,0,NA,NA,0,loc00294,qorA_3~~~qorA_2~~~qorA_1
0,0,NA,NA,0,loc00295,flhA_1~~~flhA_3
0,0,NA,NA,0,loc00296,group_5736
0,0,NA,NA,0,loc00297,group_5735
0,0,NA,NA,0,loc00298,group_5733
0,0,NA,NA,0,loc00299,nifA
0,0,NA,NA,0,loc00300,group_5729
0,0,NA,NA,0,loc00301,group_5726
0,0,NA,NA,0,loc00302,lsrK
0,0,NA,NA,0,loc00303,group_5725
0,0,NA,NA,0,loc00304,andAa_1~~~andAa_3
0,0,NA,NA,0,loc00305,group_5723
0,0,NA,NA,0,loc00306,group_5721
0,0,NA,NA,0,loc00307,group_5714
0,0,NA,NA,0,loc00308,group_5711
0,0,NA,NA,0,loc00309,queE
0,0,NA,NA,0,loc00310,group_5700
0,0,NA,NA,0,loc00311,parE1_1~~~parE1
0,0,NA,NA,0,loc00312,emrA_3~~~emrA_1
0,0,NA,NA,0,loc00313,gnl_2~~~gnl_1
0,0,NA,NA,0,loc00314,comR_3~~~comR_1
0,0,NA,NA,0,loc00315,group_5692
0,0,NA,NA,0,loc00316,aqpZ
0,0,NA,NA,0,loc00317,yfcA_2
0,0,NA,NA,0,loc00318,group_5687
0,0,NA,NA,0,loc00319,group_5685
0,0,NA,NA,0,loc00320,group_5681
0,0,NA,NA,0,loc00321,group_5679
0,0,NA,NA,0,loc00322,group_5678
0,0,NA,NA,0,loc00323,group_5675
0,0,NA,NA,0,loc00324,group_5674
0,0,NA,NA,0,loc00325,nicB_2~~~nicB_3~~~nicB_1
0,0,NA,NA,0,loc00326,nicB_2~~~nicB_3
0,0,NA,NA,0,loc00327,menB~~~paaG
0,0,NA,NA,0,loc00328,group_5673
0,0,NA,NA,0,loc00329,ibpA_1~~~ibpA_3
0,0,NA,NA,0,loc00330,group_5671
0,0,NA,NA,0,loc00331,ycaC_3~~~ycaC_2
0,0,NA,NA,0,loc00332,group_5667
0,0,NA,NA,0,loc00333,group_5666
0,0,NA,NA,0,loc00334,group_5663
0,0,NA,NA,0,loc00335,apr~~~epr
0,0,NA,NA,0,loc00336,treY_1~~~treY_2~~~treY
0,0,NA,NA,0,loc00337,group_5659
0,0,NA,NA,0,loc00338,group_5656
0,0,NA,NA,0,loc00339,trmL
0,0,NA,NA,0,loc00340,group_5655
0,0,NA,NA,0,loc00341,group_5654
0,0,NA,NA,0,loc00342,btuB_2~~~btuB_1
0,0,NA,NA,0,loc00343,group_5653
0,0,NA,NA,0,loc00344,group_5652
0,0,NA,NA,0,loc00345,group_5649
0,0,NA,NA,0,loc00346,fixK_4~~~fixK_3~~~fixK_2
0,0,NA,NA,0,loc00347,aruH_2~~~aruH_1~~~aruH
0,0,NA,NA,0,loc00348,bioS
0,0,NA,NA,0,loc00349,group_5648
0,0,NA,NA,0,loc00350,group_5647
0,0,NA,NA,0,loc00351,yceI
0,0,NA,NA,0,loc00352,ugpC_1~~~btuD_5
0,0,NA,NA,0,loc00353,group_5645
0,0,NA,NA,0,loc00354,nanT_2~~~nanT_1
0,0,NA,NA,0,loc00355,sasA_2~~~sasA_6~~~sasA_7~~~sasA_4~~~sasA_8
0,0,NA,NA,0,loc00356,group_5642
0,0,NA,NA,0,loc00357,group_5641
0,0,NA,NA,0,loc00358,bepC_1~~~bepC
0,0,NA,NA,0,loc00359,group_5640
0,0,NA,NA,0,loc00360,group_5639
0,0,NA,NA,0,loc00361,yecS_3~~~yecS_4
0,0,NA,NA,0,loc00362,ccpA_2~~~ccpA_6
0,0,NA,NA,0,loc00363,group_5637
0,0,NA,NA,0,loc00364,group_5636
0,0,NA,NA,0,loc00365,group_5634
0,0,NA,NA,0,loc00366,mdtL
0,0,NA,NA,0,loc00367,group_5630
0,0,NA,NA,0,loc00368,group_5629
0,0,NA,NA,0,loc00369,group_5627
0,0,NA,NA,0,loc00370,group_5626
0,0,NA,NA,0,loc00371,group_5625
0,0,NA,NA,0,loc00372,group_5624
0,0,NA,NA,0,loc00373,group_5623
0,0,NA,NA,0,loc00374,group_5622
0,0,NA,NA,0,loc00375,dld_2
0,0,NA,NA,0,loc00376,group_5620
0,0,NA,NA,0,loc00377,group_5619
0,0,NA,NA,0,loc00378,fliC_2
0,0,NA,NA,0,loc00379,group_5614
0,0,NA,NA,0,loc00380,gppA_2
0,0,NA,NA,0,loc00381,group_5613
0,0,NA,NA,0,loc00382,fmt_1~~~fmt_2
0,0,NA,NA,0,loc00383,group_5612
0,0,NA,NA,0,loc00384,group_5608
0,0,NA,NA,0,loc00385,denD_2~~~denD_1
0,0,NA,NA,0,loc00386,group_5606
0,0,NA,NA,0,loc00387,kdgR_2~~~kdgR_1
0,0,NA,NA,0,loc00388,group_5605
0,0,NA,NA,0,loc00389,dgoD_2~~~dgoD_1
0,0,NA,NA,0,loc00390,group_5603
0,0,NA,NA,0,loc00391,tdcB_2~~~tdcB_1
0,0,NA,NA,0,loc00392,lnrL_1~~~lnrL_2
0,0,NA,NA,0,loc00393,group_5602
0,0,NA,NA,0,loc00394,tuf~~~selB
0,0,NA,NA,0,loc00395,resA~~~dipZ
0,0,NA,NA,0,loc00396,group_5600
0,0,NA,NA,0,loc00397,smc_2~~~smc_1~~~smc
0,0,NA,NA,0,loc00398,group_5599
0,0,NA,NA,0,loc00399,group_5598
0,0,NA,NA,0,loc00400,group_5597
0,0,NA,NA,0,loc00401,oppF_3~~~oppD_8~~~gsiA_8~~~gsiA_12~~~oppF_4
