ExpID,Sample Name,# of picks per container,Note
H1M1R1,001,1,bag 1
H1M2R1,002,1,bag 1
H1M2R2,003,1,bag 1
H1M2R3,004,1,bag 1
H1M3R1,005,1,bag 1
H1M4R1,006,1,bag 1
H2M2R1,007,1,bag 1
H2M2R2,008,1,bag 1
H2M3R1,009,1,bag 1
H2M3R2,010,1,bag 1
H2M4R1,011,1,bag 1
H3M1R1,012,1,bag 1
H3M2R1,013,1,bag 1
H3M3R1,014,1,bag 1
H3M3R2,015,1,bag 1
H3M3R4,016,1,bag 1
H3M4R1,017,1,bag 2
H3M4R2,018,1,bag 2
H4M1R1,019,1,bag 2
H4M1R3,020,1,bag 2
H4M2R2,021,1,bag 2
H4M4R2,022,1,bag 2
H4M5R1,023,1,bag 2
H4M5R2,024,1,bag 2
L1M1R1,025,1,bag 2
L1M1R2,026,1,bag 2
L1M1R4,027,1,bag 2
L1M2R1,028,1,bag 2
L1M2R2,029,1,bag 2
L1M2R3,030,1,bag 2
L1M2R4,031,1,bag 2
L1M3R1,032,1,bag 2
L1M3R2,033,1,bag 3
L1M4R1,034,1,bag 3
L1M4R2,035,1,bag 3
L2M1R1,036,1,bag 3
L2M2R1,037,1,bag 3
L2M2R2,038,1,bag 3
L2M3R2,039,1,bag 3
L2M4R1,040,1,bag 3
L2M4R2,041,1,bag 3
L2M4R4,042,1,bag 3
L2M5R2,043,1,bag 3
L3M1R1,044,1,bag 3
L3M2R1,045,1,bag 3
L3M2R2,046,1,bag 3
L3M3R1,047,1,bag 3
L3M4R1,048,1,bag 3
L3M4R2,049,1,bag 4
L3M4R3,050,1,bag 4
L3M5R1,051,1,bag 4
L3M5R2,052,1,bag 4
L3M6R1,053,1,bag 4
L3M6R2,054,1,bag 4
L4M1R1,055,1,bag 4
L4M1R3,056,1,bag 4
L4M2R2,057,1,bag 4
L4M3R3,058,1,bag 4
L4M4R1,059,1,bag 4
L4M4R3,060,1,bag 4
L4M5R1,061,1,bag 4
L4M5R2,062,1,bag 4
L4M5R3,063,1,bag 4
L4M5R4,064,1,bag 4
L4M7R1,065,1,bag 5
L4M7R2,066,1,bag 5
L4M8R1,067,1,bag 5
src-1,068,1,bag 5
src-2,069,1,bag 5
src-3,070,1,bag 5
fp 1-2,071,1,bag 5
fp 1-3,072,1,bag 5
fp 2-2,073,1,bag 5
crp 1-2,074,1,bag 5
crp 1-3,075,1,bag 5
crp 2-2,076,1,bag 5
gp 1-1,077,1,bag 5
gp 1-2,078,1,bag 5
gp 1-3,079,1,bag 5
bg-1,080,1,bag 5
bg-2,081,1,bag 6
bg-3,082,1,bag 6
pms-1,083,1,bag 6
pms-2,084,1,bag 6
pms-3,085,1,bag 6
ppf-1,086,1,bag 6
ppf-2,087,1,bag 6
ppf-3,088,1,bag 6
40th-1,089,1,bag 6
40th-2,090,1,bag 6
40th-3,091,1,bag 6
