site1,site2,dist_geo_m,dist_geo_km
H1,H1,0,0
H1,H2,39768.9188369783,39.7689188369783
H1,H3,41582.4642460782,41.5824642460782
H1,H4,42644.6575618938,42.6446575618938
H1,L1,52027.6696685194,52.0276696685194
H1,L2,52027.6696685194,52.0276696685194
H1,L3,40157.6492450561,40.1576492450561
H1,L4,38754.8574291564,38.7548574291564
H1,S5,37795.9534999194,37.7959534999194
H1,src,495146.920052894,495.146920052894
H1,fp,492994.403980607,492.994403980607
H1,crp,496465.252826012,496.465252826012
H1,gp,498743.989511806,498.743989511806
H1,bg,506293.871820752,506.293871820752
H1,pms,508922.813039695,508.922813039695
H1,ppf,508922.813039695,508.922813039695
H1,40th,508202.588515961,508.202588515961
H2,H1,39768.9188369783,39.7689188369783
H2,H2,0,0
H2,H3,2087.80131058881,2.08780131058881
H2,H4,4260.91155386278,4.26091155386278
H2,L1,13878.6005779133,13.8786005779133
H2,L2,13878.6005779133,13.8786005779133
H2,L3,8939.41784942464,8.93941784942464
H2,L4,10352.9854687567,10.3529854687567
H2,S5,13005.7733819415,13.0057733819415
H2,src,528533.872620462,528.533872620462
H2,fp,526324.539563074,526.324539563074
H2,crp,529830.940917285,529.830940917285
H2,gp,532223.998310127,532.223998310127
H2,bg,539801.502914198,539.801502914198
H2,pms,542388.476069254,542.388476069254
H2,ppf,542388.476069254,542.388476069254
H2,40th,541650.16792967,541.65016792967
H3,H1,41582.4642460782,41.5824642460782
H3,H2,2087.80131058881,2.08780131058881
H3,H3,0,0
H3,H4,2393.04666027661,2.39304666027661
H3,L1,11792.1496089015,11.7921496089015
H3,L2,11792.1496089015,11.7921496089015
H3,L3,8223.04007059928,8.22304007059928
H3,L4,9933.3151294289,9.9333151294289
H3,S5,12725.9557062468,12.7259557062468
H3,src,530621.149811741,530.621149811741
H3,fp,528411.696061646,528.411696061646
H3,crp,531918.170181053,531.918170181053
H3,gp,534311.44704907,534.31144704907
H3,bg,541888.987255968,541.888987255968
H3,pms,544475.883891269,544.475883891269
H3,ppf,544475.883891269,544.475883891269
H3,40th,543737.543270819,543.737543270819
H4,H1,42644.6575618938,42.6446575618938
H4,H2,4260.91155386278,4.26091155386278
H4,H3,2393.04666027661,2.39304666027661
H4,H4,0,0
H4,L1,9896.39358037932,9.89639358037932
H4,L2,9896.39358037932,9.89639358037932
H4,L3,6589.19150752012,6.58919150752012
H4,L4,8523.8010421173,8.5238010421173
H4,S5,11365.6534912164,11.3656534912164
H4,src,532586.579986952,532.586579986952
H4,fp,530380.454699692,530.380454699692
H4,crp,533884.958195874,533.884958195874
H4,gp,536271.369385617,536.271369385617
H4,bg,543847.58155067,543.84758155067
H4,pms,546437.19212311,546.43719212311
H4,ppf,546437.19212311,546.43719212311
H4,40th,545699.926134793,545.699926134793
L1,H1,52027.6696685194,52.0276696685194
L1,H2,13878.6005779133,13.8786005779133
L1,H3,11792.1496089015,11.7921496089015
L1,H4,9896.39358037932,9.89639358037932
L1,L1,0,0
L1,L2,0,0
L1,L3,12430.7470931165,12.4307470931165
L1,L4,14324.2451901836,14.3242451901836
L1,S5,16531.0883820713,16.5310883820713
L1,src,542411.69880739,542.41169880739
L1,fp,540202.679965362,540.202679965362
L1,crp,543708.905554997,543.708905554997
L1,gp,546101.129647117,546.101129647117
L1,bg,553678.437101736,553.678437101736
L1,pms,556265.806544796,556.265806544796
L1,ppf,556265.806544796,556.265806544796
L1,40th,555527.640171942,555.527640171942
L2,H1,52027.6696685194,52.0276696685194
L2,H2,13878.6005779133,13.8786005779133
L2,H3,11792.1496089015,11.7921496089015
L2,H4,9896.39358037932,9.89639358037932
L2,L1,0,0
L2,L2,0,0
L2,L3,12430.7470931165,12.4307470931165
L2,L4,14324.2451901836,14.3242451901836
L2,S5,16531.0883820713,16.5310883820713
L2,src,542411.69880739,542.41169880739
L2,fp,540202.679965362,540.202679965362
L2,crp,543708.905554997,543.708905554997
L2,gp,546101.129647117,546.101129647117
L2,bg,553678.437101736,553.678437101736
L2,pms,556265.806544796,556.265806544796
L2,ppf,556265.806544796,556.265806544796
L2,40th,555527.640171942,555.527640171942
L3,H1,40157.6492450561,40.1576492450561
L3,H2,8939.41784942464,8.93941784942464
L3,H3,8223.04007059928,8.22304007059928
L3,H4,6589.19150752012,6.58919150752012
L3,L1,12430.7470931165,12.4307470931165
L3,L2,12430.7470931165,12.4307470931165
L3,L3,0,0
L3,L4,2089.39579724953,2.08939579724953
L3,S5,4862.90061834192,4.86290061834192
L3,src,532759.384927521,532.759384927521
L3,fp,530569.519091046,530.569519091046
L3,crp,534064.186066208,534.064186066208
L3,gp,536417.388999932,536.417388999932
L3,bg,543986.563601766,543.986563601766
L3,pms,546588.940675603,546.588940675603
