site1,site2,dist_geo_m,dist_geo_km
L3,ppf,546588.940675603,546.588940675603
L3,40th,545856.89544947,545.85689544947
L4,H1,38754.8574291564,38.7548574291564
L4,H2,10352.9854687567,10.3529854687567
L4,H3,9933.3151294289,9.9333151294289
L4,H4,8523.8010421173,8.5238010421173
L4,L1,14324.2451901836,14.3242451901836
L4,L2,14324.2451901836,14.3242451901836
L4,L3,2089.39579724953,2.08939579724953
L4,L4,0,0
L4,S5,2841.85294531295,2.84185294531295
L4,src,531928.046440132,531.928046440132
L4,fp,529742.981414228,529.742981414228
L4,crp,533234.680815369,533.234680815369
L4,gp,535578.153373705,535.578153373705
L4,bg,543145.071395356,543.145071395356
L4,pms,545751.087271915,545.751087271915
L4,ppf,545751.087271915,545.751087271915
L4,40th,545020.580279963,545.020580279963
S5,H1,37795.9534999194,37.7959534999194
S5,H2,13005.7733819415,13.0057733819415
S5,H3,12725.9557062468,12.7259557062468
S5,H4,11365.6534912164,11.3656534912164
S5,L1,16531.0883820713,16.5310883820713
S5,L2,16531.0883820713,16.5310883820713
S5,L3,4862.90061834192,4.86290061834192
S5,L4,2841.85294531295,2.84185294531295
S5,S5,0,0
S5,src,531736.67568776,531.73667568776
S5,fp,529558.76778292,529.55876778292
S5,crp,533045.992731869,533.045992731869
S5,gp,535374.994860798,535.374994860798
S5,bg,542938.390599387,542.938390599387
S5,pms,545549.743284567,545.549743284567
S5,ppf,545549.743284567,545.549743284567
S5,40th,544821.532817037,544.821532817037
src,H1,495146.920052894,495.146920052894
src,H2,528533.872620462,528.533872620462
src,H3,530621.149811741,530.621149811741
src,H4,532586.579986952,532.586579986952
src,L1,542411.69880739,542.41169880739
src,L2,542411.69880739,542.41169880739
src,L3,532759.384927521,532.759384927521
src,L4,531928.046440132,531.928046440132
src,S5,531736.67568776,531.73667568776
src,src,0,0
src,fp,2559.15018824982,2.55915018824982
src,crp,1401.43614439184,1.40143614439184
src,gp,4265.25027811008,4.26525027811008
src,bg,11578.1863225879,11.5781863225879
src,pms,13947.1348909871,13.9471348909871
src,ppf,13947.1348909871,13.9471348909871
src,40th,13169.4664419514,13.1694664419514
fp,H1,492994.403980607,492.994403980607
fp,H2,526324.539563074,526.324539563074
fp,H3,528411.696061646,528.411696061646
fp,H4,530380.454699692,530.380454699692
fp,L1,540202.679965362,540.202679965362
fp,L2,540202.679965362,540.202679965362
fp,L3,530569.519091046,530.569519091046
fp,L4,529742.981414228,529.742981414228
fp,S5,529558.76778292,529.55876778292
fp,src,2559.15018824982,2.55915018824982
fp,fp,0,0
fp,crp,3588.57162359481,3.58857162359481
fp,gp,6824.40030598156,6.82440030598156
fp,bg,14047.635466913,14.047635466913
fp,pms,16325.1858560703,16.3251858560703
fp,ppf,16325.1858560703,16.3251858560703
fp,40th,15526.1391013384,15.5261391013384
crp,H1,496465.252826012,496.465252826012
crp,H2,529830.940917285,529.830940917285
crp,H3,531918.170181053,531.918170181053
crp,H4,533884.958195874,533.884958195874
crp,L1,543708.905554997,543.708905554997
crp,L2,543708.905554997,543.708905554997
crp,L3,534064.186066208,534.064186066208
crp,L4,533234.680815369,533.234680815369
crp,S5,533045.992731869,533.045992731869
crp,src,1401.43614439184,1.40143614439184
crp,fp,3588.57162359481,3.58857162359481
crp,crp,0,0
crp,gp,3588.57162359304,3.58857162359304
crp,bg,10472.4660664108,10.4724660664108
crp,pms,12739.1570902903,12.7391570902903
crp,ppf,12739.1570902903,12.7391570902903
crp,40th,11943.8515205577,11.9438515205577
gp,H1,498743.989511806,498.743989511806
gp,H2,532223.998310127,532.223998310127
gp,H3,534311.44704907,534.31144704907
gp,H4,536271.369385617,536.271369385617
gp,L1,546101.129647117,546.101129647117
gp,L2,546101.129647117,546.101129647117
gp,L3,536417.388999932,536.417388999932
gp,L4,535578.153373705,535.578153373705
gp,S5,535374.994860798,535.374994860798
gp,src,4265.25027811008,4.26525027811008
gp,fp,6824.40030598156,6.82440030598156
gp,crp,3588.57162359304,3.58857162359304
gp,gp,0,0
gp,bg,7594.73248371331,7.59473248371331
gp,pms,10179.7443417829,10.1797443417829
gp,ppf,10179.7443417829,10.1797443417829
gp,40th,9476.87160986022,9.47687160986022
bg,H1,506293.871820752,506.293871820752
bg,H2,539801.502914198,539.801502914198
bg,H3,541888.987255968,541.888987255968
bg,H4,543847.58155067,543.84758155067
bg,L1,553678.437101736,553.678437101736
bg,L2,553678.437101736,553.678437101736
bg,L3,543986.563601766,543.986563601766
bg,L4,543145.071395356,543.145071395356
bg,S5,542938.390599387,542.938390599387
bg,src,11578.1863225879,11.5781863225879
bg,fp,14047.635466913,14.047635466913
bg,crp,10472.4660664108,10.4724660664108
bg,gp,7594.73248371331,7.59473248371331
bg,bg,0,0
bg,pms,2802.34172388612,2.80234172388612
bg,ppf,2802.34172388612,2.80234172388612
bg,40th,2381.7189054126,2.3817189054126
pms,H1,508922.813039695,508.922813039695
pms,H2,542388.476069254,542.388476069254
pms,H3,544475.883891269,544.475883891269
pms,H4,546437.19212311,546.43719212311
pms,L1,556265.806544796,556.265806544796
pms,L2,556265.806544796,556.265806544796
pms,L3,546588.940675603,546.588940675603
pms,L4,545751.087271915,545.751087271915
pms,S5,545549.743284567,545.549743284567
pms,src,13947.1348909871,13.9471348909871
pms,fp,16325.1858560703,16.3251858560703
pms,crp,12739.1570902903,12.7391570902903
pms,gp,10179.7443417829,10.1797443417829
pms,bg,2802.34172388612,2.80234172388612
pms,pms,0,0
pms,ppf,0,0
pms,40th,852.427304309412,0.852427304309411
ppf,H1,508922.813039695,508.922813039695
ppf,H2,542388.476069254,542.388476069254
ppf,H3,544475.883891269,544.475883891269
ppf,H4,546437.19212311,546.43719212311
ppf,L1,556265.806544796,556.265806544796
ppf,L2,556265.806544796,556.265806544796
ppf,L3,546588.940675603,546.588940675603
ppf,L4,545751.087271915,545.751087271915
ppf,S5,545549.743284567,545.549743284567
ppf,src,13947.1348909871,13.9471348909871
ppf,fp,16325.1858560703,16.3251858560703
ppf,crp,12739.1570902903,12.7391570902903
ppf,gp,10179.7443417829,10.1797443417829
ppf,bg,2802.34172388612,2.80234172388612
ppf,pms,0,0
ppf,ppf,0,0
ppf,40th,852.427304309412,0.852427304309411
40th,H1,508202.588515961,508.202588515961
40th,H2,541650.16792967,541.65016792967
40th,H3,543737.543270819,543.737543270819
40th,H4,545699.926134793,545.699926134793
40th,L1,555527.640171942,555.527640171942
40th,L2,555527.640171942,555.527640171942
40th,L3,545856.89544947,545.85689544947
40th,L4,545020.580279963,545.020580279963
40th,S5,544821.532817037,544.821532817037
40th,src,13169.4664419514,13.1694664419514
40th,fp,15526.1391013384,15.5261391013384
40th,crp,11943.8515205577,11.9438515205577
40th,gp,9476.87160986022,9.47687160986022
40th,bg,2381.7189054126,2.3817189054126
40th,pms,852.427304309412,0.852427304309411
40th,ppf,852.427304309412,0.852427304309411
40th,40th,0,0
